customer_id,age,annual_income,spending_score
C222,40,86693,64
C223,26,32407,87
C224,29,57311,63
C225,58,91242,23
C226,21,47282,62
C227,53,36523,27
C228,26,79140,64
C229,25,67076,50
C230,45,121517,86
C231,49,144680,17
C232,43,138029,94
C233,18,42444,89
C234,43,104039,81
C235,36,23549,25
C236,24,40514,77
C237,42,47066,29
C238,59,42882,24
C239,57,24759,26
C240,38,110008,16
C241,24,23537,66
C242,43,99741,75
C243,42,44077,16
C244,26,26176,62
C245,25,59387,67
C246,45,116070,28
C247,36,34190,13
C248,37,72436,48
C249,36,96241,88
C250,42,135542,35
C251,34,118642,88
C252,47,142880,14
C253,22,58243,81
C254,21,67121,57
C255,34,79033,68
C256,45,92397,93
C257,55,132544,36
C258,30,89456,44
C259,45,106831,100
C260,56,28364,13
C261,42,43347,54
C262,19,57373,83
C263,43,102402,94
C264,50,108631,21
C265,27,21479,73
C266,43,135613,77
C267,31,58614,17
C268,49,39732,17
C269,59,77789,29
C270,23,30808,91
C271,31,129974,74
C272,42,149605,37
C273,38,48916,46
C274,30,24864,77
C275,29,78499,96
C276,26,98914,96
C277,28,45560,76
C278,53,98291,34
C279,27,130885,82
C280,28,118295,93
C281,46,135880,33
C282,60,85734,36
C283,33,40560,90
C284,47,148617,25
C285,21,66453,66
C286,20,52877,90
C287,37,26465,22
C288,48,118426,35
C289,28,139675,72
C290,55,135307,39
C291,24,37428,62
C292,50,143589,28
C293,29,140554,93
C294,43,138854,91
C295,25,31038,83
C296,60,28668,33
C297,53,27486,26
C298,30,40575,51
C299,18,24188,69
C300,60,35827,31
C301,43,90704,75
C302,30,47452,61
C303,36,131839,97
C304,22,37948,95
C305,23,75803,58
C306,24,56345,86
C307,29,45672,90
C308,52,111533,37
C309,43,111238,20
C310,60,54561,31
C311,29,125062,97
C312,42,83971,67
C313,20,30145,97
C314,31,57504,90
C315,29,125398,100
C316,28,44444,69
C317,41,109922,96
C318,51,135224,39
C319,40,101008,27
C320,25,147676,93
C321,23,20644,61
C322,37,116934,71
C323,28,137308,79
C324,57,70832,14
C325,35,57613,67
C326,42,113123,72
C327,56,135918,27
C328,44,123287,82
C329,34,20763,90
C330,32,105007,78
C331,45,57676,61
C332,24,38520,75
C333,38,76806,40
C334,33,65055,62
C335,57,38671,36
C336,33,86392,79
C337,19,48303,67
C338,44,29132,29
C339,20,59179,61
C340,58,51611,20
C341,35,141220,19
C342,34,24475,73
C343,20,67054,48
C344,33,82894,45
C345,56,129385,36
C346,36,71779,100
C347,46,27679,13
C348,45,107182,25
C349,60,84628,18
C350,25,74057,70
C351,27,58081,43
C352,60,129554,37
C353,53,36283,28
C354,21,48631,65
C355,32,46268,76
C356,33,52792,75
C357,44,80335,70
C358,50,67433,63
C359,25,57493,79
C360,47,44109,39
C361,37,30537,32
C362,32,52642,62
C363,25,84755,42
C364,40,99171,75
C365,37,100628,80
C366,39,51911,36
C367,18,23346,97
C368,23,65074,55
C369,38,86270,13
C370,34,28036,60
C371,34,89641,96
C372,50,99760,13
C373,37,135354,28
C374,45,85990,52
C375,21,21405,80
C376,23,44229,81
C377,34,30093,62
C378,41,56946,20
C379,28,49150,71
C380,53,108702,33
C381,29,56040,82
C382,45,88828,39
C383,36,67574,47
C384,27,110245,80
C385,38,146235,19
C386,38,127218,36
C387,59,28217,34
C388,54,130935,10
C389,38,141249,84
C390,46,78072,13
C391,49,49171,36
C392,31,49607,47
C393,37,144202,21
C394,30,65798,52
C395,31,20427,64
C396,50,29743,11
C397,43,141778,93
C398,33,34019,39
C399,44,103010,24
C400,26,33678,89
C401,53,108997,12
C402,31,119154,82
C403,28,80064,91
C404,39,127925,77
C405,46,21785,24
C406,36,118795,93
C407,37,50844,11
C408,55,137506,20
C409,39,43979,61
C410,37,75041,49
C411,27,23635,71
C412,18,50674,99
C413,37,100667,15
C414,35,47723,75
C415,47,117199,10
C416,24,27495,97
C417,31,46502,83
C418,51,103705,35
C419,51,89077,33
C420,45,120964,94
C421,49,43432,56
C422,25,58260,55
C423,26,52806,64
C424,39,76490,49
C425,54,28227,17
C426,22,26459,67
C427,35,47740,68
C428,34,73697,63
C429,34,80287,88
C430,41,107121,34
C431,35,57173,56
C432,56,41987,11
C433,59,110875,12
C434,57,136484,40
C435,22,24934,88
C436,25,26721,63
C437,48,66176,42
C438,48,36470,33
C439,43,136906,100
C440,21,24601,86
C441,51,124376,14
C442,21,27650,95
C443,35,21696,35
C444,24,28883,97
C445,26,36300,96
C446,29,105752,80
C447,58,143962,37
C448,33,92477,100
C449,40,47465,14
C450,26,20742,80
C451,23,26183,82
C452,40,133995,74
C453,41,93570,36
C454,45,74765,80
C455,27,53267,91
C456,23,51697,56
C457,47,69903,54
C458,46,44851,25
C459,52,21520,16
C460,30,58624,78
C461,22,44521,67
C462,41,83155,62
C463,52,29100,14
C464,39,22845,28
C465,24,38440,95
C466,48,40357,34
C467,58,129445,33
C468,34,26823,90
C469,43,73994,11
C470,48,87777,49
C471,41,147127,27
C472,41,146223,95
C473,46,55463,15
C474,35,76681,11
C475,37,113686,16
C476,50,39944,25
C477,18,21792,94
C478,60,113545,33
C479,49,77487,44
C480,51,58300,20
C481,51,23126,33
C482,36,132476,77
C483,43,135384,13
C484,45,66964,42
C485,20,23388,87
C486,45,147279,35
C487,31,40324,70
C488,19,22666,90
C489,18,59617,63
C490,21,54084,55
C491,44,56471,19
C492,34,44088,41
C493,42,42483,14
C494,27,59005,72
C495,33,74022,72
C496,38,110688,37
C497,34,74450,78
C498,52,148252,32
C499,38,106452,75
C500,41,72246,89
C501,31,45411,95
C502,44,125532,27
C503,42,128844,92
C504,40,135478,70
C505,44,48922,10
C506,31,36304,31
C507,47,57015,22
C508,42,146986,92
C509,37,41202,50
C510,26,54980,92
C511,40,79325,15
C512,51,38419,20
C513,28,64681,51
C514,39,107509,14
C515,35,20413,72
C516,47,148146,25
C517,52,49908,32
C518,33,35109,65
C519,46,46322,57
C520,54,73064,39
C521,30,26265,85
C522,39,122097,40
C523,24,81937,47
C524,32,46641,86
C525,42,40710,19
C526,22,74552,42
C527,38,53358,44
C528,42,72974,50
C529,30,31468,27
C530,25,85586,59
C531,37,48799,33
C532,23,43719,92
C533,29,104517,73
C534,60,51180,24
C535,35,96197,29
C536,28,78324,59
C537,28,69049,51
C538,39,84155,48
C539,36,85122,97
C540,60,84449,15
C541,53,24031,12
C542,31,50836,16
C543,26,131656,73
C544,45,65604,43
C545,34,36103,65
C546,39,46057,62
C547,56,20887,18
C548,49,46544,45
C549,36,92708,74
C550,37,120006,17
C551,35,27900,94
C552,56,87164,36
C553,51,140468,17
C554,23,28839,93
C555,35,20944,64
C556,32,54028,63
C557,45,133494,93
C558,41,145048,98
C559,45,127261,81
C560,46,143037,36
C561,24,52012,85
C562,25,42631,63
C563,51,24196,30
C564,22,52001,67
C565,55,30621,18
C566,30,47706,31
C567,52,92215,27
C568,45,49321,40
C569,23,52365,89
C570,45,44151,42
C571,31,144037,84
C572,46,20971,23
C573,39,98812,93
C574,31,138704,79
C575,39,58092,17
C576,35,42453,19
C577,42,99511,35
C578,37,47483,44
C579,19,20582,95
C580,57,142096,32
C581,22,29515,90
C582,39,146472,96
C583,36,55226,61
C584,53,51578,16
C585,27,50412,68
C586,33,82377,78
C587,30,68117,47
C588,55,34051,20
C589,47,51256,21
C590,32,43333,60
C591,34,39802,21
C592,33,59992,26
C593,31,42641,33
C594,53,147244,25
C595,36,103938,25
C596,42,85672,72
C597,33,36868,74
C598,23,55602,84
C599,56,49655,25
C600,33,146016,100
C601,31,139432,87
C602,52,48848,14
C603,44,120175,77
C604,25,61841,60
C605,50,61209,49
C606,49,53132,13
C607,50,115432,33
C608,21,57411,72
C609,26,47497,46
C610,35,56137,64
C611,35,88963,92
C612,29,28729,74
C613,44,66368,70
C614,32,116930,91
C615,45,53516,59
C616,30,58071,16
C617,37,82952,12
C618,42,131218,10
C619,35,141240,85
C620,26,49834,100
C621,52,105710,39
C622,26,28693,97
C623,21,41501,83
C624,32,38282,95
C625,26,32291,63
C626,58,58860,37
C627,20,20879,92
C628,18,37685,93
C629,33,78989,43
C630,33,32885,64
C631,50,135541,13
C632,52,40381,30
C633,33,55688,61
C634,26,146200,87
C635,54,105961,20
C636,46,30269,37
C637,34,73691,80
C638,38,48353,56
C639,42,126785,27
C640,32,45128,73
C641,19,47166,67
C642,34,54486,10
C643,28,76807,45
C644,32,39379,22
C645,32,22729,80
C646,31,59037,74
C647,33,21960,25
C648,20,42785,86
C649,46,46715,55
C650,36,50506,12
C651,38,113713,24
C652,56,29250,32
C653,18,54929,74
C654,38,137725,84
C655,25,40897,95
C656,25,28935,76
C657,54,78841,19
C658,30,90515,87
C659,42,78408,63
C660,42,87299,68
C661,38,72559,78
C662,37,125026,31
C663,52,25418,35
C664,51,71979,20
C665,30,33997,85
C666,59,91371,30
C667,48,83665,61
C668,25,51062,77
C669,60,30590,20
C670,33,46024,96
C671,44,86575,70
C672,34,56354,28
C673,28,92664,95
C674,38,80737,68
C675,35,38428,80
C676,32,33292,82
C677,51,81200,11
C678,41,56000,34
C679,37,126577,17
C680,30,53518,35
C681,41,129952,95
C682,39,111021,27
C683,54,42078,26
C684,50,53715,55
C685,55,47781,19
C686,41,27829,18
C687,20,64999,70
C688,57,52799,34
C689,27,42041,94
C690,40,77970,51
C691,23,85547,65
C692,28,40673,73
C693,56,34143,12
C694,35,36550,25
C695,37,46174,33
C696,27,98732,87
C697,34,72867,99
C698,18,56735,91
C699,31,133261,77
C700,18,39535,67
C701,24,33240,77
C702,32,34082,88
C703,44,74214,68
C704,42,115448,80
C705,32,125275,89
C706,23,88784,55
C707,25,55797,87
C708,33,94329,96
C709,32,44125,82
C710,30,45960,56
C711,51,105712,37
C712,44,21917,40
C713,39,84503,62
C714,25,143920,84
C715,57,128167,23
C716,32,149706,72
C717,45,99122,22
C718,35,22145,69
C719,39,66901,59
C720,37,53558,52
C721,35,36108,31
C722,21,44854,62
C723,42,57055,11
C724,31,45564,89
C725,32,58403,32
C726,33,58205,17
C727,30,34277,36
C728,41,53872,50
C729,39,99645,40
C730,18,50450,92
C731,51,108157,18
C732,27,59758,58
C733,37,125857,24
C734,27,47215,94
C735,35,104419,10
C736,35,21332,65
C737,29,59232,45
C738,34,83508,57
C739,47,25940,23
C740,43,54634,15
C741,43,70218,67
C742,39,131659,28
C743,25,34788,61
C744,52,124784,10
C745,41,149560,99
C746,33,82462,97
C747,44,77961,99
C748,53,104360,10
C749,44,137201,90
C750,45,128783,95
C751,20,33085,67
C752,38,144067,96
C753,32,50227,28
C754,38,70512,88
C755,26,81238,48
C756,33,26616,26
C757,32,49240,93
C758,48,39353,28
C759,24,23477,78
C760,40,82210,34
C761,40,46988,21
C762,33,43698,71
C763,38,136206,26
C764,58,57098,23
C765,53,87230,21
C766,32,89061,78
C767,58,94949,34
C768,48,55879,55
C769,47,51073,62
C770,27,53493,81
C771,33,47855,89
C772,22,70052,54
C773,30,33024,70
C774,44,112444,40
C775,31,78064,41
C776,23,40170,63
C777,27,75665,83
C778,33,49970,79
C779,57,114251,28
C780,34,48369,71
C781,30,94794,81
C782,36,116784,92
C783,39,147996,93
C784,19,40398,87
C785,54,114772,11
C786,35,65451,54
C787,56,137221,13
C788,30,53049,46
C789,24,34299,76
C790,47,67194,54
C791,35,34869,30
C792,60,48582,19
C793,53,141806,24
C794,24,44392,47
C795,57,119866,37
C796,45,127495,10
C797,38,129585,89
C798,31,103022,97
C799,46,94665,18
C800,39,31946,32
C801,52,24725,28
C802,25,73287,97
C803,35,84370,14
C804,20,59870,84
C805,29,109732,70
C806,55,146920,16
C807,46,49034,38
C808,39,66518,47
C809,33,124122,87
C810,30,110236,72
C811,39,35949,35
C812,46,78178,54
C813,38,110328,24
C814,30,36594,79
C815,44,107330,87
C816,60,71893,17
C817,20,47005,74
C818,45,74963,64
C819,34,52661,26
C820,21,59097,68
C821,49,63142,43
C822,54,22726,11
C823,35,119078,81
C824,44,46029,62
C825,56,141465,33
C826,60,120817,37
C827,22,85185,61
C828,39,138661,83
C829,31,121313,88
C830,34,92223,95
C831,22,20676,84
C832,51,111084,29
C833,39,81006,56
C834,41,35898,25
C835,48,27708,26
C836,33,31044,23
C837,35,40545,70
C838,44,101842,89
C839,45,101702,84
C840,35,54308,62
C841,34,56327,87
C842,48,82561,61
C843,38,126821,35
C844,44,124814,84
C845,30,88199,93
C846,60,126728,27
C847,35,61084,68
C848,60,31219,15
C849,44,102165,10
C850,50,122921,29
C851,47,60921,43
C852,30,83542,92
C853,49,75093,37
C854,28,100916,80
C855,31,128965,95
C856,25,24388,97
C857,36,139898,74
C858,34,58763,30
C859,41,106444,85
C860,54,38627,20
C861,26,33416,70
C862,22,44095,61
C863,31,54373,89
C864,45,144804,72
C865,28,33425,75
C866,25,50591,99
C867,25,52693,69
C868,32,58972,33
C869,42,48481,19
C870,25,74629,64
C871,40,83404,36
C872,40,79449,82
C873,55,59645,20
C874,33,86138,50
C875,60,33173,15
C876,36,111131,24
C877,30,31740,19
C878,29,135311,71
C879,29,39973,95
C880,56,46887,22
C881,31,53894,99
C882,52,81163,17
C883,23,79864,53
C884,35,51739,68
C885,31,62822,41
C886,57,38704,29
C887,32,82190,57
C888,45,33943,36
C889,45,83395,54
C890,34,28169,17
C891,47,41318,44
C892,40,21705,39
C893,30,42435,33
C894,20,24127,85
C895,27,65958,65
C896,37,44725,27
C897,36,80830,74
C898,30,50699,94
C899,31,146324,79
C900,27,54516,70
C901,23,41793,67
C902,37,99107,76
C903,60,99905,37
C904,26,20144,65
C905,42,26067,39
C906,22,54019,88
C907,36,33793,22
C908,23,51157,71
C909,48,83931,28
C910,43,56187,19
C911,36,135428,15
C912,33,100682,82
C913,49,78231,70
C914,22,56875,94
C915,46,84451,27
C916,30,25981,83
C917,29,81562,55
C918,56,121070,22
C919,56,76298,12
C920,55,50317,33
C921,40,98532,80
C922,35,134695,33
C923,41,56009,14
C924,24,21456,74
C925,45,143302,91
C926,41,33866,33
C927,51,41644,10
C928,45,59488,42
C929,27,103330,71
C930,28,131560,72
C931,47,86859,37
C932,33,39023,38
C933,47,44476,46
C934,53,91860,15
C935,57,31119,10
C936,33,138997,99
C937,33,55776,95
C938,53,24263,32
C939,54,28555,37
C940,46,49781,33
C941,29,121319,97
C942,59,123834,17
C943,42,112972,98
C944,44,21527,39
C945,26,39280,64
C946,38,48888,55
C947,31,125409,89
C948,35,35589,11
C949,37,89936,24
C950,20,58434,82
C951,50,43351,28
C952,49,129368,37
C953,54,94986,10
C954,22,59297,87
C955,26,43320,42
C956,34,34579,91
C957,42,90682,27
C958,51,47317,30
C959,44,43508,39
C960,22,29311,100
C961,31,35767,95
C962,25,137405,80
C963,24,28543,92
C964,37,74080,46
C965,51,99676,36
C966,25,24465,94
C967,35,45032,51
C968,35,60743,48
C969,57,88239,13
C970,26,83172,61
C971,30,59825,80
C972,27,98587,73
C973,49,99823,39
C974,31,42911,50
C975,48,73918,57
C976,28,70161,69
C977,60,32592,18
C978,40,117310,11
C979,54,55055,22
C980,20,37577,64
C981,43,93982,82
C982,25,28377,99
C983,25,52456,51
C984,60,79624,21
C985,38,45689,40
C986,18,37934,75
C987,27,22774,89
C988,58,55369,11
C989,21,44045,81
C990,38,77513,92
C991,53,71481,14
C992,28,80774,82
C993,21,28136,95
C994,42,145862,35
C995,32,43923,70
C996,37,148812,90
C997,48,57903,50
C998,41,104245,30
C999,37,71379,76
C1000,42,74889,72
