age,income,product_category,purchased
36,1193922,Clothing,0
32,797071,Furniture,1
41,1010062,Furniture,1
34,1051114,Groceries,0
48,1377361,Groceries,0
57,1161837,Furniture,1
28,710537,Groceries,0
39,1386976,Furniture,1
59,371568,Clothing,0
24,958089,Electronics,1
43,304713,Furniture,0
64,794860,Furniture,1
54,108913,Electronics,0
24,1420269,Clothing,1
40,574204,Furniture,1
25,1152605,Furniture,1
55,765345,Electronics,0
38,739662,Groceries,0
30,972808,Clothing,0
35,822638,Electronics,1
41,1307949,Clothing,0
24,1205947,Groceries,0
53,1017174,Electronics,1
36,1176109,Furniture,1
43,143000,Furniture,0
31,852676,Groceries,0
21,1142695,Electronics,1
24,407985,Clothing,1
60,812275,Furniture,1
33,672957,Groceries,0
65,836367,Clothing,0
56,371891,Furniture,0
32,856642,Groceries,0
49,1362615,Furniture,1
48,404305,Electronics,0
43,287227,Groceries,0
43,1120404,Groceries,0
45,200528,Groceries,0
65,673450,Electronics,0
44,590077,Electronics,0
38,1118117,Clothing,0
26,964248,Groceries,0
52,1022149,Furniture,1
33,995127,Groceries,0
52,1240695,Furniture,1
26,136974,Clothing,1
59,1469691,Electronics,1
32,982510,Furniture,1
24,1427317,Furniture,1
55,1036128,Electronics,1
56,457913,Furniture,0
28,163328,Groceries,0
47,696010,Clothing,0
36,594140,Electronics,0
18,687918,Furniture,1
25,822173,Clothing,1
18,588504,Clothing,1
50,193579,Clothing,0
46,903370,Groceries,0
51,688070,Clothing,0
59,1130623,Furniture,1
54,631612,Furniture,1
20,283929,Furniture,0
64,413875,Furniture,0
42,1387095,Electronics,1
56,1373781,Groceries,0
59,1436504,Furniture,1
46,1372842,Groceries,0
35,1365449,Clothing,0
61,183217,Electronics,0
42,274372,Groceries,0
37,1411383,Furniture,1
47,1087103,Clothing,0
62,646638,Clothing,0
24,915837,Furniture,1
43,827767,Furniture,1
39,1072012,Furniture,1
21,706029,Clothing,1
25,720692,Furniture,1
23,361855,Groceries,0
51,974881,Clothing,0
18,777130,Electronics,0
46,670553,Electronics,0
40,244994,Groceries,0
31,1365891,Furniture,1
43,661304,Groceries,0
24,1473288,Electronics,1
29,1313882,Groceries,0
44,782104,Groceries,0
61,323628,Furniture,0
33,396039,Furniture,0
48,1293763,Clothing,0
38,499921,Clothing,0
55,1498081,Clothing,0
29,277466,Groceries,0
44,586299,Furniture,1
50,400296,Electronics,0
53,536023,Clothing,0
24,183265,Clothing,1
41,542932,Groceries,0
29,869619,Furniture,1
51,832729,Clothing,0
45,803880,Clothing,0
30,243157,Electronics,0
47,734832,Groceries,0
21,520648,Clothing,1
52,358962,Groceries,0
63,379319,Clothing,0
25,280598,Clothing,1
45,124107,Clothing,0
36,188523,Furniture,0
34,732771,Clothing,0
50,1471884,Clothing,0
40,193279,Furniture,0
34,768673,Furniture,1
54,816837,Clothing,0
60,337973,Clothing,0
22,1131560,Groceries,0
60,892283,Furniture,1
18,215011,Electronics,0
48,1414115,Electronics,1
53,249407,Clothing,0
18,366594,Clothing,1
45,1490262,Furniture,1
55,1037557,Electronics,1
53,427202,Groceries,0
49,289561,Furniture,0
24,227664,Electronics,0
50,1304322,Electronics,1
48,1076922,Furniture,1
56,730703,Groceries,0
56,1238416,Electronics,1
63,501504,Furniture,1
41,233997,Furniture,0
45,1058818,Clothing,0
23,194790,Furniture,0
21,1094770,Electronics,1
56,369239,Electronics,0
61,531093,Electronics,0
29,942877,Groceries,0
64,635576,Electronics,0
48,1242736,Clothing,0
41,560413,Furniture,1
37,1327459,Groceries,0
55,1221895,Clothing,0
57,178685,Furniture,0
18,749004,Furniture,1
40,176013,Furniture,0
22,674156,Groceries,0
25,341036,Electronics,0
58,750552,Furniture,1
30,213758,Furniture,0
57,186997,Furniture,0
46,261930,Electronics,0
21,1322129,Clothing,1
21,1079880,Clothing,1
44,562404,Furniture,1
58,1258137,Furniture,1
41,110845,Electronics,0
30,887208,Electronics,1
28,126246,Electronics,0
64,388662,Furniture,0
53,1316750,Electronics,1
63,1191291,Clothing,0
34,781262,Electronics,0
21,1155447,Groceries,0
50,401598,Groceries,0
65,440267,Clothing,0
64,976701,Furniture,1
55,367520,Groceries,0
35,411336,Furniture,0
56,1381434,Groceries,0
36,1026285,Groceries,0
52,1138142,Clothing,0
39,246996,Clothing,0
50,1403646,Groceries,0
42,1099067,Electronics,1
26,1401809,Furniture,1
60,1452631,Groceries,0
53,1425881,Furniture,1
53,867178,Clothing,0
63,371486,Furniture,0
49,1293817,Electronics,1
33,196511,Electronics,0
37,187814,Electronics,0
37,663040,Clothing,0
22,995366,Clothing,1
18,1298780,Furniture,1
23,1494265,Electronics,1
46,372180,Groceries,0
32,755281,Groceries,0
64,1010367,Clothing,0
52,811744,Electronics,1
52,125404,Clothing,0
60,1480308,Groceries,0
28,1178185,Electronics,1
55,798854,Electronics,0
58,505689,Groceries,0
27,345341,Furniture,0
28,109556,Clothing,1
26,362706,Furniture,0
24,627028,Electronics,0
56,752216,Clothing,0
39,1353144,Groceries,0
37,1213532,Clothing,0
23,1032268,Groceries,0
63,743079,Groceries,0
48,1411013,Clothing,0
41,150950,Electronics,0
48,340076,Groceries,0
24,733033,Groceries,0
65,883569,Groceries,0
48,563528,Electronics,0
56,937930,Clothing,0
57,760350,Clothing,0
46,1478478,Clothing,0
64,1080988,Electronics,1
29,355600,Electronics,0
40,1403428,Groceries,0
60,1198796,Groceries,0
63,477441,Groceries,0
36,1220707,Furniture,1
43,1255384,Groceries,0
27,1201093,Electronics,1
53,930259,Furniture,1
50,1141046,Electronics,1
53,603418,Furniture,1
44,1331953,Clothing,0
53,112356,Clothing,0
26,375818,Clothing,1
63,759608,Groceries,0
51,590988,Furniture,1
62,1465862,Groceries,0
46,678893,Groceries,0
36,290057,Electronics,0
60,625884,Electronics,0
44,166441,Clothing,0
27,864434,Furniture,1
64,945014,Clothing,0
45,429909,Clothing,0
48,1379976,Electronics,1
27,776956,Clothing,1
48,1368947,Electronics,1
39,317595,Furniture,0
42,1306831,Clothing,0
35,438641,Groceries,0
42,1424671,Groceries,0
46,827392,Electronics,1
32,1114050,Electronics,1
27,198825,Groceries,0
60,592283,Clothing,0
24,572954,Groceries,0
58,1274154,Electronics,1
49,361950,Electronics,0
60,760094,Groceries,0
52,1449618,Furniture,1
57,333999,Groceries,0
54,893174,Clothing,0
30,1009741,Clothing,0
27,1260433,Clothing,1
38,978101,Electronics,1
23,861063,Groceries,0
19,450543,Electronics,0
22,431282,Electronics,0
42,1425312,Clothing,0
50,1045759,Furniture,1
33,489845,Electronics,0
65,1115481,Electronics,1
36,487379,Groceries,0
28,591129,Electronics,0
32,438416,Groceries,0
64,1352509,Electronics,1
52,1173184,Groceries,0
25,544879,Electronics,0
39,925263,Groceries,0
24,728189,Groceries,0
35,889378,Electronics,1
53,239666,Furniture,0
50,933734,Groceries,0
27,906878,Electronics,1
32,952171,Groceries,0
60,150984,Furniture,0
31,996819,Groceries,0
31,128900,Electronics,0
52,526881,Electronics,0
19,119367,Electronics,0
37,521900,Electronics,0
43,1039595,Groceries,0
65,1074248,Furniture,1
55,603140,Furniture,1
47,801431,Electronics,1
20,1320042,Clothing,1
40,881415,Clothing,0
19,1265928,Electronics,1
54,589584,Clothing,0
41,1209282,Clothing,0
41,1154219,Clothing,0
37,1459118,Electronics,1
24,1341405,Clothing,1
58,405443,Electronics,0
53,1087438,Electronics,1
47,700022,Electronics,0
18,870098,Electronics,1
22,251957,Electronics,0
24,692132,Furniture,1
45,535250,Groceries,0
34,442598,Clothing,0
36,578340,Clothing,0
36,265724,Furniture,0
24,1484301,Electronics,1
25,1216705,Furniture,1
60,245586,Electronics,0
52,1323093,Clothing,0
37,1001564,Clothing,0
56,948989,Groceries,0
54,354774,Clothing,0
57,902657,Furniture,1
57,1343926,Clothing,0
19,486186,Groceries,0
50,1001249,Groceries,0
61,250438,Furniture,0
28,594430,Groceries,0
47,613994,Clothing,0
24,864439,Groceries,0
51,1401743,Electronics,1
53,600403,Groceries,0
52,587828,Furniture,1
54,1391167,Clothing,0
47,381932,Clothing,0
45,146381,Groceries,0
38,392351,Groceries,0
46,335051,Furniture,0
33,183095,Furniture,0
26,1294283,Electronics,1
40,1222172,Furniture,1
51,735391,Electronics,0
32,1247283,Groceries,0
26,434573,Electronics,0
57,417041,Clothing,0
33,402541,Furniture,0
62,719839,Electronics,0
27,1273268,Clothing,1
29,1242459,Electronics,1
20,506159,Electronics,0
21,821793,Clothing,1
57,415386,Furniture,0
41,289401,Electronics,0
54,1407701,Electronics,1
48,399387,Furniture,0
56,752337,Electronics,0
33,1316156,Clothing,0
41,1015299,Electronics,1
26,373363,Groceries,0
57,1154783,Clothing,0
35,800142,Furniture,1
40,939522,Electronics,1
37,689326,Electronics,0
23,1219587,Furniture,1
63,426092,Electronics,0
55,736898,Clothing,0
58,164629,Electronics,0
48,611044,Groceries,0
24,1371692,Furniture,1
42,1272632,Clothing,0
25,194559,Furniture,0
65,692646,Furniture,1
38,220273,Furniture,0
50,712917,Clothing,0
52,744889,Clothing,0
18,613632,Clothing,1
30,760710,Groceries,0
34,647292,Furniture,1
23,635345,Furniture,1
41,836967,Groceries,0
58,1250190,Furniture,1
26,211415,Clothing,1
57,915771,Groceries,0
42,934941,Clothing,0
59,989786,Furniture,1
45,1040601,Furniture,1
65,1258352,Furniture,1
46,386838,Electronics,0
36,1005820,Clothing,0
61,514375,Clothing,0
44,172644,Clothing,0
51,430053,Electronics,0
30,477459,Electronics,0
43,973800,Clothing,0
22,860378,Electronics,1
44,1413116,Furniture,1
51,1210307,Furniture,1
43,1031947,Clothing,0
26,289578,Clothing,1
59,121837,Groceries,0
36,711864,Electronics,0
29,1099787,Groceries,0
38,354990,Groceries,0
63,1292133,Clothing,0
55,630144,Groceries,0
64,994715,Clothing,0
18,644921,Electronics,0
40,814069,Furniture,1
30,1344089,Groceries,0
40,813774,Electronics,1
57,534344,Groceries,0
40,754434,Furniture,1
54,1278353,Groceries,0
56,865410,Furniture,1
25,1242870,Furniture,1
18,566491,Furniture,1
33,767458,Furniture,1
25,1264327,Clothing,1
22,1373651,Groceries,0
64,1317735,Electronics,1
28,1193901,Groceries,0
61,133917,Groceries,0
52,352615,Furniture,0
54,844890,Clothing,0
55,1072322,Clothing,0
22,976276,Groceries,0
50,754896,Electronics,0
46,553197,Groceries,0
48,1323253,Electronics,1
26,519041,Electronics,0
45,796325,Furniture,1
50,1294016,Electronics,1
38,1030352,Groceries,0
40,967105,Groceries,0
20,1094069,Groceries,0
49,251891,Electronics,0
63,1190565,Furniture,1
27,1251519,Electronics,1
46,762833,Groceries,0
30,1227064,Clothing,0
18,276054,Clothing,1
60,276262,Groceries,0
29,352003,Electronics,0
25,673019,Furniture,1
25,854132,Clothing,1
38,948132,Furniture,1
37,1233394,Electronics,1
61,183566,Clothing,0
52,550141,Groceries,0
44,1361450,Furniture,1
20,789279,Furniture,1
57,641117,Groceries,0
41,549990,Furniture,1
45,1219964,Groceries,0
20,1222076,Furniture,1
27,1141342,Electronics,1
61,991229,Electronics,1
58,1205315,Furniture,1
51,615035,Clothing,0
49,418389,Groceries,0
51,1142796,Electronics,1
23,939734,Clothing,1
59,253205,Clothing,0
24,331282,Groceries,0
61,738091,Clothing,0
41,346400,Groceries,0
40,1366228,Electronics,1
20,1379015,Clothing,1
26,739471,Electronics,0
59,1474886,Furniture,1
33,706820,Groceries,0
58,585115,Groceries,0
62,266009,Electronics,0
32,740915,Electronics,0
60,933137,Clothing,0
26,1255417,Furniture,1
31,262075,Furniture,0
35,541411,Furniture,1
26,620082,Furniture,1
54,820693,Electronics,1
21,1038924,Furniture,1
63,365154,Electronics,0
52,421484,Groceries,0
42,878699,Clothing,0
56,1434091,Clothing,0
38,645810,Groceries,0
64,329236,Clothing,0
56,1146700,Electronics,1
42,105904,Clothing,0
38,985269,Groceries,0
21,122891,Electronics,0
40,760995,Groceries,0
50,1283921,Clothing,0
43,693962,Clothing,0
51,1141335,Electronics,1
25,732416,Electronics,0
30,622081,Clothing,0
31,248413,Furniture,0
20,135428,Furniture,0
61,769024,Furniture,1
40,1306887,Electronics,1
28,1314721,Electronics,1
20,739154,Groceries,0
32,360965,Furniture,0
20,1366148,Furniture,1
59,644548,Clothing,0
38,113583,Electronics,0
44,803848,Electronics,1
52,1373376,Clothing,0
41,182941,Groceries,0
27,492939,Groceries,0
24,534138,Groceries,0
57,153120,Furniture,0
40,1246700,Clothing,0
39,783306,Groceries,0
34,881743,Electronics,1
30,1073060,Clothing,0
36,1106661,Furniture,1
35,744824,Furniture,1
41,322504,Electronics,0
28,1302580,Groceries,0
58,894565,Electronics,1
60,211044,Groceries,0
52,326885,Furniture,0
20,992461,Clothing,1
18,260082,Groceries,0
40,652588,Furniture,1
28,1116274,Electronics,1
60,1401684,Groceries,0
23,1468229,Furniture,1
59,160677,Groceries,0
62,156762,Furniture,0
53,766698,Furniture,1
34,576425,Furniture,1
53,296140,Electronics,0
53,802642,Furniture,1
44,840358,Clothing,0
29,279602,Groceries,0
42,756408,Furniture,1
20,1361276,Clothing,1
52,1369742,Furniture,1
32,442404,Furniture,0
37,1171357,Groceries,0
37,866524,Clothing,0
18,820632,Groceries,0
41,1143732,Furniture,1
44,1423388,Furniture,1
45,149254,Clothing,0
61,1127306,Furniture,1
50,124338,Groceries,0
57,498659,Groceries,0
28,1211754,Clothing,1
19,395161,Furniture,0
35,142615,Groceries,0
37,749456,Clothing,0
24,1145379,Electronics,1
56,1441676,Electronics,1
52,299449,Clothing,0
19,1142653,Clothing,1
62,661302,Electronics,0
26,267162,Furniture,0
36,726819,Electronics,0
64,1229785,Electronics,1
20,440484,Groceries,0
36,487505,Clothing,0
52,176046,Clothing,0
39,902639,Clothing,0
34,1079957,Electronics,1
58,1122593,Groceries,0
53,1259521,Furniture,1
24,152507,Clothing,1
59,1180297,Furniture,1
45,239045,Clothing,0
26,123548,Clothing,1
48,975666,Electronics,1
45,1228924,Groceries,0
22,882575,Furniture,1
49,166344,Furniture,0
28,123848,Groceries,0
24,118246,Furniture,0
64,1215265,Clothing,0
26,682110,Clothing,1
34,290649,Furniture,0
37,1260719,Clothing,0
45,1081205,Groceries,0
41,547879,Electronics,0
44,770838,Groceries,0
62,877033,Electronics,1
57,110724,Furniture,0
36,344115,Clothing,0
38,979108,Clothing,0
53,972958,Clothing,0
21,484446,Furniture,0
54,719362,Groceries,0
33,1136103,Groceries,0
47,267876,Clothing,0
18,595106,Electronics,0
38,987176,Electronics,1
33,296131,Groceries,0
22,812967,Groceries,0
31,213386,Furniture,0
65,655806,Furniture,1
59,1374445,Electronics,1
41,482784,Clothing,0
39,1048816,Clothing,0
57,112525,Clothing,0
62,597954,Electronics,0
55,1120266,Electronics,1
42,154800,Groceries,0
61,1126052,Electronics,1
48,1229148,Groceries,0
18,703012,Clothing,1
20,876196,Furniture,1
34,136168,Furniture,0
36,1247191,Clothing,0
49,814649,Clothing,0
29,1326192,Clothing,1
29,438504,Electronics,0
29,293455,Groceries,0
27,1076671,Clothing,1
41,1099780,Groceries,0
43,592650,Electronics,0
48,233927,Furniture,0
59,1017448,Groceries,0
56,376437,Clothing,0
61,1172662,Clothing,0
47,737249,Groceries,0
47,801165,Furniture,1
31,606908,Groceries,0
59,676331,Clothing,0
60,1403646,Groceries,0
53,756734,Groceries,0
61,1273146,Clothing,0
55,1399036,Groceries,0
65,689666,Clothing,0
56,416594,Electronics,0
51,525073,Groceries,0
33,1324551,Furniture,1
54,844426,Groceries,0
44,915464,Electronics,1
45,750787,Electronics,0
34,1263205,Electronics,1
37,528416,Furniture,1
63,740254,Electronics,0
20,901949,Clothing,1
36,433802,Electronics,0
19,283298,Electronics,0
49,496051,Groceries,0
32,1098046,Furniture,1
62,968168,Groceries,0
51,370764,Furniture,0
19,1406593,Electronics,1
42,1123746,Groceries,0
46,1002843,Electronics,1
46,1302569,Furniture,1
42,1338581,Groceries,0
54,1221774,Groceries,0
53,1349710,Furniture,1
34,283596,Clothing,0
40,975364,Groceries,0
56,876130,Clothing,0
36,1270428,Groceries,0
29,1454733,Clothing,1
44,735869,Clothing,0
31,759309,Furniture,1
33,691652,Clothing,0
26,575156,Electronics,0
31,1104984,Furniture,1
29,689411,Clothing,1
60,578784,Furniture,1
37,437239,Groceries,0
43,759913,Furniture,1
36,773321,Groceries,0
62,273615,Electronics,0
45,1076485,Clothing,0
34,598505,Electronics,0
63,230770,Clothing,0
32,570363,Clothing,0
58,749563,Clothing,0
60,633999,Groceries,0
33,1458169,Groceries,0
52,187528,Clothing,0
28,334391,Furniture,0
52,1034200,Clothing,0
48,376842,Furniture,0
41,486981,Clothing,0
62,180932,Electronics,0
49,779926,Clothing,0
21,694740,Electronics,0
50,948307,Furniture,1
41,801072,Groceries,0
60,1149189,Groceries,0
25,144398,Electronics,0
57,352497,Clothing,0
53,1440505,Clothing,0
40,306064,Groceries,0
34,307152,Clothing,0
37,1233268,Groceries,0
64,144498,Groceries,0
40,749497,Furniture,1
54,160939,Furniture,0
35,1105709,Clothing,0
23,729502,Groceries,0
45,1080085,Electronics,1
26,850776,Furniture,1
19,1209163,Clothing,1
23,1070787,Clothing,1
43,308092,Groceries,0
57,1153086,Electronics,1
61,798421,Clothing,0
64,967466,Clothing,0
24,1201201,Electronics,1
29,463592,Electronics,0
62,514447,Furniture,1
42,430137,Clothing,0
62,1170703,Electronics,1
56,1098482,Groceries,0
41,306436,Electronics,0
51,1342997,Groceries,0
46,245371,Clothing,0
41,694909,Groceries,0
33,365719,Clothing,0
21,259200,Groceries,0
54,903240,Electronics,1
21,644313,Clothing,1
52,482352,Electronics,0
51,394556,Furniture,0
60,593439,Electronics,0
41,400245,Groceries,0
43,879744,Clothing,0
62,1152141,Clothing,0
58,1334502,Electronics,1
30,594133,Electronics,0
27,271470,Clothing,1
37,484746,Furniture,0
63,532514,Furniture,1
19,1068861,Clothing,1
46,392788,Electronics,0
58,1170423,Electronics,1
21,454038,Clothing,1
25,1150841,Electronics,1
35,574992,Electronics,0
61,1495365,Clothing,0
35,867595,Clothing,0
47,255423,Groceries,0
21,1305017,Furniture,1
51,153332,Electronics,0
48,560679,Clothing,0
51,633977,Furniture,1
43,225447,Electronics,0
39,625055,Clothing,0
57,1358324,Groceries,0
31,378430,Electronics,0
