car_id,engine_cc,mileage_kmpl,fuel_type,transmission
C192,2345,14.9,,Automatic
C193,,,,Manual
C194,,,CNG,Automatic
C195,,,Petrol,Automatic
C196,,,,Automatic
C197,,,,
C198,,,Diesel,Manual
C199,,,Diesel,
C200,,,Petrol,Automatic
C201,1502,21.0,Petrol,
C202,,,,
C203,,,CNG,Manual
C204,,,Petrol,Automatic
C205,,,CNG,Automatic
C206,858,14.5,Petrol,
C207,,,Petrol,Automatic
C208,,,Diesel,
C209,,,,
C210,2998,15.2,Diesel,Manual
C211,2967,13.8,,
C212,,,,Manual
C213,1855,27.9,Diesel,
C214,,,,
C215,,,,Manual
C216,,,,Manual
C217,,,Petrol,
C218,,,,Automatic
C219,2785,12.7,CNG,
C220,,,Diesel,Automatic
C221,,,Diesel,
C222,2474,14.7,,
C223,,,,
C224,1468,8.7,Diesel,Manual
C225,,,CNG,Automatic
C226,2377,14.6,CNG,
C227,,,,Manual
C228,,,,
C229,,,,
C230,,,Diesel,
C231,1452,20.5,Petrol,Manual
C232,,,,
C233,,,Diesel,
C234,,,CNG,
C235,2046,15.1,,
C236,2853,14.1,CNG,Automatic
C237,,,Diesel,Automatic
C238,,,,Automatic
C239,1309,28.4,Diesel,
C240,,,,Automatic
C241,1381,13.6,Diesel,Manual
C242,,,Petrol,Automatic
C243,,,,
C244,,,,Manual
C245,872,19.9,Diesel,
C246,1104,12.1,CNG,
C247,,,Petrol,Manual
C248,,,Diesel,
C249,1460,9.6,Diesel,
C250,,,CNG,Manual
C251,,,CNG,
C252,,,,
C253,,,,
C254,1359,11.5,CNG,Automatic
C255,,,CNG,
C256,,,,
C257,,,,
C258,2775,23.8,CNG,
C259,,,CNG,
C260,2098,22.5,Petrol,Automatic
C261,1446,12.8,CNG,Manual
C262,,,Petrol,Automatic
C263,,,Petrol,
C264,2869,12.0,CNG,Manual
C265,,,,
C266,,,Diesel,Automatic
C267,,,Petrol,Manual
C268,,,Diesel,Manual
C269,2898,13.4,,
C270,2463,23.7,CNG,Automatic
C271,,,,Automatic
C272,2362,20.1,Diesel,Automatic
C273,,,,Manual
C274,1680,18.9,Petrol,
C275,,,CNG,Manual
C276,,,Petrol,Automatic
C277,,,,
C278,,,CNG,Automatic
C279,,,CNG,Automatic
C280,,,Diesel,Automatic
C281,,,,
C282,,,,Automatic
C283,,,Diesel,Manual
C284,,,CNG,
C285,2204,26.1,Petrol,
C286,1537,28.4,,
C287,806,15.5,Diesel,Manual
C288,,,Petrol,
C289,2330,10.9,,Automatic
C290,2769,26.1,,Automatic
C291,,,Diesel,Manual
C292,,,,
C293,2582,24.2,CNG,Manual
C294,2011,26.2,CNG,
C295,,,,Automatic
C296,,,,
C297,,,Petrol,Automatic
C298,,,,
C299,1317,11.6,Petrol,Manual
C300,,,Diesel,
C301,2938,11.9,Diesel,
C302,1568,23.0,,Automatic
C303,,,Petrol,Automatic
C304,,,,Manual
C305,,,,Automatic
C306,1584,12.0,Petrol,
C307,,,Petrol,
C308,,,,Automatic
C309,,,Diesel,
C310,,,,
C311,,,CNG,
C312,,,Petrol,Automatic
C313,2476,15.9,,Manual
C314,1889,13.6,,
C315,,,,Manual
C316,,,Petrol,
C317,,,,Manual
C318,1008,25.0,Diesel,
C319,,,Diesel,Manual
C320,,,,Automatic
C321,,,,Automatic
C322,,,CNG,
C323,,,,Automatic
C324,,,,Automatic
C325,1850,20.9,CNG,Automatic
C326,2912,13.2,Petrol,
C327,,,,
C328,,,CNG,Manual
C329,1918,21.4,CNG,Manual
C330,,,Diesel,Manual
C331,,,,
C332,,,Petrol,
C333,,,Diesel,Manual
C334,2081,17.8,,
C335,,,,
C336,,,Petrol,Automatic
C337,,,,Automatic
C338,,,,Automatic
C339,843,17.4,Petrol,
C340,,,,Manual
C341,834,17.1,,Manual
C342,,,Petrol,Manual
C343,1914,9.8,CNG,
C344,,,,
C345,1561,19.1,,
C346,,,,
C347,858,17.2,,Manual
C348,,,Diesel,
C349,,,,Manual
C350,917,18.0,Diesel,
C351,2996,11.0,CNG,
C352,1505,27.6,,Automatic
C353,,,,
C354,1643,10.5,,Manual
C355,,,Diesel,Manual
C356,,,Diesel,Manual
C357,1359,26.4,Diesel,
C358,,,,Automatic
C359,,,CNG,
C360,,,Diesel,Automatic
C361,,,,
C362,,,Diesel,
C363,,,,Automatic
C364,,,Petrol,Manual
C365,1010,10.7,Petrol,Manual
C366,1444,24.1,CNG,Automatic
C367,2501,16.0,Petrol,Automatic
C368,,,,Manual
C369,,,CNG,
C370,1511,25.8,CNG,
C371,,,Petrol,Automatic
C372,1034,17.2,,Automatic
C373,1339,18.1,Diesel,Automatic
C374,,,Petrol,Automatic
C375,,,,Manual
C376,,,,Automatic
C377,1859,8.8,CNG,Automatic
C378,,,,Automatic
C379,,,,Manual
C380,2645,17.1,,Automatic
C381,2201,14.5,,
C382,,,CNG,Automatic
C383,,,CNG,
C384,2408,22.5,,
C385,,,Diesel,
C386,,,Diesel,
C387,,,CNG,Automatic
C388,1414,8.9,,Automatic
C389,1290,23.9,,Manual
C390,2785,13.3,,Manual
C391,2226,9.8,Petrol,Manual
C392,,,CNG,
C393,1386,16.7,,Manual
C394,,,,Automatic
C395,1740,15.3,CNG,
C396,2185,18.7,,
C397,,,CNG,
C398,,,,
C399,,,Petrol,Manual
C400,2764,19.3,,
C401,,,Diesel,
C402,1926,27.2,,
C403,1199,25.3,CNG,Automatic
C404,803,16.4,Diesel,
C405,,,Petrol,
C406,,,,Manual
C407,1269,12.6,CNG,Automatic
C408,,,CNG,
C409,2854,19.7,,Manual
C410,1819,24.3,CNG,
C411,,,,Manual
C412,,,,Automatic
C413,,,Petrol,
C414,,,,
C415,2950,18.8,Petrol,
C416,1188,26.7,Petrol,Manual
C417,,,Petrol,Automatic
C418,1442,27.9,Diesel,Automatic
C419,,,,Automatic
C420,2223,21.7,Petrol,Automatic
C421,,,Petrol,Automatic
C422,,,,Manual
C423,,,,
C424,,,CNG,
C425,,,CNG,Automatic
C426,2331,25.7,,
C427,842,14.3,CNG,
C428,,,Petrol,Manual
C429,1441,19.7,Petrol,
C430,,,CNG,
C431,,,CNG,Automatic
C432,1135,10.8,Petrol,
C433,2811,26.1,,
C434,2422,23.2,CNG,Manual
C435,1962,16.8,Diesel,Automatic
C436,,,,Automatic
C437,2245,26.2,,
C438,,,Petrol,
C439,,,CNG,
C440,2232,19.4,Petrol,Automatic
C441,,,Petrol,Automatic
C442,,,Diesel,Automatic
C443,1491,13.4,,Manual
C444,,,Diesel,
C445,,,CNG,
C446,,,,Manual
C447,931,22.4,,Automatic
C448,,,Diesel,
C449,,,,
C450,,,,Manual
C451,,,CNG,
C452,,,Petrol,Manual
C453,,,CNG,
C454,,,CNG,
C455,1211,10.8,Petrol,Manual
C456,993,26.3,,Manual
C457,,,,Manual
C458,2289,8.6,,Manual
C459,,,,
C460,,,CNG,Manual
C461,1048,22.3,CNG,
C462,,,Petrol,Manual
C463,1305,26.5,CNG,Automatic
C464,,,Petrol,Automatic
C465,,,CNG,Manual
C466,,,CNG,Automatic
C467,,,,
C468,2076,18.3,Diesel,
C469,,,Petrol,
C470,2776,19.8,Diesel,Automatic
C471,,,,
C472,,,,Automatic
C473,,,,Automatic
C474,,,,Automatic
C475,,,Petrol,Manual
C476,,,Petrol,Automatic
C477,,,Petrol,
C478,,,CNG,Automatic
C479,,,Petrol,Manual
C480,1967,14.6,Diesel,
C481,,,Petrol,Manual
C482,,,CNG,Automatic
C483,,,CNG,
C484,,,,
C485,,,CNG,Automatic
C486,,,Petrol,Automatic
C487,1430,18.9,,Manual
C488,,,Petrol,
C489,,,,
C490,1028,14.7,CNG,Manual
C491,2794,8.5,Diesel,Manual
C492,,,Diesel,
C493,,,Diesel,Automatic
C494,,,CNG,
C495,,,Diesel,
C496,,,,Manual
C497,,,Petrol,
C498,1251,25.0,Petrol,
C499,,,,
C500,,,,Manual
C501,,,CNG,
C502,,,Petrol,
C503,,,Diesel,
C504,,,,
C505,,,CNG,Automatic
C506,,,Petrol,
C507,,,,Manual
C508,1361,18.9,Petrol,Manual
C509,,,,
C510,,,Petrol,
C511,,,Petrol,Automatic
C512,1608,13.7,,Automatic
C513,,,Petrol,Manual
C514,,,Diesel,
C515,,,Petrol,Automatic
C516,1930,14.2,,Automatic
C517,,,CNG,Automatic
C518,2264,16.1,,
C519,,,,Automatic
C520,,,Petrol,
C521,,,CNG,Automatic
C522,,,Petrol,Automatic
C523,,,CNG,
C524,,,Diesel,Automatic
C525,2670,9.3,Diesel,
C526,1038,27.5,,Automatic
C527,2807,13.3,Diesel,
C528,,,,
C529,,,Diesel,
C530,1968,15.8,Diesel,
C531,,,Petrol,
C532,,,,Automatic
C533,,,,Manual
C534,,,Petrol,Automatic
C535,,,,Manual
C536,873,27.2,,
C537,,,Petrol,Manual
C538,,,,
C539,1825,14.6,,
C540,,,,Manual
C541,,,,Manual
C542,2260,22.1,Diesel,Manual
C543,,,Petrol,Manual
C544,,,CNG,Automatic
C545,,,Diesel,
C546,,,,Manual
C547,,,,Manual
C548,,,,
C549,2723,16.6,,
C550,1671,17.7,Petrol,
C551,,,Petrol,
C552,2738,14.5,,Automatic
C553,,,Petrol,
C554,2473,20.6,Diesel,Automatic
C555,,,CNG,Automatic
C556,1196,25.8,Petrol,Manual
C557,2310,10.1,,
C558,,,Diesel,
C559,2332,24.9,,Automatic
C560,,,CNG,
C561,,,Petrol,
C562,,,Diesel,Manual
C563,,,,Automatic
C564,2450,11.6,CNG,Automatic
C565,,,CNG,
C566,,,CNG,
C567,,,Petrol,
C568,,,CNG,Manual
C569,,,CNG,
C570,,,Petrol,Manual
C571,,,Diesel,Manual
C572,,,,Automatic
C573,1048,16.9,Petrol,Manual
C574,,,,Manual
C575,,,,Automatic
C576,,,,Manual
C577,1289,10.2,Petrol,Manual
C578,,,,Manual
C579,2537,21.5,Petrol,
C580,,,,
C581,2635,10.9,Diesel,Automatic
C582,1791,22.7,Petrol,
C583,,,Diesel,
C584,,,Petrol,
C585,,,,
C586,,,Diesel,
C587,,,,Automatic
C588,,,Diesel,
C589,,,,
C590,,,Petrol,Manual
C591,,,,
C592,,,,Automatic
C593,1970,19.1,CNG,Manual
C594,1274,25.6,CNG,Automatic
C595,848,25.2,,Automatic
C596,2763,26.1,Petrol,
C597,,,CNG,Manual
C598,2728,26.1,Petrol,
C599,,,Diesel,
C600,,,,
C601,,,CNG,
C602,2956,25.2,Petrol,Automatic
C603,1581,25.7,,Automatic
C604,,,CNG,
C605,,,,
C606,,,,
C607,1605,28.4,Petrol,
C608,,,Petrol,
C609,,,,
C610,,,,
C611,,,Petrol,
C612,,,Petrol,
C613,1151,25.5,,
C614,2994,24.7,CNG,Manual
C615,1853,19.9,,
C616,2422,18.4,,Automatic
C617,,,Diesel,Automatic
C618,2674,13.6,Petrol,
C619,,,Petrol,Automatic
C620,2296,24.9,CNG,
C621,1895,11.2,,
C622,961,25.0,CNG,
C623,,,Diesel,
C624,2429,15.7,,
C625,,,Petrol,
C626,,,Diesel,
C627,,,Petrol,
C628,,,Diesel,Manual
C629,,,,Automatic
C630,1109,11.1,Diesel,
C631,1384,25.3,Diesel,Manual
C632,2485,24.0,Diesel,
C633,2579,18.0,,Automatic
C634,,,CNG,Automatic
C635,2457,24.6,CNG,Manual
C636,1865,26.7,,Automatic
C637,2176,16.2,,
C638,,,,
C639,,,Diesel,Automatic
C640,2944,9.8,Diesel,Automatic
C641,832,27.4,Diesel,
C642,,,Diesel,
C643,,,,Manual
C644,913,23.2,Diesel,Automatic
C645,,,,Manual
C646,,,CNG,Automatic
C647,2490,8.7,,
C648,2250,12.5,,Automatic
C649,,,Diesel,Automatic
C650,,,Diesel,
C651,2975,19.0,,Automatic
C652,,,CNG,
C653,,,,Manual
C654,,,Petrol,Manual
C655,,,,
C656,1861,15.8,,Automatic
C657,,,Diesel,Automatic
C658,,,Diesel,Manual
C659,1627,23.0,,Automatic
C660,,,CNG,Manual
C661,,,CNG,
C662,,,,
C663,,,CNG,Automatic
C664,,,Petrol,Manual
C665,1599,27.8,,Manual
C666,1967,8.1,Diesel,Automatic
C667,,,Diesel,Automatic
C668,,,CNG,Manual
C669,,,CNG,Automatic
C670,,,Diesel,
C671,2210,9.2,,Manual
C672,,,CNG,
C673,,,Petrol,
C674,,,Diesel,Automatic
C675,,,,Manual
C676,,,CNG,
C677,,,,
C678,,,,Manual
C679,,,,
C680,,,,Automatic
C681,2370,13.6,CNG,
C682,,,CNG,
C683,,,CNG,Manual
C684,,,,
C685,,,Petrol,Manual
C686,,,Petrol,
C687,,,Petrol,Manual
C688,1226,17.5,Diesel,
C689,,,,Manual
C690,,,,Manual
C691,,,CNG,Manual
C692,,,,
C693,1662,12.5,Diesel,
C694,,,CNG,Automatic
C695,,,Petrol,
C696,2795,22.7,Diesel,
C697,1193,19.7,,Manual
C698,,,Petrol,Manual
C699,,,Diesel,Automatic
C700,,,Diesel,
C701,,,,
C702,,,CNG,
C703,2223,10.6,,
C704,,,CNG,
C705,2548,8.8,Diesel,Manual
C706,2081,27.4,,Manual
C707,,,,
C708,,,Petrol,
C709,,,Petrol,
C710,1240,22.9,Petrol,Automatic
C711,,,Petrol,
C712,,,Diesel,
C713,,,Petrol,Manual
C714,,,Petrol,Manual
C715,,,Diesel,Manual
C716,,,,
C717,,,Petrol,
C718,,,Diesel,Automatic
C719,,,,Automatic
C720,,,,
C721,1107,13.9,,
C722,,,Diesel,Automatic
C723,,,,Manual
C724,,,,
C725,,,Petrol,Manual
C726,,,,
C727,,,CNG,Manual
C728,,,,
C729,,,,Manual
C730,,,CNG,Automatic
C731,1280,20.2,CNG,
C732,,,,
C733,1147,27.6,CNG,Automatic
C734,,,CNG,
C735,,,,
C736,,,Petrol,Manual
C737,,,CNG,Automatic
C738,,,,Automatic
C739,,,Diesel,
C740,2823,9.5,CNG,Automatic
C741,,,CNG,Manual
C742,2570,18.3,CNG,Manual
C743,,,,
C744,,,CNG,Manual
C745,2430,22.2,,
C746,,,CNG,
C747,,,Petrol,Manual
C748,,,Petrol,
C749,,,,Manual
C750,,,CNG,
C751,1988,11.3,,Manual
C752,,,,Automatic
C753,,,Petrol,Manual
C754,2525,27.5,,
C755,,,CNG,
C756,835,21.8,,Manual
C757,,,,
C758,,,Diesel,Manual
C759,,,,
C760,,,,Manual
C761,,,,
C762,,,,Manual
C763,,,Petrol,Automatic
C764,,,,
C765,,,CNG,Manual
C766,,,Petrol,
C767,1808,26.0,,
C768,,,,Manual
C769,1371,22.6,Diesel,Automatic
C770,1357,10.6,,Automatic
C771,1023,23.1,Diesel,Manual
C772,,,Petrol,Manual
C773,1489,13.4,,
C774,,,Petrol,Automatic
C775,2719,9.0,,Automatic
C776,,,Diesel,Automatic
C777,,,CNG,Automatic
C778,2475,8.3,CNG,
C779,,,,
C780,,,Petrol,Automatic
C781,,,Petrol,Automatic
C782,2126,12.9,Diesel,
C783,,,,
C784,,,,Manual
C785,,,,
C786,2951,22.8,CNG,
C787,,,,
C788,,,,
C789,,,Diesel,
C790,,,Petrol,Manual
C791,,,CNG,
C792,,,Petrol,Manual
C793,,,,Manual
C794,,,CNG,
C795,1160,13.6,Diesel,
C796,,,,
C797,2708,25.4,CNG,
C798,,,Petrol,Automatic
C799,,,Petrol,
C800,,,,
C801,,,Petrol,
C802,,,Diesel,Automatic
C803,,,CNG,
C804,1168,27.2,CNG,
C805,,,CNG,Automatic
C806,,,,
C807,,,Petrol,Manual
C808,,,CNG,
C809,1792,13.8,,Automatic
C810,,,CNG,Manual
C811,2910,17.6,Diesel,
C812,2093,14.9,,
C813,,,,Automatic
C814,,,,
C815,2222,8.6,Diesel,
C816,892,23.4,,Manual
C817,,,Petrol,Automatic
C818,2839,23.6,Petrol,
C819,1767,17.7,,
C820,,,,Manual
C821,2412,23.7,CNG,
C822,,,Diesel,
C823,1621,12.2,CNG,Manual
C824,,,,
C825,1451,27.6,,
C826,,,,Automatic
C827,,,Diesel,
C828,,,CNG,Automatic
C829,,,,Automatic
C830,2979,22.2,Petrol,Automatic
C831,1557,22.3,Petrol,
C832,,,CNG,
C833,1669,25.8,CNG,
C834,,,,Manual
C835,2679,17.0,Diesel,
C836,,,,Automatic
C837,1014,9.8,CNG,Manual
C838,,,Petrol,
C839,,,CNG,
C840,,,Petrol,
C841,,,Petrol,Automatic
C842,,,Diesel,Automatic
C843,,,,Automatic
C844,2861,25.7,Diesel,
C845,,,,
C846,,,Petrol,
C847,,,,
C848,,,Petrol,Manual
C849,,,Diesel,
C850,,,,Automatic
C851,,,Diesel,Automatic
C852,,,,Manual
C853,,,Petrol,
C854,,,CNG,
C855,,,CNG,
C856,,,,Manual
C857,,,Diesel,
C858,,,,Manual
C859,,,,
C860,,,Diesel,Automatic
C861,,,,Automatic
C862,,,Petrol,Automatic
C863,,,,
C864,,,,
C865,,,Diesel,Automatic
C866,,,Petrol,Manual
C867,,,CNG,
C868,1061,19.8,,
C869,,,Petrol,
C870,,,CNG,
C871,,,CNG,Automatic
C872,2500,9.8,Diesel,Automatic
C873,1376,16.2,Petrol,
C874,2181,25.8,CNG,
C875,1913,14.3,Diesel,
C876,,,Petrol,
C877,,,Petrol,Manual
C878,,,Petrol,
C879,,,Petrol,Automatic
C880,,,,
C881,,,CNG,
C882,,,,Automatic
C883,,,,Manual
C884,,,Diesel,
C885,1398,18.8,Diesel,
C886,,,Diesel,
C887,,,Petrol,
C888,856,20.0,Petrol,Manual
C889,,,Diesel,Automatic
C890,,,CNG,
C891,2115,17.0,CNG,
C892,,,,
C893,874,15.7,,Automatic
C894,,,,Manual
C895,,,,
C896,,,CNG,
C897,1136,22.1,CNG,
C898,1967,14.4,Petrol,Automatic
C899,,,,Automatic
C900,,,Petrol,Manual
C901,,,CNG,Manual
C902,,,,Automatic
C903,,,Diesel,Automatic
C904,,,,
C905,1695,18.4,Diesel,Automatic
C906,,,,Manual
C907,2761,23.6,,Automatic
C908,,,,Automatic
C909,,,,
C910,,,,
C911,,,,Automatic
C912,,,CNG,
C913,,,Diesel,
C914,,,CNG,
C915,,,,
C916,1696,21.8,,Manual
C917,,,,
C918,1717,19.5,Diesel,
C919,,,,Manual
C920,1998,11.5,CNG,Automatic
C921,,,,Automatic
C922,1596,13.1,,
C923,,,Diesel,
C924,,,Petrol,
C925,,,Petrol,Manual
C926,,,,
C927,,,Petrol,
C928,,,,Manual
C929,,,,
C930,,,Diesel,
C931,,,CNG,Manual
C932,,,Diesel,Manual
C933,1630,27.5,Diesel,
C934,2981,13.1,,
C935,,,Petrol,Manual
C936,,,,
C937,1051,13.7,Diesel,Automatic
C938,,,Diesel,
C939,,,Petrol,Automatic
C940,,,,
C941,,,,Manual
C942,2708,20.8,,Automatic
C943,1909,23.3,Petrol,Manual
C944,,,,
C945,,,Petrol,
C946,,,Petrol,Manual
C947,,,,
C948,2021,14.3,,Manual
C949,,,,Manual
C950,,,Petrol,
C951,,,Diesel,Automatic
C952,,,,
C953,,,CNG,
C954,,,,Automatic
C955,,,Diesel,
C956,2825,8.2,Petrol,Manual
C957,,,Diesel,
C958,2540,19.8,,Manual
C959,2752,15.3,,
C960,2815,21.9,,Automatic
C961,,,Petrol,
C962,,,Diesel,Automatic
C963,2533,22.3,,
C964,,,Petrol,
C965,1575,17.8,CNG,
C966,,,CNG,Manual
C967,2914,7.7,Petrol,
C968,2931,21.3,,
C969,,,,Automatic
C970,,,,
C971,,,Diesel,Manual
C972,,,CNG,Manual
C973,,,,
C974,,,,
C975,,,CNG,Manual
C976,,,,Automatic
C977,2358,7.9,,
C978,2170,23.6,Petrol,Automatic
C979,900,11.1,CNG,
C980,1729,24.0,,Manual
C981,2986,13.6,CNG,
C982,,,,
C983,,,CNG,
C984,,,,
C985,,,,Automatic
C986,,,,Automatic
C987,,,,
C988,,,Petrol,
C989,1974,11.3,,Automatic
C990,,,CNG,Automatic
C991,,,,Manual
C992,853,17.0,,
C993,,,CNG,
C994,,,Diesel,
C995,,,CNG,
C996,,,Diesel,Manual
C997,1055,22.7,Petrol,Manual
C998,,,Diesel,Manual
C999,,,CNG,
C1000,1624,19.6,Petrol,
