product_id,price,avg_rating,return_rate
P0311,9927,1.3,0.3
P0312,57528,4.4,0.04
P0313,4647,3.2,0.16
P0314,1283,2.6,0.12
P0315,45625,4.5,0.03
P0316,5602,2.0,0.26
P0317,9437,2.0,0.28
P0318,8047,1.3,0.26
P0319,5709,2.9,0.2
P0320,99394,4.5,0.03
P0321,11550,4.2,0.08
P0322,4171,2.6,0.09
P0323,14452,4.1,0.04
P0324,80627,4.7,0.03
P0325,69456,4.2,0.01
P0326,86198,4.6,0.04
P0327,66034,4.6,0.04
P0328,80718,4.6,0.05
P0329,1905,2.5,0.21
P0330,3154,3.9,0.13
P0331,80095,4.7,0.03
P0332,79304,4.3,0.03
P0333,85596,4.8,0.05
P0334,2835,2.8,0.06
P0335,4034,1.3,0.17
P0336,4585,3.7,0.15
P0337,4680,2.8,0.18
P0338,75482,4.9,0.03
P0339,3044,2.9,0.17
P0340,2424,1.7,0.2
P0341,73477,4.8,0.02
P0342,5645,1.6,0.3
P0343,4104,2.8,0.12
P0344,4457,3.1,0.09
P0345,66434,4.6,0.04
P0346,15390,3.8,0.08
P0347,70394,4.2,0.01
P0348,4086,2.1,0.18
P0349,5439,4.8,0.06
P0350,3111,3.8,0.1
P0351,7722,2.5,0.29
P0352,2351,1.7,0.16
P0353,19801,4.2,0.05
P0354,34839,5.0,0.03
P0355,7294,4.5,0.04
P0356,6297,3.6,0.03
P0357,29584,4.6,0.03
P0358,37994,4.2,0.05
P0359,98100,4.1,0.02
P0360,3959,3.3,0.07
P0361,2359,3.9,0.18
P0362,8506,4.7,0.09
P0363,1890,3.6,0.12
P0364,12873,4.1,0.06
P0365,26516,4.9,0.03
P0366,1275,1.6,0.22
P0367,8422,2.7,0.14
P0368,19128,3.8,0.07
P0369,4447,3.0,0.13
P0370,948,3.2,0.19
P0371,2317,3.7,0.09
P0372,1801,3.1,0.11
P0373,3632,3.4,0.15
P0374,1841,3.6,0.06
P0375,29398,4.3,0.03
P0376,4774,3.9,0.06
P0377,13076,3.9,0.05
P0378,16745,3.7,0.06
P0379,1648,3.6,0.18
P0380,72760,4.2,0.04
P0381,5207,1.3,0.22
P0382,48167,4.3,0.02
P0383,1093,3.1,0.11
P0384,37909,4.2,0.03
P0385,5392,2.1,0.25
P0386,8961,2.3,0.24
P0387,3467,2.9,0.2
P0388,84131,5.0,0.04
P0389,1042,2.7,0.23
P0390,7920,4.0,0.1
P0391,99493,4.4,0.03
P0392,10690,4.7,0.08
P0393,7223,1.2,0.15
P0394,11511,3.7,0.06
P0395,4122,3.3,0.15
P0396,3087,2.7,0.13
P0397,4954,1.6,0.21
P0398,55667,4.8,0.02
P0399,4286,2.9,0.09
P0400,3671,3.7,0.16
P0401,5691,2.3,0.29
P0402,3495,1.9,0.27
P0403,3861,3.4,0.12
P0404,12387,4.3,0.03
P0405,6244,2.1,0.18
P0406,71014,4.7,0.04
P0407,39859,4.4,0.04
P0408,1119,2.5,0.12
P0409,18268,4.5,0.07
P0410,45137,4.5,0.05
P0411,6440,4.0,0.08
P0412,14261,4.2,0.03
P0413,8913,4.2,0.05
P0414,4753,2.2,0.3
P0415,3480,2.8,0.18
P0416,6074,4.7,0.1
P0417,2561,2.9,0.08
P0418,37877,4.6,0.04
P0419,5209,1.1,0.13
P0420,11310,4.8,0.02
P0421,3556,2.8,0.09
P0422,2600,1.3,0.21
P0423,4901,3.0,0.19
P0424,6924,2.7,0.13
P0425,3637,1.9,0.18
P0426,5544,4.4,0.03
P0427,87364,4.9,0.02
P0428,5783,2.7,0.12
P0429,52765,4.7,0.03
P0430,17189,4.6,0.07
P0431,7853,3.8,0.07
P0432,18814,3.6,0.02
P0433,8998,2.8,0.28
P0434,3983,3.2,0.19
P0435,4122,2.5,0.17
P0436,5061,4.2,0.05
P0437,12665,4.4,0.04
P0438,4693,1.8,0.27
P0439,8024,3.6,0.02
P0440,1813,1.2,0.2
P0441,2017,2.8,0.17
P0442,64791,4.4,0.04
P0443,76228,4.5,0.05
P0444,93575,4.7,0.03
P0445,57575,4.2,0.01
P0446,70625,4.3,0.03
P0447,9936,1.6,0.25
P0448,18596,4.4,0.09
P0449,8678,4.1,0.08
P0450,47837,4.4,0.04
P0451,82963,4.0,0.05
P0452,2346,1.6,0.17
P0453,1855,3.8,0.1
P0454,49802,4.9,0.04
P0455,1666,1.9,0.28
P0456,1332,3.3,0.16
P0457,4374,1.6,0.19
P0458,2416,2.6,0.15
P0459,4134,2.5,0.11
P0460,3251,1.4,0.18
P0461,3003,2.6,0.09
P0462,17160,4.1,0.02
P0463,32895,5.0,0.03
P0464,2512,3.5,0.2
P0465,11303,4.6,0.03
P0466,8285,1.7,0.13
P0467,16024,3.8,0.06
P0468,18065,4.4,0.04
P0469,52380,4.2,0.02
P0470,97770,4.8,0.05
P0471,92683,4.4,0.01
P0472,9768,4.0,0.05
P0473,2957,2.6,0.21
P0474,29575,4.9,0.02
P0475,7939,1.2,0.2
P0476,68213,4.4,0.03
P0477,11822,4.0,0.09
P0478,5686,4.4,0.09
P0479,12551,3.5,0.08
P0480,98160,4.9,0.04
P0481,9595,2.3,0.29
P0482,27504,4.8,0.02
P0483,4367,3.2,0.11
P0484,43152,4.2,0.03
P0485,4411,2.5,0.18
P0486,3596,2.7,0.11
P0487,1002,2.7,0.09
P0488,17898,4.2,0.03
P0489,23219,4.8,0.02
P0490,14582,4.5,0.08
P0491,19653,4.4,0.07
P0492,10177,4.4,0.05
P0493,36472,4.6,0.03
P0494,8722,1.3,0.14
P0495,68344,4.2,0.03
P0496,1124,2.2,0.24
P0497,3533,1.4,0.13
P0498,75862,4.1,0.02
P0499,4065,2.7,0.3
P0500,18856,4.3,0.04
P0501,17595,3.7,0.09
P0502,4029,3.4,0.16
P0503,98791,4.8,0.04
P0504,59784,4.2,0.03
P0505,7270,1.1,0.25
P0506,6919,4.6,0.02
P0507,22485,4.9,0.04
P0508,4888,2.8,0.25
P0509,2661,1.2,0.18
P0510,13339,4.2,0.07
P0511,1886,3.8,0.17
P0512,4744,3.5,0.19
P0513,8008,3.0,0.29
P0514,2244,2.7,0.07
P0515,6044,4.6,0.08
P0516,18156,4.4,0.07
P0517,14376,4.4,0.06
P0518,4112,3.6,0.19
P0519,51592,4.6,0.03
P0520,55199,5.0,0.03
P0521,4120,3.4,0.16
P0522,12230,4.5,0.07
P0523,1772,3.8,0.1
P0524,6027,2.9,0.11
P0525,3893,3.8,0.11
P0526,7530,3.8,0.04
P0527,2998,3.3,0.09
P0528,1493,1.8,0.21
P0529,2563,3.8,0.15
P0530,2641,3.7,0.18
P0531,2996,2.5,0.21
P0532,8074,1.4,0.24
P0533,28306,4.7,0.05
P0534,6550,2.2,0.12
P0535,11928,4.1,0.07
P0536,1620,1.3,0.22
P0537,5525,2.9,0.18
P0538,14761,3.8,0.03
P0539,9728,1.4,0.16
P0540,885,2.8,0.12
P0541,6897,2.6,0.18
P0542,826,2.6,0.09
P0543,8210,2.5,0.14
P0544,60563,4.2,0.03
P0545,9755,3.6,0.02
P0546,26544,4.3,0.03
P0547,1944,2.8,0.12
P0548,67584,4.9,0.05
P0549,57347,4.6,0.01
P0550,2962,3.7,0.08
P0551,82156,5.0,0.01
P0552,2447,3.3,0.17
P0553,51843,4.2,0.02
P0554,7855,1.9,0.13
P0555,7794,4.4,0.06
P0556,41674,4.7,0.01
P0557,1542,1.1,0.13
P0558,11070,3.6,0.05
P0559,77454,4.6,0.05
P0560,612,4.0,0.2
P0561,3454,3.1,0.06
P0562,26810,4.1,0.03
P0563,12285,4.6,0.08
P0564,2231,2.8,0.18
P0565,24077,4.1,0.04
P0566,3281,3.2,0.16
P0567,36659,4.4,0.04
P0568,1637,2.7,0.16
P0569,1642,2.8,0.06
P0570,5051,1.9,0.12
P0571,4177,1.7,0.26
P0572,3047,3.5,0.11
P0573,16678,4.7,0.09
P0574,2017,3.8,0.06
P0575,9913,4.6,0.07
P0576,2513,3.3,0.16
P0577,733,2.8,0.06
P0578,63098,4.6,0.03
P0579,23985,4.3,0.02
P0580,4434,2.8,0.1
P0581,41157,4.3,0.03
P0582,9004,2.6,0.17
P0583,607,3.2,0.13
P0584,38713,4.6,0.04
P0585,6779,2.9,0.27
P0586,21750,4.4,0.02
P0587,66927,4.5,0.04
P0588,82684,4.6,0.03
P0589,33885,4.2,0.03
P0590,58924,4.3,0.01
P0591,43017,4.7,0.04
P0592,78403,4.2,0.05
P0593,16856,4.8,0.09
P0594,10700,4.3,0.05
P0595,18164,4.1,0.05
P0596,49236,4.2,0.04
P0597,13998,3.6,0.1
P0598,15269,4.8,0.1
P0599,33939,4.6,0.03
P0600,959,3.2,0.12
P0601,46848,4.6,0.05
P0602,44181,4.5,0.03
P0603,53144,4.1,0.01
P0604,2477,3.6,0.1
P0605,70396,4.4,0.05
P0606,835,3.8,0.06
P0607,18145,3.6,0.06
P0608,18548,4.7,0.04
P0609,12153,4.7,0.06
P0610,78240,4.3,0.03
P0611,1864,1.4,0.11
P0612,8098,2.2,0.13
P0613,4515,2.5,0.05
P0614,34621,4.7,0.04
P0615,31048,4.3,0.05
P0616,1947,3.0,0.19
P0617,45819,4.8,0.02
P0618,2570,3.7,0.05
P0619,6243,2.9,0.2
P0620,3821,3.7,0.19
P0621,11710,4.4,0.05
P0622,2843,3.5,0.08
P0623,9039,2.4,0.24
P0624,31079,5.0,0.05
P0625,8187,2.7,0.19
P0626,4000,3.7,0.13
P0627,565,3.7,0.16
P0628,14868,3.5,0.07
P0629,9733,3.7,0.05
P0630,14153,3.6,0.04
P0631,16321,4.7,0.06
P0632,19322,4.6,0.09
P0633,12368,3.8,0.04
P0634,73852,4.7,0.04
P0635,9474,1.1,0.13
P0636,15259,3.5,0.04
P0637,26716,4.0,0.02
P0638,3652,3.0,0.19
P0639,999,2.8,0.17
P0640,18537,4.6,0.06
P0641,785,2.5,0.13
P0642,5820,3.0,0.16
P0643,9853,1.2,0.21
P0644,2722,3.6,0.12
P0645,5870,1.2,0.16
P0646,1427,3.7,0.1
P0647,2025,3.0,0.14
P0648,3124,3.0,0.29
P0649,1368,3.3,0.16
P0650,9795,1.7,0.24
P0651,1012,3.2,0.13
P0652,1516,2.5,0.09
P0653,10774,3.5,0.04
P0654,1225,3.7,0.12
P0655,3201,2.8,0.18
P0656,1354,3.9,0.18
P0657,4538,3.9,0.06
P0658,6161,1.8,0.14
P0659,94434,4.0,0.04
P0660,3373,2.2,0.14
P0661,3847,3.2,0.12
P0662,82402,4.5,0.04
P0663,67745,4.9,0.01
P0664,2429,2.7,0.18
P0665,19771,3.8,0.08
P0666,1445,3.4,0.06
P0667,19550,3.8,0.03
P0668,4632,3.3,0.1
P0669,84032,4.6,0.02
P0670,55149,4.9,0.01
P0671,77605,4.3,0.02
P0672,79514,4.3,0.04
P0673,4853,3.0,0.14
P0674,6147,2.1,0.16
P0675,93115,4.5,0.01
P0676,3753,3.0,0.18
P0677,8438,2.1,0.25
P0678,5870,2.8,0.29
P0679,3870,3.0,0.19
P0680,1590,3.4,0.12
P0681,81180,4.4,0.04
P0682,5458,1.2,0.1
P0683,1847,1.1,0.15
P0684,8687,3.9,0.1
P0685,1902,3.3,0.17
P0686,7946,4.5,0.08
P0687,87921,4.2,0.04
P0688,6350,1.6,0.27
P0689,7971,4.6,0.07
P0690,1469,3.6,0.06
P0691,4083,1.4,0.21
P0692,765,3.7,0.07
P0693,4960,3.0,0.25
P0694,6392,4.1,0.1
P0695,5034,1.2,0.25
P0696,26667,4.3,0.02
P0697,8668,2.2,0.16
P0698,43277,4.5,0.02
P0699,59903,4.9,0.01
P0700,1273,3.3,0.11
P0701,576,3.9,0.17
P0702,5968,2.7,0.25
P0703,45662,4.8,0.04
P0704,28237,4.6,0.03
P0705,2682,3.3,0.05
P0706,26064,4.6,0.02
P0707,17958,4.0,0.05
P0708,73113,4.3,0.04
P0709,6687,2.6,0.16
P0710,2737,1.7,0.28
P0711,8286,2.8,0.1
P0712,70324,4.1,0.01
P0713,9364,4.2,0.1
P0714,10500,4.4,0.08
P0715,4053,3.4,0.13
P0716,14514,4.0,0.09
P0717,936,3.7,0.13
P0718,5985,2.7,0.29
P0719,16149,4.4,0.04
P0720,1642,2.9,0.06
P0721,12136,4.2,0.1
P0722,42777,4.6,0.04
P0723,13712,4.2,0.06
P0724,62271,4.2,0.04
P0725,10846,4.3,0.08
P0726,5408,1.8,0.2
P0727,3247,2.0,0.22
P0728,54000,4.0,0.03
P0729,1254,2.3,0.28
P0730,2616,3.7,0.12
P0731,91513,4.7,0.03
P0732,7501,1.8,0.3
P0733,2100,3.0,0.08
P0734,11787,4.1,0.08
P0735,15275,4.5,0.02
P0736,22880,4.8,0.03
P0737,4264,2.9,0.1
P0738,3802,3.6,0.11
P0739,2327,2.1,0.3
P0740,531,2.7,0.1
P0741,3028,3.9,0.11
P0742,10183,3.5,0.02
P0743,99936,4.3,0.02
P0744,1489,3.4,0.08
P0745,38174,4.0,0.05
P0746,39972,4.7,0.03
P0747,5937,1.4,0.12
P0748,5522,2.5,0.14
P0749,9987,1.8,0.13
P0750,56857,4.3,0.04
P0751,2794,2.9,0.17
P0752,8804,3.5,0.03
P0753,7095,3.8,0.03
P0754,3236,3.4,0.19
P0755,8680,2.3,0.27
P0756,6814,4.4,0.07
P0757,35560,4.4,0.01
P0758,7707,1.8,0.25
P0759,2576,3.7,0.09
P0760,1619,3.4,0.14
P0761,5502,4.1,0.04
P0762,3303,2.6,0.15
P0763,2493,2.1,0.12
P0764,1003,2.8,0.09
P0765,3078,1.9,0.18
P0766,12751,4.1,0.04
P0767,1944,3.0,0.11
P0768,7285,2.2,0.22
P0769,2331,1.8,0.2
P0770,13595,3.9,0.04
P0771,3272,2.0,0.26
P0772,49233,4.4,0.01
P0773,4314,3.7,0.11
P0774,5037,3.5,0.07
P0775,68589,4.8,0.03
P0776,3378,3.5,0.12
P0777,63555,4.7,0.02
P0778,9189,1.5,0.3
P0779,19900,3.7,0.04
P0780,12098,4.4,0.03
P0781,6286,1.5,0.16
P0782,2737,2.7,0.12
P0783,4112,2.2,0.18
P0784,15448,4.4,0.09
P0785,8915,2.8,0.11
P0786,2065,4.0,0.12
P0787,18176,3.5,0.09
P0788,2602,3.9,0.13
P0789,4961,2.0,0.22
P0790,61376,4.4,0.02
P0791,3716,3.8,0.15
P0792,94172,4.5,0.03
P0793,4986,3.3,0.12
P0794,63395,4.9,0.04
P0795,99064,4.3,0.02
P0796,86299,5.0,0.03
P0797,4954,3.8,0.06
P0798,2208,3.6,0.14
P0799,4183,2.4,0.11
P0800,4899,3.9,0.17
P0801,3352,2.9,0.18
P0802,2151,4.0,0.19
P0803,3385,3.7,0.12
P0804,2899,2.6,0.27
P0805,1409,2.5,0.09
P0806,4641,3.6,0.06
P0807,6145,3.8,0.07
P0808,13166,3.7,0.1
P0809,10058,4.5,0.03
P0810,12761,4.3,0.05
P0811,6719,2.3,0.29
P0812,8153,1.4,0.16
P0813,2368,1.3,0.11
P0814,2309,2.4,0.15
P0815,9528,1.6,0.15
P0816,51209,4.9,0.03
P0817,64836,4.2,0.03
P0818,2248,3.6,0.16
P0819,6685,2.5,0.16
P0820,12912,4.4,0.08
P0821,51983,4.0,0.04
P0822,4987,3.9,0.08
P0823,64874,4.5,0.03
P0824,40623,4.1,0.02
P0825,6285,1.5,0.3
P0826,40679,4.5,0.04
P0827,3633,3.1,0.05
P0828,9896,2.7,0.29
P0829,1437,2.8,0.1
P0830,45368,4.7,0.02
P0831,2353,3.5,0.17
P0832,7538,2.4,0.23
P0833,65958,4.8,0.04
P0834,16258,4.7,0.1
P0835,6506,3.6,0.05
P0836,13386,3.7,0.06
P0837,9871,1.0,0.12
P0838,13768,3.7,0.04
P0839,2825,3.6,0.14
P0840,4016,3.2,0.09
P0841,84543,4.6,0.03
P0842,28314,4.1,0.03
P0843,2041,3.5,0.06
P0844,9780,1.6,0.29
P0845,4104,3.7,0.08
P0846,33854,5.0,0.05
P0847,4363,3.1,0.17
P0848,11783,4.6,0.03
P0849,89782,4.6,0.03
P0850,85544,4.9,0.01
P0851,5008,3.0,0.17
P0852,1080,3.8,0.19
P0853,3917,3.7,0.2
P0854,89886,4.0,0.04
P0855,6010,1.6,0.11
P0856,10233,4.5,0.03
P0857,4444,3.6,0.09
P0858,41507,4.2,0.03
P0859,2738,2.8,0.17
P0860,4510,1.2,0.16
P0861,3133,1.6,0.2
P0862,2013,1.1,0.18
P0863,9710,2.9,0.2
P0864,4180,2.1,0.14
P0865,59306,4.5,0.05
P0866,6870,3.7,0.02
P0867,54937,4.2,0.05
P0868,15299,4.4,0.07
P0869,42178,4.1,0.03
P0870,17708,3.9,0.08
P0871,13514,3.9,0.07
P0872,16465,4.8,0.06
P0873,34286,5.0,0.04
P0874,4295,2.5,0.18
P0875,52423,5.0,0.04
P0876,1800,3.1,0.17
P0877,8044,2.2,0.24
P0878,8156,4.4,0.08
P0879,13480,3.5,0.07
P0880,7808,2.7,0.3
P0881,4860,2.9,0.18
P0882,625,3.9,0.16
P0883,19364,3.6,0.04
P0884,13832,4.3,0.08
P0885,42242,4.1,0.02
P0886,778,3.2,0.19
P0887,8634,2.8,0.15
P0888,23254,4.9,0.02
P0889,9933,2.8,0.21
P0890,15434,3.6,0.05
P0891,66503,4.2,0.04
P0892,8517,3.7,0.07
P0893,1953,3.2,0.07
P0894,93481,4.5,0.05
P0895,42103,4.3,0.03
P0896,30650,4.7,0.04
P0897,4839,2.8,0.17
P0898,5553,4.0,0.04
P0899,1121,2.9,0.09
P0900,998,2.6,0.11
P0901,10816,3.6,0.05
P0902,19603,3.5,0.06
P0903,4306,2.1,0.13
P0904,3454,3.2,0.06
P0905,14932,4.5,0.09
P0906,6596,1.9,0.23
P0907,68753,4.9,0.01
P0908,19614,4.8,0.07
P0909,9815,1.6,0.27
P0910,2623,3.0,0.18
P0911,4595,2.6,0.14
P0912,800,3.5,0.13
P0913,6822,2.3,0.15
P0914,8907,1.2,0.28
P0915,42205,4.9,0.02
P0916,1269,3.1,0.11
P0917,3253,3.0,0.07
P0918,14650,4.2,0.07
P0919,3107,1.5,0.3
P0920,22682,4.4,0.03
P0921,14692,4.3,0.04
P0922,2749,2.9,0.09
P0923,1851,2.5,0.07
P0924,851,3.0,0.11
P0925,14647,4.0,0.08
P0926,7434,2.9,0.1
P0927,2127,2.6,0.06
P0928,1229,3.6,0.15
P0929,2106,2.8,0.07
P0930,1485,2.6,0.12
P0931,1010,2.7,0.06
P0932,5171,3.6,0.05
