article_id,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19,tfidf_20
A0016,0.178,0.996,0.096,0.908,0.644,0.328,0.594,0.347,0.988,0.665,0.647,0.673,0.258,0.716,0.102,0.015,0.029,0.874,0.541,0.196
A0017,0.046,0.7,0.91,0.942,0.702,0.626,0.692,0.713,0.476,0.397,0.266,0.837,0.436,0.361,0.509,0.851,0.344,0.188,0.543,0.409
A0018,0.124,0.253,0.22,1.0,0.781,0.84,0.842,0.805,0.516,0.295,0.459,0.373,0.456,0.284,0.175,0.336,0.419,0.368,0.47,0.965
A0019,0.039,0.561,0.732,0.789,0.344,0.899,0.723,0.92,0.387,0.074,0.073,0.002,0.937,0.913,0.592,0.9,0.362,0.864,0.236,0.138
A0020,0.504,0.792,0.681,0.414,0.231,0.696,0.336,0.059,0.585,0.058,0.413,0.511,0.344,0.881,0.01,0.767,0.945,0.259,0.162,0.065
A0021,0.94,0.302,0.114,0.48,0.365,0.733,0.044,0.874,0.77,0.573,0.191,0.957,0.033,0.358,0.332,0.761,0.052,0.174,0.351,0.51
A0022,0.915,0.507,0.825,0.63,0.353,0.861,0.93,0.783,0.169,0.734,0.747,0.364,0.948,0.893,0.528,0.874,0.833,0.271,0.763,0.969
A0023,0.841,0.275,0.168,0.06,0.975,0.547,0.967,0.629,0.463,0.915,0.565,0.393,0.319,0.926,0.245,0.937,0.5,0.042,0.928,0.697
A0024,0.817,0.179,0.219,0.799,0.409,0.066,0.503,0.398,0.662,0.777,0.83,0.773,0.004,0.173,0.468,0.23,0.19,0.582,0.903,0.168
A0025,0.119,0.307,0.471,0.151,0.735,0.247,0.013,0.418,0.398,0.657,0.633,0.972,0.981,0.199,0.828,0.274,0.053,0.241,0.337,0.943
A0026,0.632,0.345,0.975,0.443,0.121,0.063,0.049,0.105,0.033,0.249,0.417,0.757,0.307,0.3,0.06,0.721,0.17,0.208,0.228,0.865
A0027,0.278,0.453,0.277,0.322,0.926,0.719,0.251,0.778,0.053,0.47,0.907,0.318,0.902,0.492,0.768,0.369,0.68,0.574,0.078,0.146
A0028,0.544,0.649,0.502,0.451,0.273,0.162,0.946,0.011,0.797,0.541,0.502,0.32,0.849,0.684,0.208,0.588,0.353,0.797,0.128,0.45
A0029,0.118,0.273,0.742,0.871,0.604,0.722,0.374,0.393,0.376,0.737,0.077,0.72,0.888,0.961,0.078,0.57,0.538,0.17,0.722,0.006
A0030,0.54,0.564,0.065,0.045,0.769,0.393,0.375,0.72,0.222,0.622,0.573,0.808,0.631,0.552,0.799,0.36,0.954,0.35,0.212,0.646
A0031,0.164,0.149,0.933,0.307,0.131,0.965,0.517,0.0,0.044,0.529,0.776,0.662,0.397,0.676,0.688,0.965,0.046,0.582,0.825,0.109
A0032,0.56,0.281,0.511,0.254,0.755,0.764,0.881,0.041,0.956,0.073,0.321,0.689,0.586,0.931,0.013,0.472,0.541,0.307,0.545,0.164
A0033,0.254,0.92,0.261,0.782,0.802,0.323,0.488,0.517,0.89,0.496,0.506,0.375,0.322,0.695,0.46,0.311,0.581,0.494,0.802,0.518
A0034,0.029,0.157,0.863,0.177,0.508,0.658,0.758,0.653,0.136,0.725,0.466,0.85,0.391,0.352,0.567,0.218,0.417,0.138,0.759,0.706
A0035,0.948,0.262,0.983,0.085,0.628,0.07,0.8,0.076,0.102,0.348,0.293,0.4,0.66,0.174,0.102,0.019,0.15,0.397,0.252,0.438
A0036,0.227,0.426,0.786,0.752,0.104,0.644,0.105,0.204,0.613,0.592,0.536,0.588,0.426,0.097,0.698,0.135,0.944,0.838,0.026,0.312
A0037,0.426,0.8,0.837,0.994,0.548,0.607,0.18,0.195,0.144,0.998,0.665,0.925,0.55,0.502,0.466,0.567,0.09,0.994,0.395,0.863
A0038,0.47,0.054,0.551,0.288,0.418,0.602,0.572,0.144,0.471,0.82,0.863,0.686,0.71,0.75,0.733,0.315,0.847,0.02,0.813,0.382
A0039,0.45,0.974,0.685,0.127,0.78,0.835,0.908,0.341,0.665,0.22,0.199,0.186,0.524,0.924,0.18,0.326,0.838,0.286,0.355,0.644
A0040,0.62,0.926,0.144,0.772,0.04,0.41,0.102,0.104,0.468,0.102,0.875,0.078,0.032,0.394,0.319,0.574,0.647,0.628,0.215,0.715
A0041,0.172,0.073,0.44,0.443,0.766,0.759,0.153,0.061,0.183,0.877,0.293,0.672,0.282,0.335,0.268,0.468,0.913,0.665,0.104,0.261
A0042,0.029,0.168,0.396,0.686,0.895,0.184,0.171,0.828,0.919,0.502,0.162,0.988,0.295,0.072,0.251,0.733,0.461,0.104,0.327,0.827
A0043,0.431,0.575,0.561,0.231,0.816,0.288,0.476,0.057,0.187,0.551,0.2,0.758,0.301,0.561,0.179,0.174,0.562,0.393,0.288,0.01
A0044,0.886,0.211,0.295,0.59,0.252,0.45,0.102,0.887,0.656,0.499,0.556,0.111,0.553,0.427,0.895,0.58,0.663,0.962,0.54,0.252
A0045,0.046,0.329,0.34,0.412,0.418,0.194,0.411,0.624,0.318,0.83,0.332,0.627,0.727,0.757,0.866,0.221,0.454,0.785,0.476,0.005
A0046,0.978,0.714,0.706,0.407,0.549,0.143,0.869,0.336,0.867,0.5,0.278,0.383,0.54,0.641,0.961,0.584,0.251,0.822,0.641,0.353
A0047,0.072,0.184,0.806,0.169,0.793,0.26,0.034,0.836,0.763,0.502,0.571,0.629,0.622,0.168,0.519,0.426,0.687,0.535,0.249,0.178
A0048,0.587,0.673,0.436,0.057,0.039,0.376,0.205,0.301,0.425,0.808,0.305,0.144,0.194,0.407,0.651,0.038,0.677,0.904,0.663,0.554
A0049,0.488,0.658,0.773,0.136,0.229,0.713,0.358,0.824,0.219,0.308,0.998,0.606,0.229,0.915,0.178,0.759,0.573,0.062,0.487,0.902
A0050,0.555,0.509,0.002,0.547,0.947,0.026,0.701,0.271,0.473,0.654,0.469,0.177,0.504,0.326,0.673,0.497,0.315,0.644,0.94,0.879
A0051,0.052,0.893,0.283,0.001,0.178,0.312,0.344,0.096,0.599,0.618,0.094,0.868,0.98,0.739,0.75,0.379,0.436,0.312,0.985,0.269
A0052,0.777,0.546,0.764,0.745,0.719,0.767,0.184,0.364,0.114,0.239,0.312,0.615,0.329,0.335,0.552,0.336,0.227,0.112,0.682,0.445
A0053,0.848,0.011,0.684,0.654,0.154,0.664,0.088,0.476,0.464,0.914,0.226,0.951,0.941,0.168,0.662,0.391,0.945,0.339,0.91,0.351
A0054,0.611,0.262,0.424,0.275,0.797,0.568,0.712,0.366,0.656,0.224,0.2,0.064,0.797,0.566,0.842,0.599,0.012,0.301,0.955,0.687
A0055,0.667,0.889,0.112,0.334,0.472,0.906,0.027,0.875,0.813,0.216,0.395,0.514,0.658,0.367,0.242,0.392,0.761,0.649,0.952,0.193
A0056,0.423,0.886,0.696,0.695,0.935,0.078,0.929,0.772,0.742,0.193,0.949,0.279,0.304,0.345,0.765,0.42,0.176,0.794,0.746,0.61
A0057,0.339,0.107,0.713,0.873,0.242,0.44,0.905,0.648,0.798,0.016,0.642,0.633,0.436,0.788,0.774,0.805,0.013,0.69,0.968,0.398
A0058,0.348,0.987,0.931,0.071,0.247,0.316,0.144,0.497,0.153,0.915,0.552,0.713,0.891,0.483,0.599,0.611,0.628,0.977,0.992,0.931
A0059,0.024,0.732,0.438,0.501,0.756,0.789,0.922,0.123,0.312,0.776,0.313,0.113,0.479,0.586,0.451,0.761,0.019,0.37,0.392,0.393
A0060,0.276,0.347,0.497,0.525,0.981,0.252,0.133,0.223,0.043,0.718,0.131,0.799,0.473,0.095,0.188,0.85,0.651,0.451,0.736,0.916
A0061,0.417,0.55,0.701,0.486,0.622,0.774,0.54,0.51,0.029,0.498,0.11,0.035,0.495,0.274,0.402,0.109,0.349,0.119,0.767,0.225
A0062,0.04,0.228,0.029,0.441,0.781,0.799,0.492,0.159,0.375,0.242,0.245,0.996,0.802,0.142,0.654,0.264,0.143,0.68,0.579,0.584
A0063,0.036,0.967,0.483,0.592,0.881,0.425,0.501,0.863,0.278,0.04,0.753,0.384,0.233,0.373,0.378,0.562,0.222,0.506,0.129,0.316
A0064,0.592,0.86,0.258,0.685,0.978,0.499,0.189,0.576,0.437,0.828,0.16,0.884,0.104,0.413,0.888,0.502,0.025,0.596,0.879,0.341
A0065,0.308,0.296,0.999,0.311,0.739,0.699,0.363,0.806,0.519,0.558,0.317,0.769,0.427,0.426,0.303,0.296,0.379,0.364,0.707,0.969
A0066,0.727,0.997,0.357,0.315,0.712,0.075,0.548,0.396,0.735,0.073,0.097,0.88,0.152,0.705,0.744,0.286,0.728,0.751,0.447,0.504
A0067,0.038,0.406,0.491,0.233,0.632,0.864,0.842,0.485,0.114,0.04,0.144,0.541,0.68,0.923,0.412,0.731,0.108,0.602,0.147,0.289
A0068,0.411,0.935,0.91,0.427,0.311,0.859,0.884,0.613,0.875,0.336,0.687,0.825,0.885,0.154,0.561,0.382,0.71,0.279,0.084,0.156
A0069,0.355,0.293,0.751,0.797,0.714,0.725,0.465,0.345,0.066,0.106,0.95,0.29,0.617,0.999,0.518,0.309,0.095,0.115,0.126,0.996
A0070,0.007,0.013,0.329,0.637,0.05,0.043,0.635,0.641,0.953,0.363,0.295,0.214,0.463,0.218,0.407,0.845,0.525,0.337,0.703,0.816
A0071,0.676,0.987,0.524,0.103,0.792,0.863,0.969,0.456,0.76,0.054,0.957,0.745,0.746,0.13,0.219,0.195,0.238,0.609,0.582,0.293
A0072,0.843,0.372,0.871,0.145,0.877,0.402,0.838,0.307,0.405,0.327,0.736,0.631,0.369,0.711,0.453,0.879,0.301,0.318,0.611,0.216
A0073,0.934,0.505,0.388,0.074,0.815,0.171,0.541,0.206,0.081,0.206,0.932,0.852,0.403,0.123,0.05,0.173,0.254,0.1,0.997,0.227
A0074,0.179,0.13,0.689,0.351,0.515,0.206,0.883,0.388,0.475,0.149,0.763,0.939,0.484,0.766,0.543,0.894,0.028,0.186,0.268,0.239
A0075,0.269,0.06,0.176,0.142,0.976,0.975,0.765,0.271,0.2,0.954,0.129,0.357,0.482,0.813,0.924,0.151,0.929,0.847,0.278,0.256
A0076,0.25,0.248,0.711,0.162,0.872,0.163,0.858,0.07,0.208,0.834,0.393,0.521,0.111,0.413,0.863,0.919,0.85,0.09,0.604,0.706
A0077,0.885,0.2,0.323,0.206,0.229,0.216,0.149,0.852,0.523,0.816,0.871,0.423,0.403,0.277,0.669,0.107,0.826,0.814,0.206,0.137
A0078,0.083,0.118,0.574,0.837,0.029,0.318,0.249,0.678,0.186,0.086,0.934,0.876,0.963,0.12,0.698,0.187,0.807,0.55,0.119,0.974
A0079,0.733,0.733,0.466,0.065,0.117,0.611,0.5,0.116,0.72,0.258,0.657,0.425,0.018,0.791,0.899,0.839,0.631,0.859,0.498,0.38
A0080,0.51,0.12,0.083,0.663,0.39,0.759,0.535,0.039,0.423,0.167,0.16,0.534,0.524,0.041,0.18,0.2,0.508,0.134,0.552,0.453
A0081,0.778,0.555,0.286,0.504,0.201,0.957,0.302,0.007,0.758,0.065,0.486,0.992,0.653,0.903,0.854,0.076,0.818,0.968,0.035,0.743
A0082,0.802,0.322,0.852,0.131,0.615,0.412,0.776,0.976,0.253,0.626,0.369,0.185,0.712,0.684,0.774,0.618,0.09,0.032,0.465,0.006
A0083,0.923,0.164,0.464,0.684,0.48,0.011,0.159,0.234,0.473,0.336,0.532,0.43,0.519,0.083,0.817,0.513,0.944,0.524,0.025,0.738
A0084,0.971,0.367,0.391,0.75,0.62,0.471,0.02,0.598,0.375,0.485,0.147,0.319,0.309,0.25,0.93,0.654,0.026,0.182,0.928,0.455
A0085,0.433,0.92,0.584,0.398,0.726,0.601,0.278,0.305,0.834,0.224,0.962,0.955,0.447,0.847,0.787,0.772,0.241,0.004,0.584,0.768
A0086,0.156,0.636,0.701,0.269,0.6,0.28,0.61,0.674,0.132,0.176,0.485,0.372,0.025,0.649,0.681,0.115,0.54,0.202,0.305,0.361
A0087,0.38,0.521,0.496,0.449,0.845,0.99,0.666,0.695,0.32,0.5,0.986,0.093,0.578,0.628,0.604,0.926,0.078,0.941,0.37,0.473
A0088,0.036,0.503,0.615,0.854,0.575,0.568,0.763,0.813,0.251,0.95,0.512,0.908,0.012,0.203,0.33,0.21,0.007,0.619,0.597,0.067
A0089,0.411,0.887,0.117,0.435,0.574,0.701,0.993,0.855,0.68,0.282,0.136,0.045,0.535,0.069,0.554,0.854,0.302,0.789,0.171,0.963
A0090,0.838,0.559,0.966,0.063,0.2,0.809,0.336,0.713,0.261,0.635,0.379,0.419,0.917,0.989,0.38,0.431,0.217,0.313,0.879,0.433
A0091,0.098,0.237,0.048,0.744,0.437,0.548,0.874,0.579,0.948,0.067,0.08,0.297,0.758,0.614,0.819,0.99,0.169,0.39,0.163,0.444
A0092,0.618,0.652,0.17,0.973,0.579,0.176,0.67,0.013,0.326,0.424,0.243,0.157,0.213,0.498,0.365,0.407,0.939,0.092,0.247,0.919
A0093,0.596,0.994,0.278,0.537,0.344,0.837,0.817,0.162,0.797,0.056,0.325,0.123,0.289,0.502,0.012,0.932,0.994,0.856,0.028,0.12
A0094,0.386,0.661,0.72,0.084,0.677,0.227,0.334,0.964,0.92,0.982,0.81,0.031,0.372,0.901,0.714,0.932,0.89,0.062,0.079,0.305
A0095,0.316,0.867,0.364,0.047,0.753,0.38,0.763,0.803,0.341,0.01,0.99,0.441,0.1,0.883,0.841,0.168,0.455,0.546,0.004,0.551
A0096,0.529,0.115,0.739,0.104,0.767,0.99,0.138,0.503,0.45,0.92,0.788,0.071,0.488,0.831,0.105,0.948,0.872,0.942,0.152,0.038
A0097,0.248,0.292,0.779,0.852,0.866,0.532,0.126,0.679,0.923,0.376,0.328,0.401,0.32,0.342,0.656,0.485,0.895,0.539,0.33,0.473
A0098,0.033,0.166,0.032,0.022,0.568,0.678,0.237,0.489,0.753,0.931,0.332,0.725,0.505,0.914,0.082,0.63,0.581,0.817,0.334,0.081
A0099,0.336,0.241,0.268,0.57,0.694,0.574,0.847,0.554,0.389,0.552,0.115,0.58,0.082,0.678,0.045,0.359,0.034,0.54,0.881,0.904
A0100,0.266,0.346,0.51,0.544,0.883,0.098,0.503,0.718,0.558,0.419,0.351,0.707,0.664,0.947,0.608,0.908,0.74,0.411,0.629,0.562
A0101,0.615,0.314,0.645,0.627,0.657,0.278,0.257,0.282,0.02,0.959,0.367,0.945,0.357,0.14,0.046,0.792,0.223,0.328,0.797,0.021
A0102,0.869,0.868,0.898,0.574,0.597,0.054,0.887,0.514,0.811,0.376,0.12,0.602,0.656,0.146,0.851,0.171,0.395,0.59,0.194,0.778
A0103,0.231,0.07,0.442,0.898,0.465,0.6,0.616,0.313,0.152,0.878,0.22,0.356,0.941,0.819,0.652,0.546,0.296,0.165,0.453,0.653
A0104,0.206,0.953,0.082,0.626,0.996,0.901,0.154,0.775,0.678,0.536,0.936,0.972,0.58,0.041,0.906,0.147,0.688,0.639,0.835,0.483
A0105,0.091,0.12,0.501,0.771,0.274,0.703,0.489,0.758,0.814,0.481,0.294,0.563,0.159,0.817,0.315,0.074,0.531,0.983,0.584,0.811
A0106,0.755,0.706,0.898,0.798,0.852,0.951,0.866,0.504,0.271,0.471,0.325,0.678,0.928,0.231,0.483,0.779,0.95,0.043,0.458,0.618
A0107,0.137,0.757,0.065,0.696,0.032,0.045,0.308,0.621,0.303,0.129,0.968,0.173,0.251,0.088,0.325,0.296,0.916,0.594,0.066,0.458
A0108,0.669,0.516,0.82,0.517,0.369,0.838,0.819,0.888,0.415,0.478,0.245,0.99,0.966,0.948,0.893,0.182,0.814,0.686,0.931,0.064
A0109,0.533,0.673,0.482,0.208,0.182,0.093,0.392,0.044,0.316,0.98,0.384,0.776,0.146,0.858,0.043,0.139,0.137,0.074,0.981,0.853
A0110,0.14,0.714,0.56,0.611,0.074,0.655,0.094,0.436,0.31,0.97,0.553,0.056,0.28,0.853,0.28,0.541,0.788,0.956,0.406,0.443
A0111,0.443,0.453,0.286,0.095,0.648,0.605,0.807,0.284,0.739,0.98,0.965,0.751,0.586,0.792,0.86,0.347,0.433,0.972,0.182,0.343
A0112,0.293,0.698,0.96,0.352,0.573,0.134,0.757,0.31,0.81,0.111,0.703,0.144,0.695,0.365,0.329,0.294,0.295,0.614,0.178,0.165
A0113,0.482,0.934,0.368,0.365,0.362,0.494,0.997,0.096,0.482,0.313,0.388,0.757,0.976,0.289,0.214,0.865,0.818,0.209,0.435,0.35
A0114,0.532,0.492,0.071,0.792,0.704,0.937,0.478,0.819,0.413,0.355,0.168,0.545,0.939,0.054,0.13,0.637,0.073,0.141,0.934,0.672
A0115,0.291,0.167,0.538,0.163,0.416,0.68,0.784,0.334,0.473,0.536,0.733,0.517,0.685,0.219,0.683,0.878,0.807,0.273,0.253,0.127
A0116,0.893,0.782,0.64,0.193,0.094,0.062,0.652,0.81,0.465,0.917,0.073,0.652,0.603,0.983,0.045,0.845,0.014,0.71,0.008,0.531
A0117,0.462,0.774,0.003,0.681,0.0,0.845,0.858,0.705,0.581,0.902,0.618,0.775,0.081,0.936,0.299,0.884,0.528,0.396,0.295,0.693
A0118,0.374,0.194,0.367,0.627,0.907,0.743,0.082,0.453,0.762,0.336,0.916,0.563,0.798,0.697,0.681,0.405,0.368,0.581,0.317,0.099
A0119,0.597,0.201,0.93,0.77,0.358,0.127,0.156,0.498,0.333,0.882,0.695,0.151,0.017,0.906,0.845,0.217,0.531,0.151,0.219,0.263
A0120,0.339,0.424,0.85,0.069,0.794,0.261,0.559,0.043,0.326,0.11,0.59,0.705,0.899,0.006,0.986,0.212,0.075,0.074,0.076,0.544
A0121,0.791,0.831,0.814,0.836,0.803,0.842,0.451,0.054,0.288,0.27,0.887,0.109,0.13,0.601,0.333,0.929,0.11,0.388,0.95,0.323
A0122,0.029,0.288,0.312,0.458,0.006,0.735,0.473,0.11,0.185,0.356,0.962,0.472,0.405,0.979,0.338,0.683,0.263,0.265,0.112,0.907
A0123,0.251,0.155,0.085,0.204,0.608,0.5,0.371,0.833,0.621,0.425,0.535,0.566,0.852,0.234,0.971,0.271,0.351,0.427,0.768,0.06
A0124,0.767,0.158,0.439,0.699,0.247,0.53,0.919,0.522,0.59,0.158,0.732,0.767,0.089,0.496,0.313,0.211,0.338,0.531,0.992,0.019
A0125,0.731,0.774,0.855,0.183,0.959,0.59,0.322,0.656,0.623,0.22,0.229,0.884,0.85,0.199,0.935,0.32,0.47,0.821,0.325,0.487
A0126,0.402,0.406,0.791,0.134,0.549,0.238,0.241,0.719,0.728,0.928,0.143,0.162,0.079,0.887,0.308,0.252,0.913,0.454,0.471,0.249
A0127,0.715,0.952,0.768,0.936,0.568,0.915,0.936,0.265,0.893,0.021,0.82,0.401,0.34,0.086,0.926,0.367,0.475,0.711,0.072,0.242
A0128,0.832,0.194,0.549,0.295,0.342,0.367,0.548,0.424,0.643,0.722,0.801,0.986,0.949,0.202,0.686,0.083,0.028,0.112,0.747,0.496
A0129,0.049,0.986,0.435,0.241,0.787,0.781,0.109,0.274,0.955,0.356,0.846,0.462,0.323,0.49,0.148,0.274,0.383,0.628,0.086,0.403
A0130,0.638,0.421,0.169,0.853,0.331,0.218,0.061,0.98,0.687,0.665,0.529,0.29,0.023,0.498,0.102,0.309,0.534,0.634,0.698,0.224
A0131,0.7,0.612,0.035,0.463,0.294,0.445,0.951,0.277,0.836,0.835,0.348,0.029,0.657,0.993,0.088,0.38,0.228,0.058,0.561,0.02
A0132,0.077,0.366,0.123,0.347,0.972,0.851,0.351,0.634,0.773,0.254,0.628,0.987,0.518,0.418,0.495,0.695,0.935,0.044,0.567,0.833
A0133,0.31,0.403,0.914,0.891,0.301,0.421,0.646,0.258,0.714,0.843,0.487,0.247,0.195,0.322,0.581,0.852,0.303,0.233,0.07,0.873
A0134,0.798,0.046,0.12,0.433,0.721,0.708,0.002,0.594,0.26,0.011,0.444,0.134,0.171,0.717,0.899,0.486,0.681,0.089,0.534,0.92
A0135,0.377,0.652,0.084,0.913,0.384,0.405,0.713,0.243,0.457,0.798,0.505,0.234,0.587,0.023,0.94,0.65,0.889,0.122,0.233,0.172
A0136,0.586,0.51,0.819,0.804,0.4,0.761,0.187,0.981,0.601,0.957,0.466,0.676,0.331,0.208,0.228,0.504,0.107,0.973,0.955,0.336
A0137,0.612,0.031,0.89,0.037,0.518,0.912,0.264,0.572,0.688,0.882,0.452,0.555,0.763,0.679,0.377,0.387,0.947,0.004,0.368,0.966
A0138,0.376,0.985,0.666,0.514,0.057,0.594,0.904,0.326,0.733,0.758,0.684,0.875,0.518,0.102,0.338,0.357,0.633,0.409,0.533,0.263
A0139,0.639,0.117,0.944,0.62,0.927,0.695,0.543,0.63,0.905,0.045,0.368,0.755,0.119,0.976,0.511,0.013,0.084,0.71,0.579,0.005
A0140,0.666,0.705,0.204,0.463,0.771,0.743,0.132,0.977,0.794,0.05,0.414,0.815,0.804,0.19,0.281,0.481,0.013,0.377,0.47,0.763
A0141,0.118,0.273,0.172,0.394,0.967,0.603,0.116,0.279,0.06,0.273,0.974,0.441,0.926,0.998,0.418,0.168,0.212,0.246,0.393,0.633
A0142,0.506,0.017,0.288,0.495,0.595,0.842,0.28,0.733,0.915,0.737,0.712,0.228,0.788,0.839,0.522,0.018,0.661,0.171,0.551,0.538
A0143,0.593,0.273,0.059,0.429,0.798,0.183,0.321,0.287,0.183,0.928,0.83,0.658,0.185,0.344,0.834,0.828,0.424,0.634,0.382,0.952
A0144,0.426,0.457,0.255,0.233,0.339,0.752,0.917,0.074,0.121,0.632,0.84,0.665,0.834,0.917,0.167,0.308,0.457,0.107,0.512,0.527
A0145,0.38,0.575,0.222,0.737,0.615,0.016,0.964,0.887,0.43,0.618,0.105,0.559,0.133,0.431,0.623,0.597,0.647,0.992,0.87,0.875
A0146,0.635,0.33,0.456,0.981,0.013,0.644,0.2,0.829,0.818,0.736,0.363,0.398,0.062,0.671,0.928,0.556,0.305,0.126,0.716,0.09
A0147,0.193,0.799,0.108,0.332,0.084,0.929,0.272,0.407,0.118,0.565,0.339,0.168,0.489,0.384,0.719,0.282,0.073,0.234,0.96,0.132
A0148,0.21,0.828,0.45,0.259,0.55,0.975,0.084,0.798,0.933,0.874,0.779,0.356,0.942,0.843,0.91,0.125,0.23,0.243,0.578,0.535
A0149,0.705,0.541,0.291,0.701,0.524,0.872,0.718,0.751,0.241,0.558,0.177,0.303,0.865,0.464,0.323,0.374,0.79,0.265,0.142,0.6
A0150,0.975,0.173,0.648,0.762,0.081,0.801,0.589,0.971,0.505,0.597,0.823,0.513,0.429,0.999,0.654,0.714,0.32,0.47,0.694,0.338
A0151,0.596,0.49,0.154,0.036,0.9,0.101,0.961,0.162,0.85,0.999,0.065,0.642,0.114,0.334,0.474,0.557,0.104,0.932,0.986,0.977
A0152,0.556,0.951,0.027,0.093,0.304,0.657,0.309,0.963,0.257,0.585,0.211,0.069,0.579,0.785,0.804,0.063,0.441,0.427,0.802,0.81
A0153,0.459,0.645,0.073,0.46,0.918,0.717,0.781,0.655,0.175,0.67,0.591,0.746,0.14,0.469,0.118,0.577,0.591,0.174,0.668,0.294
A0154,0.996,0.901,0.857,0.872,0.58,0.855,0.838,0.247,0.969,0.484,0.259,0.602,0.294,0.659,0.652,0.305,0.352,0.334,0.296,0.055
A0155,0.289,0.243,0.214,0.937,0.325,0.656,0.74,0.792,0.824,0.451,0.064,0.048,0.651,0.882,0.655,0.459,0.63,0.28,0.95,0.505
A0156,0.499,0.339,0.919,0.747,0.291,0.178,0.481,0.247,0.589,0.881,0.904,0.113,0.215,0.943,0.916,0.093,0.038,0.163,0.013,0.878
A0157,0.043,0.39,0.268,0.218,0.634,0.564,0.627,0.164,0.782,0.375,0.489,0.263,0.457,0.075,0.187,0.148,0.846,0.746,0.595,0.802
A0158,0.983,0.476,0.908,0.856,0.727,0.891,0.444,0.578,0.231,0.056,0.339,0.037,0.748,0.777,0.331,0.711,0.597,0.137,0.68,0.292
A0159,0.719,0.228,0.658,0.901,0.075,0.79,0.193,0.161,0.31,0.286,0.044,0.72,0.743,0.895,0.53,0.788,0.564,0.328,0.949,0.57
A0160,0.466,0.383,0.179,0.254,0.828,0.45,0.335,0.212,0.121,0.834,0.431,0.596,0.613,0.208,0.069,0.909,0.936,0.339,0.574,0.809
A0161,0.713,0.451,0.284,0.892,0.819,0.364,0.664,0.749,0.873,0.598,0.54,0.001,0.092,0.957,0.911,0.354,0.011,0.623,0.062,0.147
A0162,0.307,0.415,0.942,0.209,0.887,0.846,0.891,0.503,0.048,0.33,0.67,0.965,0.169,0.664,0.309,0.324,0.496,0.196,0.007,0.958
A0163,0.396,0.094,0.417,0.546,0.73,0.647,0.385,0.694,0.883,0.377,0.158,0.693,0.296,0.087,0.847,0.543,0.739,0.597,0.265,0.885
