batting_avg,strike_rate,centuries,matches_played,selected
34.32,130.33,28,229,1
57.45,82.82,10,267,1
52.43,96.06,30,34,1
27.48,94.98,7,275,0
47.76,153.01,26,82,1
17.81,109.57,29,56,1
22.72,101.57,19,139,1
30.39,151.01,2,191,0
19.59,82.73,23,63,1
38.9,160.88,3,112,0
30.42,114.5,1,12,0
23.59,112.95,4,152,0
15.96,142.35,6,248,0
34.74,70.56,12,65,0
52.0,166.76,5,115,1
32.4,91.61,14,4,0
11.19,125.13,12,93,0
35.83,126.66,10,188,1
35.48,65.38,28,145,1
50.96,74.92,10,90,1
38.95,87.55,18,17,1
30.01,148.49,11,119,1
13.92,69.9,12,179,0
42.59,132.35,27,121,1
10.93,82.62,4,132,0
59.48,126.43,10,224,1
33.2,105.16,9,11,0
10.84,122.01,1,29,0
42.93,159.77,1,20,0
36.92,65.58,10,199,0
50.35,174.77,12,34,1
22.34,124.73,29,240,1
47.08,164.11,21,56,1
42.3,111.35,11,155,1
58.73,111.75,23,288,1
26.83,123.09,1,188,0
27.36,66.65,16,144,1
13.86,81.67,6,185,0
20.15,92.1,20,217,1
14.68,157.51,17,159,1
51.02,116.33,24,30,1
56.1,157.46,17,5,1
30.03,116.51,4,185,0
21.21,170.61,28,18,1
21.01,78.51,9,261,0
53.61,75.56,16,58,1
40.49,149.82,15,248,1
53.1,115.87,9,195,1
54.29,61.4,26,139,1
52.24,128.42,29,33,1
35.36,154.81,24,1,1
14.66,137.9,6,41,0
36.06,145.34,5,191,0
51.67,76.04,23,207,1
42.52,167.21,18,31,1
28.79,167.32,23,159,1
58.73,106.4,13,117,1
41.56,72.79,13,119,1
14.75,177.63,11,22,0
29.34,63.27,29,227,1
38.52,77.56,11,149,1
57.09,64.32,18,19,1
38.86,61.47,29,229,1
56.15,167.37,20,102,1
51.88,90.9,7,132,1
35.0,88.66,27,118,1
49.99,166.56,27,82,1
10.96,77.47,12,85,0
17.53,142.7,23,220,1
55.36,81.1,25,228,1
32.99,116.2,7,12,0
47.28,140.78,25,259,1
20.69,125.95,15,164,1
43.74,133.43,8,272,1
59.66,155.07,24,273,1
27.74,64.06,2,260,0
51.77,134.38,7,135,1
33.48,105.58,12,165,1
14.47,103.49,23,41,1
22.59,81.99,19,41,1
42.21,177.13,0,30,0
48.06,82.37,25,15,1
43.9,90.34,19,35,1
13.34,112.12,20,78,1
19.85,110.61,9,238,0
14.44,175.33,13,184,1
12.54,67.47,2,165,0
38.21,94.95,6,49,0
35.22,129.06,27,12,1
21.3,78.31,6,112,0
16.38,165.22,18,221,1
42.09,170.98,30,172,1
16.62,162.18,22,99,1
30.7,109.81,2,217,0
40.8,127.99,3,1,0
35.35,87.34,1,157,0
48.69,126.3,12,21,1
20.89,177.7,17,103,1
35.13,105.56,19,229,1
28.55,136.6,1,163,0
47.8,168.13,9,59,1
51.22,87.35,21,227,1
29.3,137.49,18,195,1
49.94,175.95,13,282,1
56.35,161.19,4,11,1
51.45,82.53,24,168,1
18.35,130.69,15,268,1
18.11,166.99,24,48,1
48.12,134.09,27,193,1
27.18,113.33,4,83,0
46.59,146.57,12,108,1
50.22,159.68,7,252,1
33.77,160.21,25,48,1
11.41,62.99,5,291,0
22.26,138.88,3,260,0
43.8,167.72,12,267,1
11.53,144.25,1,284,0
11.32,99.98,7,264,0
47.58,110.3,26,207,1
34.51,77.69,11,246,1
33.78,123.68,2,173,0
26.66,151.61,19,266,1
45.68,113.02,12,26,1
11.25,137.1,26,167,1
23.25,123.65,27,116,1
41.12,103.07,29,196,1
15.7,127.59,0,83,0
12.19,107.93,11,115,0
13.96,153.79,10,42,0
33.09,102.49,10,191,1
17.6,96.41,5,228,0
22.61,135.31,17,62,1
21.95,101.08,25,194,1
11.66,175.46,6,18,0
15.35,153.04,15,261,1
32.48,163.61,4,1,0
22.69,155.81,14,268,1
13.58,118.05,14,287,1
49.45,173.01,26,115,1
20.57,79.74,0,86,0
57.35,136.38,22,299,1
29.8,94.01,22,263,1
27.2,83.09,15,166,1
17.25,115.15,25,158,1
46.25,152.94,7,13,0
29.35,127.51,22,223,1
12.63,127.85,0,113,0
10.87,85.82,29,219,1
14.01,93.32,27,141,1
13.44,158.39,18,255,1
10.64,158.05,21,245,1
48.11,77.93,26,19,1
36.83,97.03,15,62,1
26.89,140.91,17,124,1
14.67,147.23,0,15,0
58.56,74.23,29,119,1
17.19,176.4,26,298,1
21.69,129.6,28,212,1
40.93,72.31,11,2,0
59.98,152.87,3,256,1
33.08,87.98,28,262,1
55.2,70.49,3,278,1
39.5,151.87,15,118,1
50.68,80.66,7,273,1
44.86,70.33,7,6,0
49.42,138.79,16,289,1
44.53,175.51,12,64,1
38.42,143.35,2,108,0
43.42,134.69,3,55,0
29.21,121.59,20,170,1
55.07,78.86,16,255,1
39.16,145.5,17,114,1
40.85,177.03,19,232,1
49.99,172.42,19,105,1
36.93,136.38,0,160,0
28.52,87.02,6,89,0
49.38,126.22,22,240,1
57.13,164.17,22,58,1
47.82,123.72,10,136,1
59.8,172.6,23,291,1
53.28,134.77,27,131,1
48.85,129.29,19,205,1
30.02,101.81,30,129,1
36.75,141.91,19,222,1
42.49,169.9,28,111,1
41.38,88.62,17,222,1
17.21,129.69,9,77,0
17.37,155.04,15,282,1
26.12,163.6,9,183,1
36.56,169.24,0,80,0
23.06,125.02,25,185,1
21.39,85.83,8,164,0
17.93,150.06,20,131,1
50.7,93.47,28,9,1
44.51,163.3,9,165,1
14.03,161.07,29,247,1
20.12,98.09,10,78,0
27.7,103.38,20,1,1
41.59,92.01,0,15,0
23.97,152.82,21,196,1
14.56,107.76,1,213,0
17.47,71.92,1,215,0
35.27,153.86,17,194,1
44.08,138.99,1,25,0
24.15,76.54,1,116,0
20.92,147.34,11,51,0
33.91,138.02,25,129,1
23.92,153.52,8,210,0
42.38,92.36,4,60,0
12.04,129.87,9,6,0
53.7,61.69,7,106,0
17.2,91.12,6,173,0
38.57,126.98,5,289,1
32.2,145.86,20,152,1
20.98,101.29,4,298,0
55.23,80.01,17,147,1
15.61,133.6,3,183,0
40.93,83.39,8,242,1
58.85,80.72,0,98,0
17.91,67.43,17,110,0
30.83,74.61,5,218,0
30.3,62.33,23,141,1
45.78,133.16,8,248,1
19.86,159.17,20,81,1
25.76,173.06,5,36,0
27.67,84.46,3,199,0
40.99,111.85,25,151,1
36.7,148.04,22,271,1
41.19,137.33,8,41,0
15.11,110.8,13,232,0
53.82,164.4,19,116,1
42.43,131.5,21,298,1
47.77,77.01,7,178,1
27.28,111.18,7,296,1
31.16,62.32,13,92,0
33.49,97.51,26,63,1
32.17,76.94,28,261,1
47.34,137.32,24,73,1
54.92,172.58,19,278,1
16.12,179.58,10,131,0
47.48,117.22,14,99,1
13.84,137.67,8,80,0
12.22,82.59,9,55,0
54.4,145.76,12,76,1
11.94,84.5,18,240,1
38.53,72.69,27,164,1
38.39,139.3,19,158,1
42.24,85.51,21,176,1
43.42,68.62,25,34,1
29.25,108.19,7,2,0
13.1,61.77,18,101,0
46.91,121.11,5,234,1
26.36,98.16,8,18,0
40.86,64.57,7,2,0
34.25,149.63,5,78,0
55.02,161.74,12,273,1
53.98,110.16,30,9,1
17.39,103.88,0,213,0
34.44,93.13,27,9,1
34.0,69.94,2,292,0
14.17,111.71,0,178,0
22.52,128.17,28,243,1
55.88,108.62,29,46,1
42.91,140.29,10,230,1
54.68,173.83,14,154,1
44.19,136.37,3,58,0
46.17,87.9,1,289,0
56.0,84.2,17,161,1
44.53,110.56,15,172,1
26.95,96.96,7,116,0
14.63,140.35,19,67,1
35.51,167.97,5,176,1
34.54,139.18,5,42,0
16.25,148.72,0,210,0
50.65,83.38,9,140,1
20.43,166.26,21,51,1
21.04,88.92,29,38,1
45.35,88.9,13,87,1
55.09,120.18,27,205,1
22.52,141.72,9,128,0
52.56,142.32,26,146,1
29.87,77.36,17,117,1
59.04,156.86,28,295,1
54.79,151.01,2,244,1
56.95,68.51,23,112,1
24.6,175.59,2,72,0
41.83,128.29,17,3,1
30.7,171.39,15,154,1
42.23,127.07,9,144,1
49.82,94.14,10,177,1
49.01,81.35,19,187,1
45.22,103.39,13,216,1
50.35,116.24,3,129,0
21.14,169.3,23,1,1
42.12,150.01,27,169,1
34.2,103.74,5,100,0
24.39,97.55,7,173,0
52.34,146.17,8,103,1
14.62,141.01,1,41,0
53.94,69.45,11,118,1
32.93,171.31,3,179,0
47.99,158.37,26,186,1
29.28,152.26,17,279,1
32.64,71.98,19,192,1
40.26,97.24,9,78,0
45.77,154.7,27,26,1
35.02,86.21,30,217,1
50.19,62.33,3,9,0
37.92,62.02,25,8,1
35.63,82.06,10,116,0
29.04,80.44,20,118,1
26.07,93.22,13,131,0
22.64,156.16,8,22,0
10.52,77.21,22,298,1
42.15,164.52,22,176,1
43.21,96.94,17,51,1
36.22,179.07,6,168,1
45.46,134.48,0,130,0
54.01,64.71,3,169,0
21.63,61.34,28,137,1
10.47,151.29,16,241,1
15.41,174.36,10,31,0
54.03,94.44,15,69,1
17.98,144.81,8,13,0
45.77,66.19,3,94,0
42.65,87.57,20,183,1
10.05,132.76,14,81,0
20.78,143.46,25,123,1
30.5,139.78,26,8,1
42.4,104.77,23,137,1
25.28,149.86,12,174,1
56.05,77.01,30,160,1
49.39,173.98,22,217,1
11.09,135.23,16,249,1
37.65,113.09,23,294,1
20.76,130.27,24,276,1
42.11,61.42,4,183,0
59.58,122.8,24,215,1
51.0,161.96,23,12,1
22.41,73.49,22,239,1
34.49,60.89,21,27,1
54.21,176.37,7,44,1
37.45,111.5,15,78,1
30.89,159.1,20,21,1
30.51,83.79,13,130,0
29.53,132.01,4,65,0
49.17,70.01,4,158,0
49.22,108.48,19,177,1
45.36,78.08,30,177,1
21.13,126.47,13,220,1
55.29,64.55,6,137,0
12.68,94.42,3,197,0
12.1,140.01,1,131,0
44.05,145.49,22,209,1
58.95,65.81,17,80,1
47.71,73.63,3,206,0
59.47,74.88,14,240,1
12.2,114.97,24,255,1
17.72,160.96,30,196,1
42.42,121.42,6,70,0
49.67,149.57,9,15,1
51.41,81.47,2,183,0
49.69,174.33,20,29,1
58.28,176.86,12,274,1
47.25,87.37,9,70,0
43.86,126.23,4,46,0
23.05,103.36,12,245,1
18.27,160.91,24,35,1
10.66,124.19,26,274,1
55.59,156.47,5,292,1
48.92,178.86,27,45,1
18.22,170.76,30,286,1
15.95,163.47,25,125,1
11.84,174.02,4,36,0
27.06,116.12,21,175,1
48.55,108.55,7,182,1
39.35,115.87,3,88,0
29.22,132.55,26,149,1
42.75,174.2,12,265,1
56.81,84.25,16,67,1
54.08,143.02,11,92,1
15.57,125.95,25,260,1
34.25,118.04,10,55,0
32.26,70.99,18,101,1
42.72,140.33,18,173,1
11.34,119.61,29,133,1
20.06,178.73,0,209,0
32.19,76.49,17,36,1
14.87,175.05,13,256,1
34.1,163.19,26,66,1
18.72,88.41,8,295,0
49.33,68.22,7,248,1
38.45,102.68,20,240,1
38.75,63.02,19,283,1
28.72,145.43,23,232,1
10.57,61.96,24,245,1
34.57,148.15,27,54,1
13.19,167.89,20,52,1
45.44,168.39,8,133,1
21.16,157.91,2,176,0
43.62,134.86,14,251,1
39.46,143.5,14,127,1
47.6,74.66,13,188,1
12.47,70.51,8,31,0
52.41,76.1,23,69,1
15.6,175.79,14,53,0
15.97,165.72,22,273,1
33.84,114.85,19,236,1
16.58,93.82,18,248,1
55.75,82.07,22,263,1
23.52,123.3,11,104,0
47.45,112.74,3,210,0
10.26,139.28,16,196,1
23.79,75.63,6,233,0
18.42,140.85,3,217,0
12.86,79.96,16,260,1
49.7,162.19,12,149,1
30.78,63.83,0,213,0
46.65,93.23,15,142,1
32.53,143.92,13,122,1
10.39,154.94,8,72,0
44.12,126.94,7,216,1
18.95,110.55,6,296,0
45.0,150.92,15,98,1
31.31,73.47,21,293,1
15.64,154.14,19,91,1
42.85,163.98,20,204,1
24.4,115.22,0,52,0
52.6,117.81,15,286,1
23.05,72.19,14,102,0
32.84,150.71,21,64,1
58.75,174.4,3,124,1
33.37,78.47,13,61,0
33.42,85.78,17,286,1
45.18,111.58,15,300,1
41.63,127.08,17,235,1
49.05,80.19,7,223,1
34.46,132.21,12,116,1
23.08,142.68,12,60,0
34.99,92.44,20,170,1
42.75,102.71,10,155,1
27.22,161.02,17,50,1
22.15,123.15,26,118,1
18.04,161.22,4,259,0
29.62,139.87,12,206,1
43.02,175.65,0,214,0
40.63,83.16,11,34,0
44.27,173.4,14,28,1
35.49,99.18,24,212,1
54.56,129.16,25,65,1
31.6,98.0,10,282,1
30.9,120.34,4,66,0
43.07,125.92,25,6,1
28.25,112.45,13,196,1
38.31,173.45,1,178,0
18.2,122.79,27,193,1
22.96,146.27,7,259,0
20.75,123.69,16,50,0
20.56,96.47,23,201,1
23.06,102.39,11,38,0
27.8,141.35,20,282,1
47.05,91.89,10,172,1
17.23,146.58,17,217,1
57.74,164.64,23,200,1
44.57,77.96,22,171,1
16.11,95.83,5,175,0
48.83,133.27,18,202,1
13.25,60.93,6,16,0
32.77,170.59,24,202,1
45.99,85.73,30,76,1
10.81,142.88,13,295,1
34.24,174.78,5,6,0
44.85,164.22,26,51,1
24.81,115.77,14,197,1
49.82,94.2,24,269,1
40.01,154.89,29,273,1
58.46,74.28,17,98,1
23.63,109.33,22,173,1
37.95,114.55,10,195,1
18.64,174.2,23,81,1
55.75,120.87,28,265,1
21.34,128.48,30,227,1
17.04,141.42,21,6,1
10.53,151.7,19,46,1
39.54,90.96,2,276,0
16.26,173.84,28,116,1
22.01,173.92,16,295,1
26.53,91.33,22,25,1
54.83,72.44,1,140,0
53.97,74.04,30,204,1
44.75,108.6,23,191,1
24.63,164.06,25,84,1
33.38,142.06,22,122,1
39.33,115.81,21,273,1
52.34,124.47,27,4,1
34.19,101.66,5,55,0
12.64,67.41,23,28,0
19.26,131.67,6,16,0
43.07,88.15,22,280,1
41.94,168.44,19,122,1
44.58,149.35,28,202,1
20.54,143.64,13,174,1
58.99,101.69,17,95,1
30.17,138.51,11,273,1
38.8,176.79,16,36,1
39.04,147.86,26,255,1
54.39,128.13,30,70,1
47.7,70.54,28,89,1
49.72,165.38,1,112,0
26.89,173.78,20,265,1
31.03,62.74,18,293,1
38.06,64.96,25,119,1
57.49,88.72,9,114,1
38.42,157.25,30,201,1
25.58,125.21,14,143,1
53.26,102.49,8,102,1
30.75,155.04,21,174,1
31.87,101.36,28,127,1
19.88,145.18,15,207,1
47.2,169.79,8,246,1
30.66,160.95,29,140,1
51.26,89.39,20,3,1
12.16,121.92,24,16,1
52.35,88.05,2,158,0
41.8,102.76,21,194,1
16.81,108.45,18,151,1
45.55,130.29,12,280,1
24.67,158.54,0,278,0
37.12,164.21,14,109,1
38.86,161.23,22,256,1
55.91,154.04,29,244,1
47.19,116.82,6,175,1
40.71,103.51,3,244,0
22.99,66.02,28,24,1
42.05,81.6,2,149,0
13.41,170.04,27,73,1
24.22,111.09,29,149,1
56.34,153.88,20,146,1
58.07,150.6,5,144,1
22.97,119.87,28,29,1
42.9,142.5,11,290,1
56.97,178.4,5,40,1
23.27,78.58,17,202,1
42.17,91.26,24,115,1
24.72,62.04,6,3,0
17.56,118.02,29,119,1
16.37,177.88,20,58,1
43.22,118.78,16,194,1
38.08,152.21,2,13,0
27.86,111.13,26,88,1
11.12,154.61,5,187,0
35.05,69.08,26,25,1
36.17,94.76,29,81,1
12.51,126.04,7,161,0
48.33,127.65,15,159,1
32.73,178.71,12,30,1
32.77,90.89,13,218,1
57.23,131.87,2,24,0
29.55,108.27,21,247,1
25.5,144.14,13,211,1
40.94,102.76,5,114,0
31.68,138.91,13,175,1
33.86,114.04,11,62,0
21.18,143.55,22,51,1
11.75,72.9,0,31,0
34.92,144.81,10,213,1
35.37,70.32,6,186,0
50.31,72.35,25,251,1
19.9,92.01,3,283,0
31.6,178.74,3,209,0
34.59,131.93,17,154,1
30.57,96.92,26,132,1
29.45,144.91,6,72,0
31.03,178.36,18,38,1
34.66,179.99,25,237,1
23.65,132.84,0,244,0
22.51,100.3,23,75,1
49.56,96.37,30,81,1
35.49,155.11,0,253,0
21.35,70.13,5,282,0
36.82,68.58,24,146,1
44.39,178.27,4,279,1
50.49,165.15,10,238,1
10.54,113.44,17,60,0
33.89,87.65,24,23,1
14.1,137.1,15,171,1
23.57,105.64,7,115,0
24.44,161.66,13,275,1
17.17,173.08,1,107,0
44.66,141.29,27,244,1
47.55,79.06,28,31,1
39.04,110.52,9,242,1
22.44,62.43,4,153,0
56.63,82.47,5,52,0
21.03,93.31,23,224,1
39.94,70.97,26,275,1
29.65,175.18,5,190,0
50.11,111.81,30,77,1
31.41,122.6,25,45,1
55.51,136.26,11,2,1
51.35,119.06,14,168,1
18.07,105.0,2,194,0
22.54,119.23,24,297,1
13.12,67.43,17,137,0
18.25,151.12,9,159,0
22.88,177.12,11,86,0
51.71,104.34,30,16,1
47.64,88.83,13,246,1
13.7,163.42,22,235,1
23.53,125.73,27,115,1
49.19,160.67,25,81,1
16.58,77.71,25,248,1
45.45,168.95,28,22,1
59.84,163.15,25,107,1
46.56,81.26,11,63,1
26.22,150.51,26,18,1
39.36,86.38,10,159,1
27.46,78.73,29,123,1
59.34,82.2,21,114,1
32.49,96.75,3,258,0
13.93,116.96,2,273,0
26.29,93.31,7,112,0
46.01,158.74,23,253,1
38.42,173.51,3,173,0
32.26,170.11,19,152,1
46.45,89.61,25,263,1
18.72,150.89,17,21,1
45.56,64.43,11,16,0
20.0,166.56,0,217,0
17.71,113.09,5,204,0
49.8,78.71,9,211,1
13.99,142.2,25,140,1
27.31,76.0,6,21,0
24.83,169.18,22,182,1
59.72,145.08,27,254,1
29.75,149.44,20,269,1
47.92,117.33,26,105,1
16.72,97.34,7,272,0
48.71,140.18,23,172,1
34.66,168.51,4,165,0
34.07,124.59,5,216,0
12.02,123.6,7,12,0
49.19,93.27,9,260,1
36.25,111.33,16,199,1
56.82,146.83,15,154,1
50.84,154.84,12,210,1
35.18,65.58,19,232,1
30.03,155.54,24,299,1
22.86,69.28,16,147,0
23.07,146.42,25,39,1
14.78,64.84,30,295,1
23.71,120.59,23,162,1
59.51,111.16,1,110,0
59.71,105.54,30,208,1
46.0,110.97,4,278,1
31.65,109.96,2,285,0
50.4,108.75,19,124,1
41.69,87.56,1,294,0
59.49,160.4,17,82,1
59.44,116.77,9,165,1
15.05,166.3,5,124,0
58.23,164.27,6,58,1
54.61,115.7,21,25,1
40.58,62.44,10,22,0
13.13,79.64,15,276,1
40.99,164.03,20,225,1
30.89,173.36,18,190,1
50.64,92.41,19,152,1
39.47,132.42,2,22,0
51.02,141.62,16,148,1
39.82,173.63,8,300,1
43.31,176.88,4,242,1
15.2,110.58,20,271,1
39.93,105.05,28,36,1
32.1,80.44,22,3,1
21.09,158.1,8,232,0
55.88,165.74,14,172,1
40.8,163.71,23,5,1
14.26,126.99,6,212,0
42.24,101.75,25,17,1
18.15,79.01,29,90,1
54.91,107.8,2,87,0
21.39,84.04,28,51,1
32.08,74.07,12,254,1
45.81,89.08,1,79,0
14.64,81.54,3,207,0
21.43,126.8,29,172,1
55.58,98.61,11,194,1
34.42,122.21,24,177,1
14.27,170.63,18,21,1
21.41,158.33,22,260,1
20.74,162.16,10,283,1
38.48,76.16,3,77,0
26.88,111.22,22,112,1
43.75,104.29,16,210,1
11.61,118.4,26,237,1
56.77,135.11,19,16,1
26.93,69.85,22,112,1
47.1,112.32,5,48,0
27.9,110.9,0,198,0
27.94,111.81,9,215,0
50.57,154.97,25,71,1
46.46,118.85,9,149,1
21.24,106.5,7,9,0
50.48,148.28,8,155,1
51.75,139.55,21,280,1
14.46,69.35,3,198,0
46.11,101.29,27,12,1
15.25,67.77,28,50,1
48.0,113.84,10,257,1
31.01,75.58,13,291,1
36.49,73.05,18,275,1
42.09,89.53,15,211,1
29.92,119.98,20,213,1
26.36,97.94,13,182,1
32.26,148.36,19,242,1
38.86,177.28,18,248,1
47.55,159.19,19,50,1
20.66,168.32,10,134,0
11.15,123.87,16,37,0
43.05,141.67,20,185,1
22.12,155.72,3,44,0
37.06,118.77,17,235,1
30.71,123.79,22,7,1
47.4,134.68,18,109,1
30.0,133.14,10,85,0
15.06,136.04,15,88,0
53.98,77.29,3,222,1
50.59,160.03,4,89,1
28.75,179.04,4,128,0
56.05,144.97,21,200,1
24.45,123.2,7,102,0
22.15,100.43,1,211,0
19.06,129.08,7,244,0
47.2,105.31,3,173,0
23.42,61.9,29,159,1
42.91,81.59,6,15,0
12.37,92.27,2,113,0
33.04,139.64,17,107,1
22.26,133.98,12,95,0
15.2,127.89,28,165,1
28.78,158.42,4,253,0
53.59,65.04,18,54,1
18.92,128.42,21,131,1
29.54,168.78,4,193,0
28.56,149.67,19,299,1
43.61,72.83,15,1,1
35.71,86.88,22,69,1
48.02,116.3,29,123,1
25.72,88.32,24,281,1
30.86,90.45,28,192,1
18.23,92.08,22,160,1
13.29,105.43,26,165,1
20.05,135.43,18,55,1
40.59,89.72,8,219,1
30.86,129.61,10,288,1
48.34,130.98,2,26,0
38.62,115.84,21,134,1
34.46,155.69,30,65,1
44.2,133.06,21,41,1
25.99,110.65,3,145,0
51.92,174.39,16,8,1
41.33,105.05,13,264,1
17.51,93.84,4,189,0
15.62,109.87,28,79,1
36.7,177.42,29,72,1
49.02,174.96,7,222,1
57.76,93.13,1,136,0
55.96,60.71,15,35,1
19.57,175.45,6,109,0
33.61,111.24,24,67,1
36.49,108.1,27,69,1
16.76,146.44,17,179,1
22.32,73.07,22,122,1
49.81,88.32,25,20,1
53.76,101.57,22,3,1
19.89,98.98,12,260,1
18.84,144.58,27,126,1
10.82,170.53,5,75,0
50.13,138.07,4,7,0
19.22,71.12,20,293,1
32.31,149.5,26,4,1
20.61,140.19,20,89,1
37.65,116.56,3,60,0
17.12,171.65,25,94,1
55.47,90.02,6,285,1
12.34,80.28,1,259,0
25.02,113.54,26,41,1
10.89,97.01,15,108,0
20.01,132.61,25,46,1
46.27,94.66,20,227,1
52.48,147.52,13,205,1
24.01,138.02,22,65,1
25.27,150.4,9,196,1
29.47,125.05,13,270,1
34.37,165.34,3,298,1
31.81,174.92,21,299,1
42.1,136.71,12,47,1
12.8,81.27,28,38,1
36.18,125.94,27,243,1
30.27,164.88,19,17,1
13.33,62.67,0,121,0
50.2,81.97,29,18,1
21.4,93.12,7,151,0
32.26,104.48,8,145,0
27.13,175.95,6,71,0
47.23,118.18,10,43,1
21.04,72.07,26,125,1
18.97,108.72,3,212,0
10.12,141.81,23,28,1
11.83,77.03,25,191,1
43.36,158.31,3,56,0
49.3,173.47,0,169,1
47.61,67.48,7,192,1
19.07,67.89,13,246,0
27.75,158.84,30,184,1
54.9,131.52,11,97,1
10.09,161.7,18,295,1
23.54,146.97,22,274,1
22.53,107.38,11,271,1
44.71,88.34,20,32,1
35.44,101.08,6,160,0
31.69,64.74,6,290,0
47.62,87.47,19,230,1
45.51,107.72,11,272,1
35.48,123.18,22,235,1
22.06,133.0,8,240,0
44.81,127.53,24,34,1
59.6,107.29,23,90,1
12.56,116.16,27,190,1
20.13,133.1,1,158,0
11.75,175.21,23,91,1
46.96,95.52,27,256,1
49.08,70.14,12,121,1
26.37,66.41,26,26,1
46.87,175.53,12,176,1
36.69,166.96,6,290,1
40.2,83.93,17,258,1
23.99,152.92,5,239,0
41.98,86.37,5,171,0
12.37,168.64,21,202,1
51.9,67.71,9,57,0
12.7,122.82,6,238,0
29.1,131.34,4,227,0
20.17,136.35,9,11,0
16.55,98.41,18,123,1
21.67,108.42,17,89,1
47.72,165.09,10,54,1
39.08,117.3,6,79,0
47.73,166.25,25,224,1
11.39,87.31,4,287,0
55.1,175.65,18,190,1
59.63,65.06,10,69,1
31.65,73.96,26,145,1
21.7,104.7,3,272,0
48.45,85.19,6,164,0
15.55,107.77,23,47,1
14.2,137.74,16,29,0
13.74,60.97,9,203,0
54.39,79.57,2,289,1
29.35,141.65,5,161,0
16.74,119.86,17,234,1
45.88,136.97,2,272,1
35.19,145.16,26,6,1
10.76,161.07,28,224,1
53.85,179.45,1,135,1
11.62,63.29,22,116,1
44.26,126.94,22,56,1
21.04,109.03,17,101,1
33.37,63.91,2,285,0
30.79,179.37,21,42,1
21.17,127.29,13,233,1
37.84,173.56,19,165,1
