cap_shape,cap_color,odor,gill_color,class
Conical,Brown,Almond,White,Edible
Knobbed,Brown,Foul,Gray,Poisonous
Conical,Yellow,None,Gray,Edible
Knobbed,Red,None,White,Poisonous
Flat,Brown,None,Black,Edible
Knobbed,Brown,Foul,White,Poisonous
Conical,Brown,None,Brown,Edible
Flat,Yellow,Foul,Brown,Poisonous
Flat,Red,Foul,Brown,Poisonous
Flat,Brown,None,Gray,Edible
Knobbed,Red,None,Brown,Poisonous
Flat,Yellow,Foul,Black,Poisonous
Conical,Red,Almond,Black,Edible
Bell,Yellow,None,Brown,Edible
Bell,Brown,None,White,Edible
Conical,White,Almond,Gray,Edible
Knobbed,Red,Foul,White,Poisonous
Conical,Yellow,None,Brown,Edible
Conical,Yellow,Almond,Black,Edible
Conical,Red,Foul,Brown,Poisonous
Bell,Yellow,Foul,Brown,Poisonous
Conical,Red,Foul,Black,Poisonous
Bell,Yellow,Almond,Gray,Edible
Knobbed,Yellow,None,Brown,Edible
Bell,Brown,Almond,Gray,Edible
Conical,Red,Foul,White,Poisonous
Flat,Yellow,Almond,Brown,Edible
Flat,White,Almond,Gray,Edible
Flat,Brown,Almond,Gray,Edible
Knobbed,White,Almond,White,Edible
Bell,Red,None,Gray,Poisonous
Knobbed,Yellow,Foul,Gray,Poisonous
Knobbed,Red,None,White,Poisonous
Bell,Brown,None,White,Edible
Knobbed,Yellow,Foul,Brown,Poisonous
Knobbed,Red,None,Black,Poisonous
Conical,Red,None,Brown,Poisonous
Flat,Brown,None,Brown,Edible
Knobbed,White,None,White,Edible
Knobbed,Red,Almond,Gray,Edible
Bell,Yellow,Almond,White,Edible
Conical,Brown,Foul,White,Poisonous
Bell,Red,Almond,Black,Edible
Conical,Red,None,Black,Poisonous
Flat,White,Foul,Gray,Poisonous
Bell,Yellow,None,Black,Edible
Bell,White,None,Brown,Edible
Knobbed,Yellow,Foul,Gray,Poisonous
Knobbed,Yellow,Almond,Gray,Edible
Flat,Yellow,Almond,Black,Edible
Knobbed,White,Almond,Black,Edible
Conical,Brown,Foul,Black,Poisonous
Knobbed,Brown,Foul,Brown,Poisonous
Flat,Brown,None,White,Edible
Knobbed,White,Almond,Brown,Edible
Flat,Red,None,Black,Poisonous
Knobbed,Brown,Almond,White,Edible
Conical,Yellow,Foul,White,Poisonous
Flat,White,Foul,White,Poisonous
Bell,Brown,Almond,Gray,Edible
Flat,White,None,Black,Edible
Bell,White,Almond,Brown,Edible
Knobbed,Brown,Foul,Black,Poisonous
Conical,Yellow,None,White,Edible
Knobbed,Brown,Foul,Black,Poisonous
Flat,Red,Foul,Black,Poisonous
Flat,Yellow,Foul,Gray,Poisonous
Knobbed,Red,Almond,Black,Edible
Bell,Brown,Almond,Gray,Edible
Knobbed,Red,Almond,Gray,Edible
Conical,Red,Almond,Gray,Edible
Bell,Red,None,Black,Poisonous
Conical,Yellow,Foul,Brown,Poisonous
Bell,Brown,Foul,Black,Poisonous
Bell,Yellow,Almond,Gray,Edible
Conical,White,Foul,White,Poisonous
Conical,Brown,Almond,Gray,Edible
Flat,Red,Foul,Black,Poisonous
Flat,White,None,Black,Edible
Conical,Red,Foul,White,Poisonous
Conical,Red,None,Brown,Poisonous
Bell,Yellow,Almond,White,Edible
Bell,Red,None,Brown,Poisonous
Bell,Brown,None,Black,Edible
Bell,White,None,Brown,Edible
Flat,Brown,Foul,Black,Poisonous
Flat,White,Foul,White,Poisonous
Conical,Red,Foul,Gray,Poisonous
Flat,Yellow,Foul,Gray,Poisonous
Knobbed,White,None,Brown,Edible
Knobbed,Yellow,None,Brown,Edible
Knobbed,Yellow,Almond,White,Edible
Conical,White,Foul,White,Poisonous
Flat,Red,Almond,Black,Edible
Knobbed,Brown,None,Black,Edible
Flat,Red,Almond,Black,Edible
Bell,Yellow,Almond,Brown,Edible
Bell,Brown,Almond,Black,Edible
Knobbed,Yellow,None,Black,Edible
Bell,Red,Almond,White,Edible
Knobbed,Yellow,Almond,White,Edible
Bell,Brown,Foul,Brown,Poisonous
Knobbed,Yellow,None,Brown,Edible
Knobbed,White,Foul,White,Poisonous
Knobbed,Red,Almond,White,Edible
Knobbed,White,Foul,Brown,Poisonous
Knobbed,Red,Foul,Brown,Poisonous
Knobbed,White,Foul,Gray,Poisonous
Conical,White,Almond,White,Edible
Knobbed,White,Foul,White,Poisonous
Bell,Red,None,White,Poisonous
Flat,Brown,Almond,White,Edible
Knobbed,Yellow,Foul,Brown,Poisonous
Flat,White,None,White,Edible
Flat,Yellow,None,Brown,Edible
Knobbed,Red,Almond,Gray,Edible
Flat,Yellow,Almond,Black,Edible
Conical,Red,None,Black,Poisonous
Knobbed,White,Almond,Brown,Edible
Flat,Yellow,Foul,Black,Poisonous
Flat,Yellow,Foul,Gray,Poisonous
Knobbed,White,Foul,Gray,Poisonous
Knobbed,Red,Foul,Brown,Poisonous
Bell,Yellow,None,White,Edible
Bell,Red,Foul,Gray,Poisonous
Conical,Red,None,Brown,Poisonous
Knobbed,White,Almond,White,Edible
Flat,Brown,None,Gray,Edible
Bell,White,Foul,Black,Poisonous
Flat,Red,None,Brown,Poisonous
Bell,White,Foul,White,Poisonous
Knobbed,Brown,Foul,Brown,Poisonous
Knobbed,Red,None,Gray,Poisonous
Flat,White,Almond,Brown,Edible
Bell,White,None,Brown,Edible
Conical,White,Almond,Gray,Edible
Bell,Yellow,Almond,Gray,Edible
Flat,Red,Almond,Gray,Edible
Conical,Yellow,Foul,Gray,Poisonous
Bell,Brown,None,White,Edible
Flat,White,None,Brown,Edible
Bell,Red,None,White,Poisonous
Bell,Yellow,Almond,Gray,Edible
Knobbed,Red,Foul,White,Poisonous
Conical,White,Almond,Brown,Edible
Flat,White,Almond,White,Edible
Conical,Brown,Almond,Gray,Edible
Conical,Brown,Foul,Gray,Poisonous
Flat,Red,Almond,White,Edible
Conical,Brown,Almond,Brown,Edible
Knobbed,Yellow,Almond,White,Edible
Bell,Red,Foul,Black,Poisonous
Bell,White,Foul,Gray,Poisonous
Flat,Red,None,White,Poisonous
Bell,Yellow,Foul,Gray,Poisonous
Conical,Yellow,None,Brown,Edible
Knobbed,Yellow,Foul,Gray,Poisonous
Bell,White,Foul,Brown,Poisonous
Conical,Yellow,Almond,Brown,Edible
Bell,White,Foul,Gray,Poisonous
Conical,White,None,Black,Edible
Flat,Yellow,Almond,Black,Edible
Flat,Brown,Almond,Gray,Edible
Knobbed,White,None,Brown,Edible
Bell,Red,None,Brown,Poisonous
Flat,Yellow,None,White,Edible
Knobbed,White,Almond,Gray,Edible
Conical,Red,None,Black,Poisonous
Conical,Red,None,Brown,Poisonous
Flat,Red,Almond,Black,Edible
Conical,Brown,None,White,Edible
Flat,Brown,Foul,Gray,Poisonous
Conical,Red,Foul,Brown,Poisonous
Knobbed,White,Foul,White,Poisonous
Bell,Yellow,None,Gray,Edible
Bell,Yellow,None,White,Edible
Knobbed,White,Almond,Black,Edible
Flat,Red,Foul,Black,Poisonous
Conical,Red,Foul,Brown,Poisonous
Knobbed,Red,Foul,Black,Poisonous
Conical,Brown,Foul,Black,Poisonous
Conical,Yellow,Foul,Brown,Poisonous
Conical,White,Foul,White,Poisonous
Bell,Red,None,Black,Poisonous
Flat,Red,Foul,Black,Poisonous
Bell,Yellow,Foul,Black,Poisonous
Flat,Yellow,Foul,Gray,Poisonous
Knobbed,White,Foul,Brown,Poisonous
Bell,White,Almond,Brown,Edible
Bell,Brown,Almond,Gray,Edible
Bell,White,Foul,Black,Poisonous
Flat,Brown,Foul,Gray,Poisonous
Conical,Yellow,Foul,Brown,Poisonous
Conical,Red,Foul,Brown,Poisonous
Bell,Brown,Almond,Brown,Edible
Bell,Yellow,Foul,White,Poisonous
Knobbed,Brown,Almond,Brown,Edible
Conical,White,Foul,Brown,Poisonous
Knobbed,White,Foul,Gray,Poisonous
Flat,Yellow,None,Brown,Edible
Flat,Brown,Foul,White,Poisonous
Bell,Brown,Foul,Gray,Poisonous
Conical,White,None,White,Edible
Flat,Red,Foul,White,Poisonous
Knobbed,Brown,Almond,Brown,Edible
Flat,Yellow,Foul,Gray,Poisonous
Flat,Brown,None,Black,Edible
Flat,Red,Almond,Brown,Edible
Knobbed,Brown,Foul,Black,Poisonous
Bell,White,Almond,Black,Edible
Knobbed,Red,None,Brown,Poisonous
Flat,Brown,None,White,Edible
Knobbed,Yellow,None,Gray,Edible
Conical,White,Almond,Black,Edible
Flat,Yellow,None,Brown,Edible
Knobbed,Red,Foul,Brown,Poisonous
Knobbed,Brown,Almond,Gray,Edible
Knobbed,White,Foul,White,Poisonous
Conical,White,Almond,Gray,Edible
Conical,White,Foul,Brown,Poisonous
Bell,Brown,None,Brown,Edible
Bell,Brown,Almond,White,Edible
Knobbed,White,Almond,Black,Edible
Flat,Brown,Almond,Brown,Edible
Flat,Red,Almond,White,Edible
Bell,Yellow,Almond,Gray,Edible
Knobbed,White,Almond,Gray,Edible
Conical,Brown,Almond,Black,Edible
Bell,Brown,None,Gray,Edible
Conical,Brown,Foul,White,Poisonous
Flat,Brown,Foul,Brown,Poisonous
Knobbed,Red,Almond,Brown,Edible
Conical,Red,Almond,Black,Edible
Knobbed,White,Almond,White,Edible
Bell,Brown,Foul,White,Poisonous
Conical,Red,Foul,Gray,Poisonous
Knobbed,Brown,Almond,Gray,Edible
Bell,Brown,Almond,Brown,Edible
Flat,Yellow,Foul,Black,Poisonous
Conical,Red,Almond,Brown,Edible
Flat,Yellow,Foul,White,Poisonous
Conical,Red,None,Gray,Poisonous
Knobbed,Yellow,Foul,Gray,Poisonous
Bell,Brown,Almond,Gray,Edible
Flat,Yellow,Almond,Brown,Edible
Bell,Yellow,None,Black,Edible
Flat,Brown,Almond,Brown,Edible
Flat,Brown,None,Brown,Edible
Bell,Brown,None,Black,Edible
Flat,White,Almond,White,Edible
Knobbed,Red,Foul,Brown,Poisonous
Bell,Red,Almond,Gray,Edible
Knobbed,White,None,Black,Edible
Conical,White,None,Brown,Edible
Knobbed,Brown,Almond,White,Edible
Conical,Red,None,Brown,Poisonous
Conical,White,Foul,Gray,Poisonous
Flat,White,None,Gray,Edible
Bell,White,Foul,Black,Poisonous
Conical,White,Foul,Gray,Poisonous
Conical,Brown,Almond,White,Edible
Conical,Brown,Almond,White,Edible
Flat,Yellow,Foul,Brown,Poisonous
Conical,Yellow,Almond,Black,Edible
Knobbed,White,Foul,Gray,Poisonous
Bell,Brown,Almond,Gray,Edible
Flat,White,Almond,Gray,Edible
Conical,Red,Almond,Black,Edible
Bell,Red,Almond,Gray,Edible
Bell,Brown,Almond,White,Edible
Flat,White,None,Brown,Edible
Conical,Brown,None,White,Edible
Conical,White,Almond,White,Edible
Knobbed,Red,Foul,Black,Poisonous
Conical,Brown,None,Black,Edible
Conical,Brown,Foul,Brown,Poisonous
Flat,White,None,Gray,Edible
Conical,White,Almond,Black,Edible
Bell,White,None,Gray,Edible
Flat,White,Almond,Brown,Edible
Knobbed,White,Foul,Brown,Poisonous
Knobbed,Brown,Almond,Brown,Edible
Bell,Yellow,Almond,Gray,Edible
Conical,White,Almond,White,Edible
Conical,Brown,Almond,Brown,Edible
Knobbed,Red,Foul,Brown,Poisonous
Bell,Red,Almond,Brown,Edible
Flat,Yellow,None,Black,Edible
Knobbed,Yellow,None,Gray,Edible
Flat,White,Foul,White,Poisonous
Flat,White,Almond,Brown,Edible
Conical,Brown,Almond,Black,Edible
Flat,Red,Almond,White,Edible
Bell,White,None,Brown,Edible
Knobbed,Brown,None,Black,Edible
Bell,Brown,Foul,Brown,Poisonous
Flat,Yellow,Foul,Black,Poisonous
Flat,Red,Almond,Brown,Edible
Bell,Yellow,Foul,Black,Poisonous
Conical,White,Almond,Gray,Edible
Flat,Red,Foul,Black,Poisonous
Conical,White,None,Black,Edible
Bell,Red,Almond,White,Edible
Conical,White,None,Gray,Edible
Conical,White,None,Brown,Edible
Flat,Brown,None,White,Edible
Knobbed,White,None,White,Edible
Knobbed,Red,Almond,Brown,Edible
Conical,White,None,Brown,Edible
Bell,Yellow,None,Brown,Edible
Bell,White,Foul,Brown,Poisonous
Knobbed,Yellow,Almond,Black,Edible
Conical,Brown,None,Brown,Edible
Flat,Brown,Foul,Black,Poisonous
Bell,White,None,White,Edible
Flat,Red,Almond,Black,Edible
Flat,Yellow,None,Brown,Edible
Flat,Yellow,Foul,Black,Poisonous
Knobbed,Yellow,None,Black,Edible
Conical,Brown,Almond,White,Edible
Bell,Yellow,None,Gray,Edible
Knobbed,Brown,Almond,Brown,Edible
Knobbed,White,Almond,White,Edible
Bell,Yellow,Almond,White,Edible
Knobbed,Red,None,Brown,Poisonous
Knobbed,Red,Foul,Black,Poisonous
Bell,Yellow,Foul,Black,Poisonous
Knobbed,Yellow,Almond,Brown,Edible
Flat,Yellow,None,White,Edible
Bell,Brown,Almond,Brown,Edible
Knobbed,Yellow,None,Black,Edible
Bell,Yellow,Almond,White,Edible
Conical,Brown,Almond,Gray,Edible
Conical,Yellow,Almond,Gray,Edible
Flat,White,None,Black,Edible
Conical,Yellow,Almond,Black,Edible
Knobbed,White,None,Black,Edible
Knobbed,Brown,Foul,Brown,Poisonous
Bell,Red,Almond,Black,Edible
Flat,Yellow,Almond,Brown,Edible
Knobbed,Brown,None,Brown,Edible
Conical,Yellow,Foul,Gray,Poisonous
Conical,Yellow,Almond,White,Edible
Flat,Brown,None,Black,Edible
Bell,Brown,Almond,Brown,Edible
Flat,White,Almond,Gray,Edible
Conical,Brown,Foul,White,Poisonous
Flat,Yellow,None,White,Edible
Conical,Red,Almond,Gray,Edible
Flat,Brown,Almond,Black,Edible
Conical,White,Foul,Black,Poisonous
Conical,Red,Foul,Brown,Poisonous
Conical,Red,Almond,Black,Edible
Conical,White,Almond,Black,Edible
Knobbed,Brown,Foul,Black,Poisonous
Knobbed,White,Almond,Gray,Edible
Flat,Red,None,Gray,Poisonous
Bell,Yellow,None,White,Edible
Flat,White,Foul,Black,Poisonous
Bell,Red,None,White,Poisonous
Bell,Red,Foul,White,Poisonous
Knobbed,White,Foul,Black,Poisonous
Flat,White,None,Black,Edible
Knobbed,White,Almond,White,Edible
Flat,Red,Almond,Brown,Edible
Flat,Yellow,None,White,Edible
Bell,Yellow,Foul,Brown,Poisonous
Bell,Red,Foul,Brown,Poisonous
Bell,Red,Foul,Black,Poisonous
Conical,Yellow,None,Gray,Edible
Bell,White,Almond,Gray,Edible
Knobbed,White,Foul,White,Poisonous
Knobbed,Red,None,Brown,Poisonous
Conical,Brown,Almond,Black,Edible
Conical,Brown,Foul,White,Poisonous
Bell,Yellow,None,Black,Edible
Knobbed,Brown,None,Brown,Edible
Flat,Brown,Almond,Black,Edible
Bell,Yellow,None,White,Edible
Bell,Brown,Almond,White,Edible
Knobbed,Red,Almond,Brown,Edible
Conical,Red,None,Brown,Poisonous
Conical,Yellow,None,Brown,Edible
Flat,Yellow,Foul,White,Poisonous
Flat,Brown,Foul,Brown,Poisonous
Flat,Red,Foul,White,Poisonous
Knobbed,Red,Foul,White,Poisonous
Flat,Brown,Foul,Brown,Poisonous
Bell,Brown,Foul,Gray,Poisonous
Bell,Red,Foul,Brown,Poisonous
Bell,Yellow,Almond,Black,Edible
Flat,Brown,Foul,Black,Poisonous
Flat,Red,Foul,Brown,Poisonous
Flat,Brown,Foul,Brown,Poisonous
Flat,White,Foul,Brown,Poisonous
Knobbed,White,None,Gray,Edible
Knobbed,Yellow,Almond,White,Edible
Conical,Yellow,Almond,White,Edible
Conical,White,None,White,Edible
Flat,Yellow,Foul,Gray,Poisonous
Conical,Brown,Almond,Gray,Edible
Flat,Yellow,None,Gray,Edible
Conical,Brown,None,Black,Edible
Knobbed,White,Almond,Gray,Edible
Flat,White,None,Black,Edible
Knobbed,Red,Almond,Brown,Edible
Bell,Red,None,Brown,Poisonous
Bell,White,Almond,White,Edible
Conical,Brown,None,Black,Edible
Bell,Yellow,Almond,Gray,Edible
Flat,Brown,None,Gray,Edible
Flat,Brown,Almond,Brown,Edible
Bell,Yellow,Foul,Brown,Poisonous
Bell,White,Almond,Brown,Edible
Flat,Yellow,Foul,Black,Poisonous
Flat,Yellow,Almond,Brown,Edible
Knobbed,Red,None,White,Poisonous
Knobbed,Red,Foul,Gray,Poisonous
Bell,White,None,Gray,Edible
Flat,Yellow,None,Black,Edible
Flat,White,None,Brown,Edible
Conical,White,Almond,Black,Edible
Flat,Brown,Almond,Black,Edible
Bell,Yellow,None,Black,Edible
Bell,Yellow,Almond,Black,Edible
Knobbed,Yellow,Foul,White,Poisonous
Bell,White,Almond,Brown,Edible
Knobbed,Brown,Foul,Gray,Poisonous
Knobbed,Brown,Foul,Brown,Poisonous
Knobbed,White,None,Brown,Edible
Flat,Red,Almond,White,Edible
Conical,Red,Almond,Black,Edible
Knobbed,Yellow,Foul,White,Poisonous
Bell,Yellow,Foul,Gray,Poisonous
Bell,Red,None,Gray,Poisonous
Flat,Red,Almond,Gray,Edible
Conical,Yellow,Almond,Black,Edible
Flat,Red,Foul,Gray,Poisonous
Knobbed,White,None,Black,Edible
Knobbed,White,Almond,White,Edible
Knobbed,Yellow,None,White,Edible
Conical,White,None,Gray,Edible
Bell,Yellow,None,White,Edible
Bell,White,Almond,Gray,Edible
Conical,Yellow,Almond,Brown,Edible
Knobbed,White,Almond,Black,Edible
Flat,Red,Foul,Black,Poisonous
Flat,Brown,None,Black,Edible
Conical,Brown,Almond,White,Edible
Flat,Yellow,Foul,Brown,Poisonous
Conical,Brown,Almond,Gray,Edible
Flat,White,Almond,Brown,Edible
Bell,Brown,Almond,Brown,Edible
Conical,White,Almond,Brown,Edible
Knobbed,White,Almond,Black,Edible
Flat,Yellow,Foul,White,Poisonous
Flat,Brown,None,Black,Edible
Knobbed,White,Almond,Black,Edible
Conical,White,None,Black,Edible
Knobbed,Brown,Almond,Gray,Edible
Knobbed,Yellow,Almond,Black,Edible
Knobbed,Yellow,Almond,Black,Edible
Flat,Red,None,White,Poisonous
Bell,Yellow,Foul,Black,Poisonous
Flat,Brown,Foul,Black,Poisonous
Conical,Yellow,Foul,White,Poisonous
Knobbed,Yellow,None,Brown,Edible
Conical,Red,Foul,Brown,Poisonous
Bell,Brown,Almond,Brown,Edible
Bell,Red,Almond,Brown,Edible
Conical,White,None,Black,Edible
Bell,White,Foul,Black,Poisonous
Bell,Yellow,Almond,Black,Edible
Knobbed,White,Almond,Gray,Edible
Flat,Brown,None,Black,Edible
Bell,Red,None,Gray,Poisonous
Knobbed,Yellow,Almond,Brown,Edible
Conical,White,None,Brown,Edible
Conical,Red,None,White,Poisonous
Flat,Red,Almond,White,Edible
Conical,Red,None,Gray,Poisonous
Flat,White,Foul,Black,Poisonous
Bell,Yellow,None,Black,Edible
Knobbed,White,None,Gray,Edible
Bell,White,Almond,Brown,Edible
Flat,Yellow,Foul,Brown,Poisonous
Flat,Red,Foul,Brown,Poisonous
Knobbed,Red,Almond,Gray,Edible
Bell,Red,Almond,Brown,Edible
Conical,Yellow,Almond,Brown,Edible
Knobbed,Red,Foul,Gray,Poisonous
Bell,Yellow,None,Black,Edible
Bell,Brown,Foul,Brown,Poisonous
Conical,Red,Almond,Gray,Edible
Bell,Red,None,Brown,Poisonous
Conical,Red,None,Brown,Poisonous
Knobbed,White,Almond,White,Edible
Bell,White,Foul,Brown,Poisonous
Bell,Yellow,None,Black,Edible
Flat,White,Foul,Black,Poisonous
Conical,Brown,Almond,Brown,Edible
Bell,Red,Foul,Gray,Poisonous
Flat,Brown,Foul,Black,Poisonous
Knobbed,White,Foul,Black,Poisonous
Knobbed,Brown,Almond,White,Edible
Flat,White,None,Gray,Edible
Knobbed,Brown,None,Gray,Edible
Knobbed,Red,Almond,Brown,Edible
Bell,Brown,Foul,White,Poisonous
Bell,Brown,Foul,Black,Poisonous
Conical,Brown,None,Black,Edible
Flat,Red,Almond,Black,Edible
Knobbed,Yellow,Foul,White,Poisonous
Knobbed,Red,Foul,White,Poisonous
Conical,Yellow,Foul,Gray,Poisonous
Flat,Red,Foul,Brown,Poisonous
Bell,Red,Foul,Black,Poisonous
Conical,Brown,Foul,Gray,Poisonous
Bell,Red,Foul,Gray,Poisonous
Knobbed,Brown,Foul,Black,Poisonous
Flat,White,Foul,White,Poisonous
Knobbed,Brown,None,Gray,Edible
Knobbed,Brown,Almond,Brown,Edible
Knobbed,White,Almond,White,Edible
Knobbed,Yellow,Foul,Brown,Poisonous
Conical,Red,Foul,Brown,Poisonous
Knobbed,Red,Foul,Brown,Poisonous
Bell,White,Foul,Black,Poisonous
Conical,Brown,Almond,Brown,Edible
Bell,White,None,White,Edible
Flat,White,Foul,Brown,Poisonous
Flat,Brown,None,Black,Edible
Knobbed,Yellow,Foul,Black,Poisonous
Knobbed,Yellow,Foul,White,Poisonous
Flat,Brown,Foul,Black,Poisonous
Knobbed,Red,None,Brown,Poisonous
Flat,White,None,Brown,Edible
Conical,White,Foul,Gray,Poisonous
Bell,Yellow,Almond,Gray,Edible
Flat,Yellow,Almond,Brown,Edible
Conical,Yellow,Foul,White,Poisonous
Conical,Brown,Foul,Black,Poisonous
Flat,Yellow,Almond,Black,Edible
Conical,Brown,Almond,Gray,Edible
Flat,Brown,Foul,White,Poisonous
Knobbed,White,Almond,Black,Edible
Knobbed,Yellow,None,White,Edible
Conical,Brown,Foul,White,Poisonous
Conical,Red,Foul,White,Poisonous
Bell,Brown,None,Brown,Edible
Bell,Brown,Almond,Gray,Edible
Flat,Yellow,Foul,Gray,Poisonous
Flat,Yellow,None,White,Edible
Conical,Red,Almond,Black,Edible
Flat,Red,Almond,Brown,Edible
Bell,Brown,Almond,White,Edible
Conical,White,Almond,Brown,Edible
Flat,White,Foul,Black,Poisonous
Conical,Red,None,White,Poisonous
Knobbed,White,Almond,Black,Edible
Flat,Brown,Almond,Black,Edible
Knobbed,Red,None,Black,Poisonous
Knobbed,Yellow,Foul,Brown,Poisonous
Bell,White,None,Gray,Edible
Conical,Brown,None,Brown,Edible
Bell,White,Almond,White,Edible
Conical,Yellow,Foul,White,Poisonous
Bell,Red,Foul,Brown,Poisonous
Knobbed,Red,Almond,Brown,Edible
Bell,Red,Almond,Black,Edible
Conical,Yellow,Almond,Gray,Edible
Knobbed,Red,None,Brown,Poisonous
Flat,Yellow,Foul,White,Poisonous
Knobbed,Brown,Almond,Black,Edible
Conical,Brown,Foul,Black,Poisonous
Bell,White,Almond,Black,Edible
Knobbed,Brown,Almond,Brown,Edible
Bell,Brown,None,White,Edible
Conical,White,None,Brown,Edible
Bell,Yellow,Almond,Gray,Edible
Knobbed,Brown,Foul,Gray,Poisonous
Bell,White,Foul,Black,Poisonous
Bell,White,Foul,White,Poisonous
Knobbed,Brown,Foul,White,Poisonous
Bell,Brown,Almond,Black,Edible
Bell,Brown,Foul,Brown,Poisonous
Bell,White,Foul,Black,Poisonous
Knobbed,Red,None,White,Poisonous
Bell,Yellow,Foul,White,Poisonous
Conical,Yellow,Foul,White,Poisonous
Flat,Yellow,Foul,White,Poisonous
Knobbed,Red,Almond,Gray,Edible
Conical,White,Foul,White,Poisonous
Bell,Brown,Almond,Brown,Edible
Knobbed,White,Foul,Gray,Poisonous
Knobbed,Red,None,Black,Poisonous
Conical,White,Foul,Black,Poisonous
Conical,Brown,Foul,Brown,Poisonous
Conical,Red,Almond,White,Edible
Bell,Red,Almond,Black,Edible
Knobbed,Red,Foul,White,Poisonous
Knobbed,Red,Almond,Brown,Edible
Bell,Yellow,None,White,Edible
Flat,Red,Almond,White,Edible
Bell,White,Almond,Gray,Edible
Bell,Yellow,Foul,Black,Poisonous
Flat,White,Almond,Gray,Edible
Knobbed,Brown,None,Black,Edible
Knobbed,Red,None,Brown,Poisonous
Flat,Brown,None,White,Edible
Knobbed,Brown,Foul,White,Poisonous
Knobbed,Yellow,None,Gray,Edible
Bell,Red,Foul,White,Poisonous
Conical,Red,None,Brown,Poisonous
Knobbed,Brown,Foul,Brown,Poisonous
Flat,Red,None,Brown,Poisonous
Flat,Yellow,Foul,White,Poisonous
Conical,White,Foul,White,Poisonous
Conical,Brown,None,White,Edible
Conical,Brown,Almond,Brown,Edible
Bell,Red,Foul,Black,Poisonous
Flat,Brown,Almond,Gray,Edible
Bell,White,None,Gray,Edible
Conical,Yellow,Foul,Gray,Poisonous
Knobbed,Red,None,Gray,Poisonous
Conical,White,Almond,White,Edible
Conical,Red,Almond,White,Edible
Knobbed,Brown,Almond,Brown,Edible
Bell,Red,Almond,Brown,Edible
Bell,Yellow,Foul,White,Poisonous
Bell,Brown,Almond,Gray,Edible
Bell,White,Almond,White,Edible
Knobbed,Brown,None,Brown,Edible
Conical,White,None,Brown,Edible
Knobbed,Red,None,Gray,Poisonous
Knobbed,Red,Almond,Black,Edible
Conical,White,Foul,Gray,Poisonous
Knobbed,Yellow,Almond,White,Edible
Knobbed,Red,Foul,Gray,Poisonous
Flat,Brown,None,White,Edible
Conical,White,Almond,Brown,Edible
Knobbed,Red,None,Black,Poisonous
Bell,White,None,Black,Edible
Bell,Yellow,Foul,Black,Poisonous
Knobbed,Yellow,Almond,Black,Edible
Knobbed,Brown,None,Gray,Edible
Conical,Red,Foul,Black,Poisonous
Bell,White,None,Gray,Edible
Bell,Yellow,Almond,Brown,Edible
Bell,Brown,Foul,Black,Poisonous
Flat,Brown,Almond,Brown,Edible
Flat,White,Almond,White,Edible
Flat,Red,Foul,Brown,Poisonous
Flat,Brown,Foul,White,Poisonous
Conical,Red,Foul,White,Poisonous
Knobbed,Red,Foul,Brown,Poisonous
Conical,Yellow,None,Gray,Edible
Flat,White,None,White,Edible
Conical,White,Foul,White,Poisonous
Knobbed,White,Foul,Brown,Poisonous
Knobbed,Brown,Foul,White,Poisonous
