income,credit_score,employment_years,loan_amount
1535845,525,24.4,1229086
648096,392,28.2,993248
1822657,664,11.3,1084920
1568648,788,28.5,1428542
709238,633,2.6,536180
1031936,442,19.8,960120
741978,583,23.3,1008962
1443855,317,24.2,1043660
1477101,355,20.8,1012677
1931704,373,8.2,880801
1865178,763,1.6,960740
825221,447,1.3,525738
740527,576,11.6,705440
1976130,816,26.9,1528096
158960,812,12.4,730115
178985,423,4.3,386484
1541744,413,4.2,728381
1925972,513,17.5,1181997
812535,784,10.8,849230
499874,409,9.5,593521
1769316,702,3.4,943963
704814,659,28.8,1144449
761427,850,5.6,724002
1680187,699,26.5,1397262
1181048,886,24.4,1331135
1772038,706,27.9,1401421
1284631,887,12.2,1062644
1237725,622,20.0,1103328
1674224,531,19.1,1111308
1531958,578,9.6,932099
1794187,477,9.8,965551
1032275,615,11.8,824039
932629,719,2.7,708694
442956,435,29.3,914056
795498,655,23.4,1026970
479637,612,8.8,655198
275139,384,22.3,673318
1415502,820,21.6,1227498
1566129,386,28.6,1197851
1404419,575,28.8,1240380
1956023,344,17.7,1083813
1370995,423,16.4,932683
118148,884,18.8,840169
1918910,463,25.3,1278568
432267,535,23.9,876457
1138293,540,21.5,1075163
134416,577,10.2,490021
591326,373,17.7,675129
706460,462,23.4,889544
489122,662,15.6,795559
1743648,867,7.5,1112700
910500,400,0.1,453547
608349,396,24.3,895865
420427,419,16.3,666748
1078850,378,29.2,1141551
1589693,737,5.2,939673
1550075,310,28.6,1216796
376507,642,7.2,605216
1964093,444,9.5,962033
1751934,583,22.5,1277361
181797,309,27.2,769738
361980,792,25.3,1054684
1406940,458,27.6,1159815
629223,857,1.5,689637
867045,519,25.7,1066535
1924645,449,26.2,1316778
292426,671,11.3,665228
901440,305,7.1,531905
1540944,817,7.9,1072564
1901686,818,12.9,1265908
634369,869,16.3,997561
1256061,528,29.6,1227928
827796,402,28.6,1004519
381153,732,28.9,1018769
179508,510,27.8,875415
615518,831,7.4,716152
339897,596,13.9,725794
654568,462,2.3,490988
137991,629,5.0,428400
1495053,353,5.1,682210
1609923,898,29.2,1549208
602921,679,22.7,928175
974483,892,5.1,887911
876891,892,17.7,1048885
686236,500,13.5,721172
1425168,562,19.6,1133706
1668005,779,22.0,1280337
215344,600,2.8,423026
649358,452,28.3,982895
1955544,466,28.0,1360132
1167857,728,1.7,788110
704440,882,19.2,1045881
744759,344,0.8,430575
1216815,533,5.9,769898
264710,866,21.6,907546
1968381,430,14.2,1097892
1035294,428,15.4,786845
1326937,532,5.5,812688
1131122,335,3.3,579472
1601922,679,27.6,1420672
1100780,769,19.9,1138503
271792,781,15.6,780739
606058,688,12.2,768545
267159,421,18.9,677105
1469266,464,4.2,769502
1519140,468,17.7,1047958
1240361,653,27.0,1195530
879732,438,22.1,971594
1725602,828,17.2,1307144
1167959,599,28.5,1170573
1108243,618,20.8,1028721
119161,690,4.2,448280
1831634,684,9.2,1109845
1343909,711,1.7,785323
1266251,556,22.8,1142788
452510,392,0.2,353096
1781787,368,7.0,821769
1620822,393,0.9,677691
1440738,851,11.1,1123765
238664,478,29.9,917634
1179461,315,26.6,1020686
1781048,736,21.2,1356845
657639,522,3.4,556162
1200052,539,12.1,876656
1433305,502,11.0,857728
608713,832,11.8,856547
1289149,622,4.0,746216
1420570,780,29.5,1432133
808975,750,6.4,760597
1171780,708,23.2,1190369
355153,423,13.6,546531
1816775,391,4.2,810002
1614831,457,11.1,928116
171852,309,9.8,398818
1592872,426,9.5,922294
841943,652,12.5,782067
276689,446,3.0,360060
542123,686,22.1,943390
964226,786,16.4,1060216
236452,803,1.3,540518
101844,343,4.6,275689
436165,564,24.7,912314
1050483,598,27.0,1119486
1860204,652,24.7,1380641
263381,829,15.7,789908
228297,333,29.8,830137
1865333,777,15.2,1225663
459833,395,12.8,555678
638711,326,6.8,446120
566326,688,9.2,736271
1702172,447,8.9,935586
1820806,592,11.8,1063436
829513,542,10.1,741493
497066,690,4.3,585403
142015,386,12.6,516214
1914936,812,8.8,1187037
1847542,422,8.5,888896
263314,874,26.1,1013688
848722,432,27.5,999479
1138899,526,10.7,836150
673704,501,28.2,1004915
414546,415,15.5,665300
1244439,657,4.8,829413
1536951,588,14.9,1012836
499805,778,10.7,740723
1596296,386,21.2,1096026
1783553,332,11.4,919095
361963,716,17.5,784620
1518081,305,20.7,992753
1352775,389,14.3,873296
1003518,671,18.1,1030621
1492356,594,6.1,881548
872505,884,25.3,1252579
1761575,540,22.7,1244313
1786520,753,19.0,1323480
712290,492,25.2,947136
1344587,811,17.6,1173569
116460,370,23.2,726018
1629224,553,13.9,1015855
657446,712,22.5,956572
270649,822,22.5,899118
1810427,661,12.3,1144524
1667053,717,18.0,1245114
1067115,716,11.1,859324
1037097,607,19.7,1047209
562495,425,25.2,889431
611430,671,28.4,1106037
562794,664,21.2,947141
1034256,411,18.1,865060
1711516,623,24.9,1338126
869276,526,19.1,865030
1693365,781,22.7,1364857
453871,530,15.8,685107
1746442,540,16.6,1092331
1505749,549,21.2,1151571
1609482,379,16.9,965891
392373,876,21.7,1006783
627843,761,18.5,941555
1396994,343,4.1,627658
1129006,588,2.2,658275
1146852,843,19.1,1126288
1757054,629,27.8,1426983
1257323,376,4.7,656859
372874,307,11.3,506896
1922297,481,15.5,1170305
1357737,303,20.3,994937
914115,571,0.6,553553
1279855,413,17.5,981681
1293108,682,17.1,1062165
1042382,466,0.8,527496
877500,753,18.5,1018100
495216,713,23.9,943505
318983,775,10.1,669575
928968,455,15.3,814376
1189673,577,2.1,652264
333806,886,5.3,681690
941195,768,12.0,862045
445200,750,13.7,791910
959817,434,13.1,734372
261542,334,0.1,248486
1047558,616,2.3,678575
457674,612,11.1,646642
1055325,422,0.5,531406
1946792,784,0.7,957442
428067,858,13.3,841331
1097286,782,17.0,1088386
330911,814,12.5,718175
1002733,398,26.5,1061067
796048,326,26.6,918056
481614,784,4.1,601237
1921546,565,7.1,988319
654126,670,24.1,1058495
411637,591,0.1,399616
795067,579,0.6,589332
199656,567,2.6,371238
1430239,641,16.0,1107183
1094490,643,12.6,855432
1892448,852,29.7,1608662
380673,875,10.8,726392
569232,605,20.0,860551
306407,729,4.3,504427
1794161,358,3.9,785869
1932194,577,11.6,1139522
277104,645,17.2,786723
704856,650,6.7,674672
206256,805,18.3,842997
1930222,501,23.0,1334699
1639690,632,25.9,1338122
1362088,889,9.3,1031450
1490416,441,24.8,1170239
776677,557,5.1,659821
960349,533,10.7,746703
422698,706,11.4,680584
1505635,530,28.4,1289698
1569124,585,11.1,988043
391135,809,13.7,798644
1020927,395,16.2,845952
891058,376,1.8,466377
926563,889,5.5,802058
1179211,394,21.2,1014363
201704,554,29.3,918999
1214228,882,15.4,1112623
1835460,400,17.8,1151977
1374092,708,18.8,1146488
1866797,704,5.8,993560
916905,793,10.6,901225
771411,384,24.7,908318
397286,633,16.2,716755
1354078,683,22.0,1230900
1513911,368,28.3,1211285
1231837,428,1.4,643052
1530787,377,25.5,1112169
1449223,610,29.0,1288483
245750,547,29.6,907710
227070,842,18.3,871032
1006861,473,27.5,1123001
962054,416,21.5,887466
1757887,634,10.3,1076463
1427104,610,26.5,1257887
913698,681,25.7,1098016
841519,368,19.6,823294
1797950,744,11.3,1177900
864617,495,5.7,636340
739169,820,19.0,986946
460714,340,19.0,693645
1940152,784,1.4,964208
1164031,727,0.4,682491
1759102,369,25.0,1205425
1936789,470,21.5,1224368
889137,353,4.5,539387
140651,679,13.5,636400
1385098,316,13.0,791826
231770,882,28.5,1081470
1172947,847,29.1,1395892
1890177,821,21.7,1399865
1267264,691,8.8,921423
1027615,815,28.4,1310025
262988,550,18.9,745869
1317990,586,25.4,1181945
1761805,360,15.5,1014795
1719514,594,4.5,924864
1758513,463,14.5,1059497
437289,375,18.2,729458
1822933,847,19.2,1342464
181343,489,12.3,498776
538445,622,18.4,829816
548458,476,1.0,384086
884445,374,15.7,738728
139969,423,28.5,870917
1793441,726,11.9,1116357
1646367,524,29.9,1313340
661440,844,11.9,821246
596475,584,19.3,877645
1273055,570,5.1,815087
1957399,671,21.4,1333179
823814,649,25.3,1102862
929701,871,16.8,1046447
1462624,760,7.0,1004588
678609,453,29.4,982923
1370545,776,25.5,1288810
294544,303,28.1,774525
1216549,618,25.7,1144446
1771934,471,28.1,1319544
1504384,483,10.1,887111
199363,748,24.2,868115
1671175,549,1.6,835728
1366065,775,21.9,1245688
1798376,610,0.7,886293
934289,331,21.9,835370
1346287,763,9.8,1025936
1931706,642,8.9,1032042
601046,534,17.6,844123
320962,620,20.6,779920
237199,444,3.8,357124
1851208,781,23.2,1374588
621291,862,28.4,1140479
118402,319,8.5,373442
1981248,682,23.7,1390162
543596,897,12.7,889196
1667548,719,9.7,1068145
755515,309,8.4,577971
1440142,655,25.4,1251161
272419,720,0.5,430512
898987,412,8.9,662537
1007717,804,15.5,976509
670132,589,9.8,680004
1510161,311,9.8,778187
870706,605,24.7,1071361
347642,339,3.9,334512
1896438,678,8.2,1030652
1484542,851,11.1,1107141
393778,781,29.1,1106313
1528923,454,29.5,1256313
282657,312,13.0,513628
1687716,571,22.5,1232408
1508363,883,20.4,1327895
891477,484,22.0,995179
1144590,606,18.3,1005953
706932,658,15.3,804322
134051,516,25.5,849769
494668,635,13.8,732373
1886365,324,13.2,946708
1370846,761,12.9,1063112
1965801,685,26.1,1455206
230562,363,14.4,539212
228164,650,21.9,811843
1185427,858,18.2,1105181
108733,555,4.2,413648
1405706,440,4.9,781009
694590,710,21.9,1040047
1432747,514,3.0,725341
1567744,396,25.6,1221179
1302664,586,19.8,1083565
1543564,369,13.3,885066
1343435,343,6.3,712542
1503350,307,17.5,966184
846442,390,1.6,461345
1004722,628,21.2,1075368
1884965,424,15.4,1112603
553761,345,12.5,626908
276362,560,9.0,503753
920727,614,13.0,798340
208898,671,0.5,375472
1404162,456,13.2,887169
748290,307,8.6,552244
474477,451,22.2,837749
673333,331,10.1,606462
542168,772,29.2,1149996
662005,572,7.6,614275
1112683,373,16.7,896741
737445,325,5.0,508764
1008671,849,17.4,1098885
330692,840,26.7,1033209
505208,654,26.2,1038700
1558815,609,10.6,1008956
507074,577,22.9,935767
1913995,517,28.1,1376399
817782,326,21.4,796310
1771995,644,23.8,1371778
204755,462,20.9,722718
973339,346,22.5,964256
164459,674,16.3,729554
1133971,675,24.6,1153682
338202,880,17.6,869445
1037132,337,1.6,499807
1400432,357,18.1,959459
597726,387,29.8,1014186
674904,393,26.2,940181
1737650,403,8.9,853502
1068254,659,4.6,733098
1912611,861,17.3,1339784
241208,624,9.8,614865
1135190,597,24.5,1125737
1443705,588,1.6,734497
250419,559,24.7,817219
588189,746,19.9,900933
1406260,404,15.5,914078
681642,692,1.6,629123
384381,358,21.0,761656
1044757,480,15.0,886044
1096181,544,0.3,653752
1005485,647,9.1,764988
1029668,540,27.9,1140063
525924,610,2.9,558869
983575,818,16.2,1068750
1311029,590,23.2,1162023
1205581,544,3.5,700223
1321558,604,16.8,988864
1447757,450,16.7,952583
145512,350,4.0,257635
578918,320,17.4,725522
298256,376,19.9,724548
1651435,623,6.1,925668
876370,717,0.7,671691
1133086,753,26.3,1223783
371004,839,23.5,952963
1015316,353,27.9,1000145
1383150,623,1.9,802627
615514,331,12.3,554157
1821166,432,3.8,836230
639063,454,6.2,508793
1509982,524,19.6,1149444
949402,618,3.6,627932
953102,498,29.8,1121594
681520,504,0.7,462231
1008479,388,20.7,950315
162754,662,24.9,831356
627907,464,25.4,906826
1317232,389,17.3,908878
941079,538,10.2,737774
1921211,453,19.4,1147453
758916,563,24.5,1036419
1324928,479,25.3,1171659
810746,827,12.3,949498
1230352,861,8.3,1014952
1191131,796,19.5,1188227
1175318,889,10.1,1032495
1347140,813,29.9,1371052
155996,764,17.3,746258
1587760,701,2.7,837497
343277,341,7.9,438502
474953,825,17.1,868076
1041612,387,11.1,702916
1318094,319,14.7,853011
779121,483,16.1,785814
429523,863,1.2,614234
173565,868,26.6,1057071
1625211,812,0.3,924937
818232,677,11.7,831031
384982,736,1.4,464650
1649611,628,12.0,1057853
1871658,536,10.3,1063257
1623266,442,15.3,1057336
729642,696,4.7,665757
981073,544,26.5,1106038
924377,417,13.5,795348
1024860,634,1.6,615733
959432,843,7.4,904286
1647600,463,5.7,850871
1417737,530,14.4,967381
1229940,661,9.0,869944
1864559,854,2.5,993809
1753787,432,10.8,941696
1873516,825,7.0,1163642
1808038,494,27.6,1359734
1595857,679,5.2,886472
593194,635,18.2,881822
236864,467,3.2,402953
553382,705,10.5,777232
1029450,810,20.2,1156103
1556241,648,4.3,866658
1385053,488,6.3,797398
1979782,808,2.4,1012237
870470,782,24.9,1199941
824160,300,11.7,597640
166051,588,20.5,767457
1974042,414,10.1,975919
175652,390,10.4,470809
1695701,463,9.4,889039
448806,433,24.3,867063
1190793,742,6.3,816328
1585033,561,28.8,1366744
1936905,394,10.1,1029847
1041300,581,9.3,834780
225437,684,21.0,783544
1936913,308,0.8,726195
1351648,881,6.6,954415
843341,501,16.3,779808
1413526,631,24.4,1276008
1111866,515,26.6,1110560
857885,487,27.3,1041523
1816567,716,22.5,1355399
1633751,895,25.9,1480930
1442127,486,1.2,745145
555938,314,15.7,620271
1027581,780,9.4,903153
438473,510,24.4,845099
1845081,666,20.2,1319592
1560937,419,0.9,646525
778922,653,20.2,931704
1314805,694,19.2,1134468
1464244,574,10.5,904349
1713401,601,3.4,914391
411026,791,21.0,918034
1822260,714,14.3,1160115
1411825,708,9.3,953646
1127449,621,28.4,1224034
1526383,677,7.4,905263
1624105,851,11.2,1095793
478771,790,10.5,766223
213156,876,0.4,535039
1723039,712,0.7,838020
179010,881,28.5,1093435
1470611,820,12.7,1107464
128582,783,25.6,979836
1425229,387,17.7,960242
932753,578,9.3,788731
1721168,398,14.0,1036520
997451,533,13.5,809957
1517361,762,16.9,1125886
125676,348,22.2,705320
648031,300,23.7,797913
1480353,376,6.3,737341
1311701,324,17.0,934838
1891107,829,21.3,1454954
1198705,778,4.8,888891
667671,474,11.4,708119
1527418,721,9.7,1012881
750942,698,12.8,790883
448296,756,8.1,648854
248779,386,25.4,813121
310867,852,29.8,1141978
572018,692,2.6,525373
319982,801,2.8,524107
1338166,529,19.5,1075559
779615,775,14.2,895505
753168,811,27.3,1132948
1115607,316,1.5,481198
489534,870,29.5,1195639
1894905,411,27.0,1326651
1650345,661,17.3,1168681
817946,612,26.6,1058385
289159,736,26.1,945360
1731851,369,5.5,788212
1146484,835,9.1,969001
1423110,875,14.3,1122476
707666,641,28.7,1135421
1154826,301,19.0,881881
110645,445,20.0,619155
1923569,524,19.2,1249168
860192,680,3.3,691191
1587942,337,6.7,780279
441077,401,16.7,650905
1159905,731,2.2,718960
749646,315,17.4,683888
1375540,657,27.8,1280999
289460,533,9.2,496357
1448233,706,23.3,1285202
572306,601,22.5,932391
1766034,611,20.2,1218653
1698535,422,5.9,795123
1791616,845,7.8,1093260
621919,710,9.6,740627
1373838,870,21.3,1291357
242717,306,9.9,472704
1256476,529,28.0,1217308
681213,310,25.7,830937
1000266,692,15.6,985373
1073920,477,4.6,617784
501398,306,2.5,333210
274956,737,17.3,767802
1523704,425,15.9,1012781
718211,419,14.9,760466
1005023,352,13.5,765520
1752714,390,24.4,1205077
203517,707,19.8,799804
382221,768,14.8,831359
1521141,422,3.0,763739
1052733,658,17.9,1026341
381915,598,4.1,463322
751988,334,25.0,862853
460376,775,24.6,1025456
525291,430,25.0,899679
708465,674,27.4,1052803
211037,380,2.0,277209
1071979,887,10.6,972415
1687309,618,28.0,1374671
1030590,810,19.5,1055496
928723,819,25.9,1241560
892132,674,27.0,1189689
1135719,427,2.1,547960
1501177,546,21.4,1200594
499458,834,0.9,558758
299584,411,4.8,372444
1306503,613,0.9,670704
1172967,875,22.8,1238925
1829376,401,5.0,828198
1087690,599,11.9,913191
1783055,886,3.1,1049734
1399766,784,29.0,1392758
1239795,301,24.2,1042471
485036,874,19.1,986783
778193,447,8.9,598263
247963,863,10.0,708040
735731,505,14.3,715093
1566584,357,18.3,971439
1256603,717,8.2,884116
1840231,824,8.2,1110005
1155828,873,0.3,758287
1279660,309,6.8,705985
770024,887,16.4,999951
235201,392,7.0,430880
453627,842,10.4,746572
654730,303,0.3,336550
470474,709,24.2,1013692
1748659,816,26.0,1446011
1954388,349,26.8,1275964
1273068,330,16.7,836762
1130370,361,3.2,617381
1605462,756,12.4,1144563
1920333,567,14.1,1094960
998572,851,7.0,894153
158944,345,7.7,421782
1657883,624,29.3,1408229
204727,570,0.3,385896
979994,724,6.5,792876
1252455,370,9.1,731972
1348800,796,14.0,1106599
1418048,855,0.6,854940
1190157,732,15.1,975795
622846,664,11.4,749514
466455,499,22.4,844796
1267500,899,27.3,1361417
697889,443,19.0,762530
1103146,840,5.1,834854
897614,782,17.6,996735
878843,320,28.2,992449
908677,419,1.4,534700
1638229,537,5.2,884128
293279,357,20.9,689308
500662,825,7.0,653852
478125,708,21.8,961671
554600,403,1.2,370657
1919272,391,15.1,1038371
382714,469,14.9,635567
1797916,777,7.2,1037276
219617,445,24.8,791811
1696084,900,10.6,1199478
764325,576,17.7,862349
1688967,583,9.0,998238
1534437,608,26.8,1306379
1313802,844,20.2,1228665
900815,575,0.9,596629
1989141,612,2.6,937215
1746690,389,4.6,764604
305800,820,18.6,893802
1279171,406,9.5,786171
1620913,648,1.8,800034
729323,445,1.4,431214
1602108,644,4.6,873914
179579,666,22.8,802555
1195878,595,25.4,1175369
1340909,384,12.5,849197
575687,830,24.2,1059434
297662,706,20.7,905675
706924,571,17.2,810345
290502,710,18.6,842981
948400,854,14.1,955270
1388187,785,0.3,794815
1643193,491,26.7,1235049
1958545,323,10.8,983855
1022087,836,15.6,1010973
623718,529,27.4,1004063
681885,845,24.4,1151681
871951,613,27.7,1156188
857688,656,16.1,890720
1128136,720,21.9,1099176
1380730,694,29.4,1377515
340514,675,27.7,1029306
1215581,478,17.0,897120
1095041,671,11.2,906116
1819918,878,12.7,1282593
1612024,492,3.3,844323
1263644,532,28.0,1175318
1367725,894,4.4,964562
1972493,337,11.0,963382
1780680,371,27.6,1317502
1277064,468,17.3,942681
1007837,702,27.4,1152462
1724274,770,18.0,1307466
1787598,775,6.2,1021931
1095040,572,7.9,807662
311950,883,29.8,1165895
1226864,669,24.9,1230340
352067,424,27.2,844711
862380,668,22.0,1076236
1836762,868,15.9,1278856
1504313,506,1.1,733439
542652,825,28.6,1189954
1638254,599,15.8,1067123
501487,800,7.5,658081
287440,417,10.8,520636
1058857,345,4.0,554356
1057714,453,16.1,849556
1915759,583,11.6,1064897
1010443,783,11.6,970391
1623515,628,17.4,1169943
1723116,881,22.1,1446448
1331479,673,16.4,1103825
740526,829,3.5,714989
1633443,655,19.3,1231532
473688,701,21.2,944058
141057,649,29.3,952498
1686789,737,5.8,976993
1278013,656,26.7,1271065
1008580,756,10.6,896701
1314258,411,5.3,679654
1180572,482,17.2,983900
1653664,312,20.1,1075139
283787,386,20.8,702681
1826077,854,25.0,1504751
1005996,397,5.5,607685
843575,722,1.2,606874
307867,724,16.9,792294
1293373,833,19.1,1187331
1463913,486,9.8,911258
874334,647,22.1,1031200
1649562,629,1.7,848396
159616,653,22.9,797066
616934,357,16.5,692187
1808331,731,2.3,976684
1358186,448,3.3,667076
1022219,863,17.0,1116532
171081,889,13.4,813239
936353,312,8.3,600444
1801755,823,19.5,1355006
1220922,774,7.8,933042
1165031,638,17.0,979914
335959,444,4.9,377897
511526,316,2.3,367288
989271,725,1.6,726642
1957694,613,29.8,1474812
1468311,561,22.9,1203625
561121,588,14.3,789575
765733,659,18.7,958150
1389364,449,13.3,898754
1229419,508,15.2,889470
1427868,534,13.2,937345
478666,895,24.9,1121997
1327078,550,10.5,889720
810869,562,24.3,988731
1015941,457,21.9,970672
1804559,644,0.7,906776
314116,355,27.9,839252
1705751,841,0.6,915700
1147914,725,6.9,794970
858810,355,14.7,774330
1550910,397,25.7,1183449
1995410,301,11.5,1006935
589226,750,11.6,766019
1961715,738,17.1,1327205
1204795,539,25.8,1103347
1392836,355,28.3,1149556
1476341,599,23.3,1180513
1069430,555,21.9,992609
1198771,301,21.4,984921
738375,471,29.1,1076550
814330,504,12.3,789027
1677918,440,6.4,810905
205368,606,21.8,769798
1368255,524,2.7,750146
1945077,416,26.6,1345914
1723972,446,5.9,870935
698444,715,16.5,885173
1916948,426,15.0,1039574
1450927,362,26.6,1144295
468416,422,13.0,636254
249101,690,21.6,837771
1486283,787,26.2,1359637
223340,454,6.6,455646
614437,593,8.8,680764
1767690,816,6.4,1075546
1445867,557,21.4,1139508
1254347,777,29.1,1358399
537082,896,19.6,987621
1535891,712,18.1,1129657
809235,856,0.5,682381
1913725,707,14.2,1253126
782781,470,6.8,572113
343177,378,21.8,715656
399065,760,12.4,726039
1961642,374,10.8,951533
1369382,349,18.3,965767
1524953,537,8.5,853935
497801,648,12.5,707036
315072,377,16.2,574660
1735376,469,25.9,1291112
1758105,683,1.8,861858
550338,683,11.9,762387
1194750,674,7.6,820646
1139476,865,15.1,1050463
776512,755,4.3,700875
1555786,776,15.4,1155035
572919,574,20.9,832076
1858956,573,0.3,827168
1668699,708,2.3,920368
951047,549,17.1,888151
386596,774,17.9,890486
1248303,496,27.1,1163004
442415,570,19.0,763414
521257,559,27.7,947459
1767901,360,16.4,1071440
1061648,339,1.4,498157
373993,666,24.0,897040
1595743,478,28.5,1305405
624988,355,26.2,856308
1652045,853,28.2,1463899
582725,446,25.7,937593
