student_id,hours_studied,exam_score,study_habit,attendance
S303,,,Good,
S304,,,Poor,
S305,,,Poor,
S306,2.4,26,Good,
S307,,,Poor,
S308,0.9,8,,
S309,,,Good,95
S310,,,Poor,
S311,6.8,62,Good,
S312,,,Average,
S313,,,,72
S314,,,,
S315,,,Poor,
S316,9.4,100,Average,
S317,,,Good,
S318,9.2,100,Good,81
S319,,,Good,
S320,,,Poor,
S321,6.7,77,Poor,
S322,5.6,57,,
S323,,,Good,
S324,,,,90
S325,,,,
S326,,,Good,
S327,2.4,21,,96
S328,,,Average,
S329,,,,
S330,,,Good,98
S331,,,,
S332,,,Poor,
S333,5.9,48,Average,52
S334,6.9,65,,
S335,,,Average,
S336,8.8,77,Average,78
S337,,,Good,53
S338,8.7,83,Average,74
S339,,,Poor,
S340,,,,50
S341,,,,
S342,,,Poor,
S343,,,,
S344,0.0,0,,
S345,,,Average,
S346,5.3,53,,
S347,,,,
S348,0.5,4,,
S349,,,,
S350,,,,75
S351,,,,
S352,,,Poor,
S353,,,Average,
S354,2.3,26,Good,86
S355,,,Average,
S356,,,Average,61
S357,1.1,8,Poor,
S358,0.9,8,Poor,
S359,,,Poor,57
S360,,,,
S361,,,,87
S362,,,,
S363,,,Good,77
S364,,,Poor,57
S365,,,Poor,
S366,0.7,5,,
S367,1.5,12,Good,
S368,3.5,37,,
S369,,,Average,68
S370,0.0,0,Poor,
S371,8.0,93,,
S372,,,,
S373,,,Poor,
S374,,,Average,
S375,,,Poor,
S376,,,Average,98
S377,3.5,30,Average,78
S378,5.8,67,,
S379,,,,
S380,,,Good,
S381,9.0,80,Poor,
S382,,,Good,
S383,,,Poor,
S384,,,Poor,79
S385,,,,
S386,8.7,76,Average,63
S387,,,,
S388,,,,85
S389,3.4,30,Good,
S390,,,Average,
S391,,,Poor,
S392,2.9,26,,
S393,9.9,100,Poor,
S394,9.5,100,Average,
S395,,,Poor,
S396,5.7,60,,73
S397,7.7,73,,
S398,,,Poor,
S399,,,Good,
S400,6.8,60,Average,67
S401,8.1,92,Good,
S402,2.0,17,Poor,83
S403,7.0,74,,61
S404,,,Poor,
S405,0.1,1,Good,
S406,6.6,54,Good,
S407,,,,
S408,9.8,84,Average,72
S409,,,Good,
S410,,,,
S411,,,,89
S412,,,Good,
S413,,,,
S414,3.5,30,Average,
S415,,,Poor,
S416,,,,
S417,9.0,86,Average,
S418,,,,
S419,,,Good,64
S420,0.9,10,Good,
S421,,,Average,
S422,,,,
S423,7.0,59,Average,
S424,,,,
S425,7.2,64,Good,
S426,,,Average,
S427,,,,
S428,,,,
S429,0.7,7,,96
S430,,,,
S431,,,Good,
S432,5.8,54,Average,87
S433,,,Average,
S434,,,,
S435,,,,
S436,,,,
S437,9.5,90,Good,
S438,6.9,77,Average,74
S439,,,,75
S440,,,Poor,81
S441,,,Poor,
S442,,,Average,
S443,,,,96
S444,,,,
S445,,,Poor,58
S446,,,,59
S447,7.7,81,,85
S448,,,Average,88
S449,,,Average,
S450,,,Good,72
S451,7.4,74,,
S452,,,Good,
S453,,,Good,
S454,,,Good,
S455,,,,67
S456,,,Good,57
S457,0.0,0,Average,80
S458,,,,78
S459,,,Poor,
S460,,,Poor,
S461,7.2,81,,84
S462,6.5,70,,
S463,5.4,49,,50
S464,,,,66
S465,,,Poor,
S466,6.3,53,Average,
S467,,,,
S468,,,,
S469,,,Average,57
S470,7.4,69,,
S471,,,,100
S472,3.1,36,Good,
S473,0.7,6,,
S474,6.9,81,Average,
S475,,,Good,
S476,0.0,0,Poor,
S477,,,,100
S478,6.9,58,Poor,
S479,,,Good,
S480,2.6,27,,89
S481,,,,73
S482,1.2,13,Good,90
S483,,,,
S484,3.2,28,Good,90
S485,5.7,57,Poor,
S486,,,,86
S487,,,Good,
S488,,,,
S489,8.8,73,Average,52
S490,,,,
S491,,,Good,
S492,,,Poor,54
S493,,,Poor,
S494,,,Good,
S495,,,,
S496,1.7,14,,
S497,,,Good,
S498,3.0,26,,
S499,9.2,94,,
S500,1.5,17,Poor,
S501,,,Average,
S502,,,,63
S503,,,,53
S504,6.6,55,Poor,66
S505,,,,87
S506,,,Poor,
S507,,,,99
S508,3.2,31,Good,99
S509,8.8,100,Good,
S510,,,,
S511,6.6,69,Average,
S512,,,Good,
S513,5.7,50,Average,
S514,,,Average,74
S515,,,Good,
S516,9.5,82,,
S517,5.5,52,,
S518,,,,
S519,,,Good,
S520,4.6,39,Average,55
S521,7.6,66,,
S522,,,Poor,99
S523,3.5,28,,
S524,,,,
S525,,,Good,84
S526,,,,99
S527,,,Poor,73
S528,,,,
S529,,,Average,58
S530,3.9,40,,
S531,4.5,52,Average,57
S532,,,,
S533,,,Poor,
S534,3.8,40,Good,
S535,,,,
S536,4.6,50,Average,67
S537,,,,70
S538,3.3,32,Good,88
S539,2.9,33,,
S540,4.3,44,Poor,
S541,,,Average,
S542,,,Good,
S543,,,Good,
S544,,,,
S545,5.5,65,,
S546,,,Average,85
S547,,,Good,76
S548,9.6,82,,
S549,,,Poor,
S550,,,,
S551,,,,
S552,,,Good,78
S553,,,,
S554,6.6,62,,
S555,,,,
S556,9.9,100,Poor,
S557,,,Good,
S558,,,,93
S559,4.4,37,Good,
S560,,,Average,
S561,6.1,71,,77
S562,,,,
S563,,,,74
S564,,,Average,
S565,,,Average,
S566,,,,
S567,,,Average,97
S568,1.2,13,Good,
S569,3.6,34,Good,
S570,8.3,77,,
S571,,,,70
S572,8.5,96,Poor,56
S573,,,,
S574,4.7,45,Poor,
S575,3.9,35,Good,
S576,6.2,56,Poor,
S577,,,Poor,
S578,,,,
S579,6.5,66,,
S580,,,Average,
S581,,,,67
S582,,,,
S583,,,,
S584,4.3,41,Poor,77
S585,,,Average,80
S586,2.4,19,Good,65
S587,1.0,9,,
S588,,,,
S589,8.3,98,Average,
S590,,,Poor,
S591,4.6,48,Average,
S592,,,,
S593,,,Poor,91
S594,,,Good,
S595,,,,76
S596,1.9,15,Poor,
S597,,,,83
S598,1.6,17,Good,100
S599,,,Poor,
S600,4.7,37,Average,
S601,,,,
S602,,,Average,
S603,,,,
S604,,,Good,100
S605,,,Good,
S606,,,Average,83
S607,6.3,74,,93
S608,,,Poor,
S609,5.3,60,Good,
S610,1.1,10,Average,
S611,,,,
S612,,,,
S613,,,,
S614,,,Average,
S615,,,,
S616,5.3,50,,
S617,1.4,16,,
S618,,,,
S619,1.0,9,,
S620,,,,93
S621,1.1,11,Average,79
S622,,,Poor,63
S623,,,,
S624,,,Poor,
S625,8.7,85,,
S626,,,,91
S627,,,Average,72
S628,4.7,41,,96
S629,1.8,20,Average,
S630,2.2,24,,
S631,4.8,42,,81
S632,,,Average,
S633,,,Poor,93
S634,,,Average,
S635,1.5,16,Average,99
S636,,,Poor,59
S637,8.9,93,Good,
S638,0.6,5,,
S639,4.0,32,Average,71
S640,8.0,89,,
S641,,,Good,
S642,,,,
S643,,,,
S644,,,,100
S645,,,Good,
S646,,,,
S647,,,Good,95
S648,,,,
S649,,,,
S650,,,,
S651,,,Good,
S652,5.6,51,Average,93
S653,,,,
S654,,,,
S655,0.1,0,Poor,
S656,,,Average,
S657,5.3,56,Poor,58
S658,9.7,100,,74
S659,2.9,26,,
S660,,,Poor,81
S661,,,,93
S662,,,Poor,
S663,,,Poor,
S664,,,,
S665,,,Good,71
S666,,,Poor,78
S667,0.5,4,Good,
S668,1.1,10,Average,
S669,2.3,22,,
S670,,,Good,84
S671,,,,
S672,,,Average,
S673,,,,74
S674,9.4,87,Average,72
S675,,,,99
S676,,,Average,
S677,,,Poor,
S678,,,,97
S679,10.0,100,,
S680,5.7,60,,
S681,,,Poor,
S682,0.1,0,Good,
S683,,,Good,
S684,7.1,79,Average,65
S685,1.0,9,Good,66
S686,,,,
S687,,,Average,
S688,,,,
S689,9.6,77,Good,87
S690,,,Poor,
S691,,,Good,
S692,4.6,52,,61
S693,2.3,21,Poor,
S694,,,Poor,
S695,,,Average,
S696,1.0,10,Good,
S697,,,,59
S698,,,Poor,62
S699,,,Good,50
S700,1.4,12,Average,
S701,,,,57
S702,,,,
S703,,,,
S704,2.2,18,,
S705,0.3,2,Good,94
S706,,,,
S707,6.3,63,,
S708,7.9,86,,
S709,,,,
S710,,,,
S711,,,Poor,
S712,,,Good,
S713,,,Poor,
S714,,,Good,
S715,1.4,11,Good,
S716,,,Good,
S717,,,Poor,
S718,,,Average,58
S719,1.8,18,Average,
S720,9.3,100,,
S721,,,,
S722,,,,
S723,,,Good,
S724,,,,
S725,8.4,70,Poor,
S726,3.6,30,,
S727,3.7,32,,54
S728,,,Good,
S729,,,,88
S730,,,,
S731,0.7,5,Average,66
S732,,,Good,93
S733,,,Average,61
S734,,,Good,
S735,,,Average,
S736,3.4,40,,
S737,,,Poor,60
S738,0.9,9,Poor,
S739,,,,
S740,,,,
S741,,,,
S742,,,Good,
S743,,,,
S744,7.4,87,Poor,
S745,1.7,15,,
S746,,,,
S747,,,Average,58
S748,,,,82
S749,,,Average,54
S750,,,,
S751,7.8,90,Average,57
S752,,,,82
S753,2.9,32,,
S754,,,Average,65
S755,,,,
S756,,,Poor,
S757,6.5,54,,
S758,,,Poor,
S759,,,,
S760,,,,76
S761,,,,
S762,,,,
S763,,,,
S764,,,,
S765,,,,
S766,8.2,80,,
S767,1.1,12,,
S768,,,,73
S769,,,Average,
S770,,,,
S771,10.0,100,Good,67
S772,,,Poor,
S773,3.3,29,Poor,
S774,0.3,3,,
S775,,,Average,
S776,,,Good,54
S777,,,,86
S778,2.5,22,Poor,
S779,6.5,77,Good,94
S780,,,Good,
S781,,,,
S782,,,,59
S783,,,Good,
S784,,,,
S785,,,,
S786,,,Good,
S787,,,Average,
S788,,,Good,
S789,,,,94
S790,4.8,46,Poor,
S791,8.6,79,,
S792,,,Average,
S793,,,Good,64
S794,9.6,100,,71
S795,,,,
S796,,,,
S797,,,,62
S798,4.1,43,Good,
S799,6.1,51,Average,96
S800,,,Poor,
S801,4.1,35,,
S802,7.0,63,Good,
S803,,,,
S804,,,,
S805,5.5,62,,58
S806,3.1,34,,
S807,,,,
S808,7.2,74,Poor,72
S809,,,,
S810,,,Good,
S811,4.3,38,Poor,
S812,9.3,100,Average,
S813,,,Average,
S814,,,Average,
S815,,,Good,53
S816,,,Average,
S817,3.3,39,Average,
S818,,,Average,
S819,,,,
S820,5.6,53,,
S821,,,Poor,
S822,1.3,15,Good,95
S823,,,,
S824,,,,
S825,,,,
S826,,,,
S827,6.8,67,Poor,
S828,,,Good,53
S829,,,,
S830,,,,
S831,,,,
S832,,,Poor,
S833,,,Average,55
S834,,,,
S835,,,Good,
S836,,,Poor,
S837,0.9,8,Poor,66
S838,,,Poor,94
S839,,,Poor,
S840,,,,
S841,1.9,21,,82
S842,,,,67
S843,,,Average,91
S844,,,Poor,
S845,3.7,31,Good,89
S846,,,Average,66
S847,6.9,78,Poor,82
S848,,,Good,94
S849,0.6,6,Poor,
S850,8.7,81,,
S851,,,,
S852,,,Poor,
S853,,,Good,
S854,,,,80
S855,,,Average,
S856,,,Good,95
S857,4.8,49,Average,77
S858,,,Poor,
S859,,,Good,
S860,4.5,51,Good,
S861,,,,
S862,,,Average,65
S863,,,Average,
S864,,,Good,77
S865,,,Average,
S866,,,,
S867,,,Poor,
S868,2.6,21,Average,75
S869,7.4,65,,62
S870,1.8,15,,74
S871,,,Poor,
S872,,,,77
S873,6.8,63,,
S874,,,Good,94
S875,,,Poor,
S876,,,,
S877,,,Average,
S878,,,,
S879,,,,91
S880,,,Poor,
S881,,,Poor,
S882,,,Average,
S883,,,Average,
S884,,,Average,
S885,,,,
S886,,,Poor,89
S887,7.4,61,Good,
S888,,,Average,
S889,,,,50
S890,,,Average,53
S891,,,Good,
S892,,,Poor,
S893,,,Poor,78
S894,1.7,18,Poor,
S895,3.3,34,,
S896,3.6,40,Poor,
S897,,,,
S898,,,,97
S899,9.5,100,,94
S900,,,Average,
S901,7.9,75,Poor,83
S902,,,,74
S903,6.5,55,Good,
S904,2.9,33,Average,
S905,,,Poor,98
S906,2.9,23,Average,
S907,1.2,13,,
S908,9.2,100,Good,62
S909,6.2,52,,92
S910,6.8,55,Average,
S911,,,Good,
S912,,,,
S913,,,Average,98
S914,,,Good,
S915,,,Poor,
S916,7.8,65,Good,
S917,,,,57
S918,,,Poor,
S919,3.1,26,Poor,
S920,8.6,71,Average,88
S921,1.4,15,,58
S922,,,Average,73
S923,4.5,38,,
S924,,,,96
S925,5.2,60,Poor,
S926,,,,
S927,0.5,5,Good,74
S928,,,Good,
S929,,,Average,
S930,,,,
S931,7.8,73,Average,67
S932,,,,
S933,2.7,30,Good,65
S934,,,Average,
S935,,,Average,59
S936,,,,
S937,,,Average,
S938,,,Poor,
S939,,,,76
S940,,,,52
S941,,,,84
S942,,,Average,
S943,8.0,87,Good,
S944,,,Poor,69
S945,1.3,11,Good,80
S946,1.8,21,,
S947,,,Good,
S948,,,,
S949,,,Poor,60
S950,,,Poor,
S951,2.7,26,Good,76
S952,,,,71
S953,1.3,10,Average,
S954,,,Poor,
S955,1.0,8,,
S956,,,,100
S957,,,Good,
S958,1.8,18,Good,
S959,,,,
S960,,,Good,
S961,,,,
S962,3.2,34,,
S963,9.0,100,Poor,70
S964,,,Average,100
S965,,,,
S966,,,Average,99
S967,,,Average,
S968,,,Average,
S969,2.0,18,Poor,
S970,,,,
S971,1.5,15,,
S972,,,Good,
S973,,,,53
S974,,,,
S975,,,Good,53
S976,,,Poor,
S977,,,Average,57
S978,,,,95
S979,,,,
S980,,,Poor,
S981,6.2,74,,60
S982,,,,90
S983,,,Average,
S984,7.3,84,Good,
S985,7.2,72,Average,
S986,,,Average,100
S987,,,Poor,57
S988,,,Good,
S989,8.0,95,,97
S990,,,Average,
S991,,,,67
S992,,,Average,
S993,3.5,31,,
S994,9.2,96,,
S995,,,Poor,
S996,,,Good,74
S997,8.3,89,Poor,90
S998,,,,
S999,4.3,38,,
S1000,,,,
